評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
96.8,42,大嘴蝠,毒,飛行,-,-,-,-,-,-,-,-,1499,117.7,116.2,139,28.5,翅膀攻擊,空氣利刃,暗影球,5,7,1,10000,1901391
95,119,金魚王,水,,-,-,-,-,-,-,-,-,1500,121.9,109,138,26,啄,直衝鑽*,冰凍之風*,5,6,3,50000,1833820
95,364,海魔獅,冰,水,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,細雪,泰山壓頂,衝浪,5,6,3,50000,2065168
94.9,680,雙劍鞘,鋼,幽靈,-,-,-,-,-,-,-,-,1500,122.9,140,106,22.5,暗影爪,聖劍,陀螺球,5,7,5,75000,1824726
94.7,42,大嘴蝠,毒,飛行,-,-,暗影,-,-,-,-,-,1499,117.7,116.2,139,28.5,翅膀攻擊,空氣利刃,暗影球,5,7,1,10000,1901391
94.7,364,海魔獅,冰,水,-,-,暗影,-,-,-,-,-,1500,109,112.8,168,36,細雪,泰山壓頂,衝浪,5,6,3,50000,2065168
94.7,317,吞食獸,毒,,-,-,-,-,-,-,-,-,1498,103.4,122.7,171,28.5,泥巴射擊,污泥攻擊,冰凍光束,5,7,1,10000,2169090
94.4,279,大嘴鷗,水,飛行,-,-,-,-,-,-,-,-,1500,123.3,128.7,115,26,翅膀攻擊,氣象球 水,暴風,5,8,3,50000,1825336
94,723,投羽梟,草,飛行,-,-,-,-,-,-,-,-,1500,112.5,115.5,154,36.5,啄,勇鳥猛攻,種子炸彈,7,5,3,10000,2001159
93.7,435,坦克臭鼬,毒,惡,-,-,-,-,-,-,-,-,1493,121.7,95.2,158,23.5,毒擊,咬碎,起草,7,7,3,50000,1831135
92.3,73,毒刺水母,水,毒,-,-,-,-,-,-,-,-,1495,108.9,143.5,131,23,溶解液,熱水,以牙還牙,7,8,3,50000,2047453
92,426,隨風球,幽靈,飛行,-,-,-,-,-,-,-,-,1500,119.2,75.8,209,23.5,驚嚇,冰凍之風,暗影球,5,5,5,75000,1886853
91.9,591,敗露球菇,草,毒,-,-,-,-,-,-,-,-,1498,109.3,105.9,177,26.5,驚嚇,欺詐,打草結,4,5,3,50000,2049605
91.9,9,水箭龜,水,,-,-,-,-,-,-,-,-,1500,112.1,137.7,130,23,滾動,加農水砲*,火箭頭錘,4,6,3,10000,2007546
91.9,73,毒刺水母,水,毒,-,-,暗影,-,-,-,-,-,1495,108.9,143.5,131,23,溶解液,熱水,以牙還牙,7,8,3,50000,2047453
91.6,563,死神棺,幽靈,,-,-,-,-,-,-,-,-,1500,111.7,165.3,109,24.5,暗影爪,暗影球,惡之波動,7,7,3,50000,2013466
91.5,87,白海獅,水,冰,-,-,-,-,-,-,-,-,1498,102,136.9,157,28.5,冰礫*,冰凍之風*,直衝鑽,5,4,3,50000,2192411
91.5,478,雪妖女,冰,幽靈,-,-,-,-,-,-,-,-,1499,122.6,114.9,130,27.5,細雪,雪崩,暗影球,6,7,3,50000,1831027
90.9,596,電蜘蛛,蟲,電,-,-,-,-,-,-,-,-,1500,138.3,96.5,122,25.5,伏特替換,放電,猛撲,3,3,3,50000,1627493
90.8,591,敗露球菇,草,毒,-,-,暗影,-,-,-,-,-,1498,109.3,105.9,177,26.5,驚嚇,欺詐,打草結,4,5,3,50000,2049605
90.8,110,雙彈瓦斯,毒,,-,-,-,-,-,-,-,-,1500,117.6,140.3,116,25,滾動,暗影球,污泥炸彈,4,4,3,50000,1912745
90.7,199,呆呆王,毒,超能力,伽勒爾,-,-,-,-,-,-,-,1499,117.3,117.9,138,20.5,溶解液,精神衝擊,暗影球,5,7,3,50000,1909734
90.6,160,大力鱷,水,,-,-,-,-,-,-,-,-,1500,123.9,117.4,125,19.5,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,1817697
90.6,105,嘎啦嘎啦,火,幽靈,阿羅拉,-,-,-,-,-,-,-,1496,109.6,148.9,125,31.5,火焰旋渦,骨棒,暗影之骨*,4,5,3,50000,2040576
