評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
96.5,110,雙彈瓦斯,毒,妖精,伽勒爾,-,-,-,-,-,-,-,2500,155.4,176.2,147,49,妖精之風,過熱,污泥攻擊,7,5,3,50000,4025295
96.4,89,臭臭泥,毒,惡,阿羅拉,-,-,-,-,-,-,-,2497,150,144.6,191,37,毒擊,狂舞揮打,冰凍拳,5,6,3,50000,4142335
96.3,119,金魚王,水,,-,-,-,-,-,-,-,-,2444,159.7,136.1,172,50,啄,直衝鑽*,冰凍之風*,5,6,3,50000,3738228
96.1,593,胖嘟嘟,水,幽靈,-,-,-,-,-,-,-,-,2499,141.6,158.9,196,47.5,禍不單行,衝浪,暗影球,4,4,3,50000,4409691
95.9,663,烈箭鷹,火,飛行,-,-,-,-,-,-,-,-,2493,160.5,142.9,168,50,燒盡*,飛翔,勇鳥猛攻,3,3,1,10000,3851770
95.7,89,臭臭泥,毒,惡,阿羅拉,-,暗影,-,-,-,-,-,2497,150,144.6,191,37,毒擊,狂舞揮打,冰凍拳,5,6,3,50000,4142335
95.6,683,芳香精,妖精,,-,-,-,-,-,-,-,-,2499,152.7,135.3,198,47,妖精之風,精神衝擊,月亮之力,5,6,3,50000,4091706
95.3,36,皮可西,妖精,,-,-,-,-,-,-,-,-,2500,150.7,144,191,47.5,妖精之風,彗星拳,吸取之吻,5,7,1,10000,4144850
95.1,901,月月熊,地面,一般,-,-,-,-,-,-,-,-,2498,161.6,125,191,24,抓,高速星星,十萬馬力*,9,14,3,50000,3859202
94.9,503,大劍鬼,水,,-,-,-,-,-,-,-,-,2498,165.1,130.7,175,35.5,連斬,加農水砲*,超級角擊,10,14,3,10000,3777696
94.8,110,雙彈瓦斯,毒,妖精,伽勒爾,-,暗影,-,-,-,-,-,2500,155.4,176.2,147,49,妖精之風,過熱,污泥攻擊,7,5,3,50000,4025295
94.4,468,波克基斯,妖精,飛行,-,-,-,-,-,-,-,-,2498,161.1,161.1,149,27.5,啄,精神衝擊,波導彈*,5,5,3,50000,3868222
94.3,531,差不多娃娃,一般,妖精,-,-,-,Mega,-,-,-,-,2498,123.1,206.3,199,45,充電光束,泰山壓頂*,魅惑之聲,4,5,3,50000,5053420
94.2,452,龍王蠍,毒,惡,-,-,暗影,-,-,-,-,-,2494,150.9,178,153,46,毒針,水流尾,咬碎,4,5,5,75000,4110687
