評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
97.1,375,金屬怪,鋼,超能力,-,-,-,-,-,-,-,-,1498,109,145.8,129,36,連斬,精神衝擊,陀螺球,10,13,5,75000,2049614
96.9,689,龜足巨鎧,岩石,水,-,-,-,-,-,-,-,-,1499,121,133.1,115,20.5,連斬,十字劈,尖石攻擊,9,14,3,50000,1851007
96.9,350,美納斯,水,,-,-,-,-,-,-,-,-,1498,113.2,133.9,131,18.5,龍尾,水流尾,緊束,3,4,5,75000,1985080
96.3,768,具甲武者,蟲,水,-,-,-,-,-,-,-,-,1499,124.1,134.7,108,17.5,連斬,十字剪,水流噴射,10,10,1,10000,1804489
95.5,706,黏美龍,龍,,-,-,-,-,-,-,-,-,1499,119.7,134.1,117,16,龍息,水流尾,雷電拳*,9,10,5,75000,1878306
95.5,130,暴鯉龍,水,飛行,-,-,-,-,-,-,-,-,1498,130.8,108.5,121,16.5,龍息,龍捲風,水流尾*,10,9,1,10000,1717312
95.1,863,喵頭目,鋼,,-,-,-,-,-,-,-,-,1500,128.8,113.4,119,23,暗影爪,近身戰,起草,6,6,3,50000,1737649
94.7,372,甲殼龍,龍,,-,-,-,-,-,-,-,-,1498,123.3,119.1,123,27.5,龍息,龍捲風,噴射火焰,10,14,5,75000,1806077
93.8,624,駒刀小兵,惡,鋼,-,-,-,-,-,-,-,-,1497,132,107.8,119,49,連斬,暗襲要害,十字剪,9,10,5,75000,1692305
93.8,705,黏美兒,龍,,-,-,-,-,-,-,-,-,1499,114.2,133.8,128,27.5,龍息,泰山壓頂,龍之波動,9,14,5,75000,1955692
93.6,334,七夕青鳥,龍,飛行,-,-,-,-,-,-,-,-,1499,103.4,151.9,138,28.5,龍息,月亮之力*,噴射火焰,15,14,1,10000,2167763
92.9,9,水箭龜,水,,-,-,-,-,-,-,-,-,1500,112.1,137.7,130,23,滾動,加農水砲*,火箭頭錘,4,6,3,10000,2007546
92.5,131,拉普拉斯,水,冰,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,精神波,泡影詠歎調,龍之波動*,12,14,5,75000,2147136
92.3,87,白海獅,水,冰,-,-,-,-,-,-,-,-,1498,102,136.9,157,28.5,冰礫*,冰凍之風*,直衝鑽,5,4,3,50000,2192411
92.1,119,金魚王,水,,-,-,-,-,-,-,-,-,1500,121.9,109,138,26,啄,直衝鑽*,超級角擊,5,7,3,50000,1833820
91.7,365,帝牙海獅,冰,水,-,-,-,-,-,-,-,-,1500,112.5,114.9,154,20.5,細雪*,冰錐*,地震,5,9,3,50000,1990879
91.3,279,大嘴鷗,水,飛行,-,-,-,-,-,-,-,-,1500,123.3,128.7,115,26,翅膀攻擊,氣象球 水,暴風,5,8,3,50000,1825336
90.8,148,哈克龍,龍,,-,-,-,-,-,-,-,-,1499,125.2,112.5,127,33,龍息,水流尾,緊束,9,12,5,75000,1788369
90.7,502,雙刃丸,水,,-,-,-,-,-,-,-,-,1496,122.6,99.8,149,35,連斬,十字剪,水流尾,10,9,3,10000,1822620
90.4,977,吃吼霸,水,,-,-,-,-,-,-,-,-,1499,104.6,109.7,187,18.5,攀瀑,逆鱗,水流裂破,6,5,5,75000,2146006
90,230,刺龍王,水,龍,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,高速星星,衝浪,9,12,3,50000,1839109
