評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
98.3,249,洛奇亞,超能力,飛行,-,-,-,-,-,-,-,-,4186,174.8,273.1,210,50,龍尾,飛翔,氣旋攻擊*,4,7,20,100000,10023854
96,382,蓋歐卡,水,,-,-,-,-,-,-,-,-,4652,239.5,204.2,184,50,攀瀑,雪崩,打雷,5,6,20,100000,8997828
95.9,150,超夢,超能力,,-,-,暗影,-,-,-,-,-,4724,264.7,165.5,192,50,精神利刃,精神擊破*,暗影球*,5,6,20,100000,8412920
95.7,150,超夢,超能力,,-,-,-,-,-,-,-,-,4724,264.7,165.5,192,50,精神利刃,精神擊破*,暗影球*,5,6,20,100000,8412920
95.6,249,洛奇亞,超能力,飛行,-,-,暗影,-,-,-,-,-,4186,174.8,273.1,210,50,龍尾,飛翔,氣旋攻擊*,4,7,20,100000,10023854
95.5,484,帕路奇亞,水,龍,-,-,-,-,-,-,-,-,4512,247.9,193.3,171,50,龍息,水流尾,流星群,9,17,20,100000,8192467
94.6,484,帕路奇亞,水,龍,-,-,暗影,-,-,-,-,-,4512,247.9,193.3,171,50,龍息,水流尾,流星群,9,17,20,100000,8192467
94.1,800,奈克洛茲瑪,超能力,鋼,-,-,-,-,黃昏之鬃,-,-,-,4634,245.4,197.5,180,50,暗影爪,流星閃衝,惡之波動,9,7,20,100000,8721516
93.9,382,蓋歐卡,水,,-,-,暗影,-,-,-,-,-,4652,239.5,204.2,184,50,攀瀑,雪崩,打雷,5,6,20,100000,8997828
93.9,791,索爾迦雷歐,超能力,鋼,-,-,-,-,-,-,-,-,4570,226.9,173.1,234,50,火焰旋渦,精神之牙,鐵頭,4,5,20,100000,9190002
93.5,9,水箭龜,水,,-,-,-,Mega,-,-,-,-,4455,234.4,211.8,170,50,滾動,加農水砲*,冰凍光束,4,5,3,10000,8439611
92.1,487,騎拉帝納,幽靈,龍,-,-,-,-,別種,-,-,-,3820,169.7,201.7,251,50,暗影爪,龍爪,影子偷襲,7,7,20,100000,8592214
92.1,646,酋雷姆,龍,冰,-,-,-,-,-,-,-,-,4041,219.3,155.5,218,50,龍息,冰封世界*,龍爪,10,13,20,100000,7432544
92.1,80,呆殼獸,水,超能力,-,-,-,Mega,-,-,-,-,4245,200.8,230.2,194,50,念力,衝浪*,吸取拳,4,3,3,50000,8970547
91.9,65,胡地,超能力,,-,-,-,Mega,-,-,-,-,5099,321,186.5,135,50,精神利刃,火焰拳,暗影球,5,6,3,50000,8083861
91.2,385,基拉祈,鋼,超能力,-,-,-,-,-,-,-,-,3691,189.1,189.1,201,50,念力,破滅之願,波導彈,3,3,20,100000,7185051
91,381,拉帝歐斯,龍,超能力,-,-,暗影,-,-,-,-,-,4310,237.8,190.7,172,50,龍息,波導彈,潔淨光芒*,10,15,20,100000,7802064
90.7,888,蒼響,妖精,,-,-,-,-,百戰勇者,-,-,-,4329,226,210.9,173,50,電光一閃,瘋狂伏特,嬉鬧,6,8,20,100000,8247852
90.3,671,花潔夫人,妖精,,-,-,-,-,-,-,-,-,3657,190.7,217.6,168,50,妖精之風,潑冷水*,月亮之力,5,7,3,50000,6974349
90.1,381,拉帝歐斯,龍,超能力,-,-,-,-,-,-,-,-,4310,237.8,190.7,172,50,龍息,波導彈,潔淨光芒*,10,15,20,100000,7802064
90.1,800,奈克洛茲瑪,超能力,幽靈,-,-,-,-,拂曉之翼,-,-,-,4634,245.4,197.5,180,50,暗影爪,暗影之光,惡之波動,9,7,20,100000,8721516
89.9,142,化石翼龍,岩石,飛行,-,-,-,Mega,-,-,-,-,4655,258,189.1,172,50,龍息,岩崩,大地之力,12,13,5,75000,8389153
89.7,786,卡璞・蝶蝶,超能力,妖精,-,-,-,-,-,-,-,-,3950,230.2,187.4,157,50,驚嚇,自然之怒*,精神衝擊,5,4,20,100000,6773667
89.1,380,拉帝亞斯,龍,超能力,-,-,-,-,-,-,-,-,3968,204.2,219.3,172,50,龍息,波導彈,薄霧球*,10,15,20,100000,7702718
89.1,687,烏賊王,惡,超能力,-,-,-,Mega,-,-,-,-,3554,187.4,199.2,180,50,精神波,欺詐,蠻力,10,10,3,50000,6717296
88.9,380,拉帝亞斯,龍,超能力,-,-,暗影,-,-,-,-,-,3968,204.2,219.3,172,50,龍息,波導彈,薄霧球*,10,15,20,100000,7702718
88.5,706,黏美龍,龍,,-,-,-,-,-,-,-,-,3963,197.5,216,186,50,龍息,水流尾,雷電拳*,9,10,5,75000,7932000
88.3,149,快龍,龍,飛行,-,-,暗影,-,-,-,-,-,4287,233.6,179,188,50,龍息,雷電拳,蠻力,10,10,5,75000,7860515
88,151,夢幻,超能力,,-,-,-,-,-,-,-,-,3691,189.1,189.1,201,50,暗影爪,精神衝擊,瘋狂伏特,5,6,20,100000,7185051
87.9,250,鳳王,火,飛行,-,-,-,-,-,-,-,-,4367,213.4,217.6,192,50,燒盡,勇鳥猛攻,神聖之火*,3,4,20,100000,8918739
87.9,700,仙子伊布,妖精,,-,-,-,-,-,-,-,-,3470,183.2,184.9,194,50,妖精之風,月亮之力,暗影球,7,6,5,75000,6569762
87.8,145,閃電鳥,電,飛行,-,-,-,-,-,-,-,-,3987,225.2,168.1,186,50,電擊*,啄鑽,熱風,5,5,20,100000,7039576
87.6,145,閃電鳥,電,飛行,-,-,暗影,-,-,-,-,-,3987,225.2,168.1,186,50,電擊*,啄鑽,熱風,5,5,20,100000,7039576
87.2,373,暴飛龍,龍,飛行,-,-,暗影,-,-,-,-,-,4239,245.4,153.8,194,50,龍尾,狂舞揮打,飛翔,3,4,5,75000,7319888
87.1,468,波克基斯,妖精,飛行,-,-,-,-,-,-,-,-,3767,201.7,194.9,178,50,啄,魔法閃耀,波導彈*,7,5,3,50000,6998226
87,130,暴鯉龍,水,飛行,-,-,暗影,-,-,-,-,-,3834,211.8,168.9,194,50,龍息,水流尾*,龍捲風,9,10,1,10000,6938524
86.9,713,冰岩怪,冰,岩石,洗翠,-,-,-,-,-,-,-,3909,192.4,212.6,194,50,細雪,岩崩,冰凍之風,6,6,3,50000,7936454
86.9,130,暴鯉龍,水,飛行,-,-,-,-,-,-,-,-,3834,211.8,168.9,194,50,龍息,水流尾*,龍捲風,9,10,1,10000,6938524
86.8,998,戟脊龍,龍,冰,-,-,-,-,-,-,-,-,4013,226,153.8,205,50,龍息,Glaive Rush*,雪崩,10,12,5,75000,7125675
86.5,796,電束木,電,,-,-,-,-,-,-,-,-,4451,289.9,133.6,176,50,電擊,放電,魔法閃耀,5,7,20,100000,6817068
85.6,254,蜥蜴王,草,龍,-,-,-,Mega,-,-,-,-,4585,281.5,168.9,157,50,連斬,葉刃,龍爪,9,13,3,10000,7464647
85.6,642,雷電雲,電,飛行,-,靈獸,-,-,-,-,-,-,4137,260.5,147.9,170,50,伏特替換,鳴雷風暴*,真氣彈,3,5,20,100000,6549257
85.5,460,暴雪王,草,冰,-,-,-,Mega,-,-,-,-,3850,214.3,173.1,186,50,細雪,冰凍之風,能量球,6,6,3,50000,6899047
85.5,149,快龍,龍,飛行,-,-,-,-,-,-,-,-,4287,233.6,179,188,50,龍息,雷電拳,蠻力,10,10,5,75000,7860515
85.1,768,具甲武者,蟲,水,-,-,-,-,-,-,-,-,3575,195.8,202.5,164,50,連斬,十字剪,水流噴射,10,10,1,10000,6502578
85.1,150,超夢,超能力,,-,-,-,-,裝甲,-,-,-,3603,165.5,246.2,192,50,念力,精神擊破*,爆裂拳,4,4,20,100000,7825351
85.1,384,烈空坐,龍,飛行,-,-,-,-,-,-,-,-,4336,251.2,155.5,191,50,龍尾,廣域破壞*,畫龍點睛*,5,4,20,100000,7460107
84.9,250,鳳王,火,飛行,-,-,暗影,-,-,-,-,-,4367,213.4,217.6,192,50,燒盡,勇鳥猛攻,神聖之火*,3,4,20,100000,8918739
84.8,373,暴飛龍,龍,飛行,-,-,-,-,-,-,-,-,4239,245.4,153.8,194,50,龍尾,狂舞揮打,飛翔,3,4,5,75000,7319888
84.5,721,波爾凱尼恩,火,水,-,-,-,-,-,-,-,-,4102,224.4,194.1,172,50,燒盡,熱水,大地之力,3,3,20,100000,7490666
83.7,127,凱羅斯,蟲,飛行,-,-,-,Mega,-,-,-,-,4728,268.9,206.7,149,50,連斬,十字剪,近身戰,10,12,5,75000,8282093
83.7,730,西獅海壬,水,妖精,-,-,-,-,-,-,-,-,3618,207.6,176.5,172,50,撒嬌,魅惑之聲,加農水砲*,6,5,3,10000,6299607
83.5,645,土地雲,地面,飛行,-,靈獸,-,-,-,-,-,-,4434,255.5,163,184,50,泥巴射擊,熱沙風暴*,尖石攻擊,5,7,20,100000,7662348
83.1,905,眷戀雲,妖精,飛行,-,靈獸,-,-,-,-,-,-,3830,222.7,181.5,163,50,妖精之風,飛翔,月亮之力,5,7,20,100000,6588036
82.7,350,美納斯,水,,-,-,-,-,-,-,-,-,3398,173.9,196.6,194,50,龍尾,水流尾,緊束,3,4,5,75000,6635241
82.6,494,比克提尼,超能力,火,-,-,-,-,-,-,-,-,3691,189.1,189.1,201,50,念力,Ｖ熱焰,精神衝擊,3,3,20,100000,7185051
