評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
97.8,260,巨沼怪,水,地面,-,-,-,Mega,-,-,-,-,4975,250.4,195.8,201,50,泥巴射擊,加農水砲*,地震,5,8,3,10000,9854554
97.1,484,帕路奇亞,水,龍,-,起源,-,-,-,-,-,-,4683,252.9,200,171,50,龍息,水流尾,亞空裂斬<sup>†</sup>,9,14,20,100000,8649845
94.8,475,艾路雷朵,超能力,格鬥,-,-,-,Mega,-,-,-,-,5112,286.5,205.9,154,50,精神利刃,近身戰,葉刃,5,4,5,75000,9084686
94.8,718,基格爾德,龍,地面,-,完全體,-,-,-,-,-,-,4208,167.2,186.5,339,50,龍尾,咬碎,逆鱗,4,5,20,100000,10574857
94.7,716,哲爾尼亞斯,妖精,,-,-,-,-,-,-,-,-,4275,222.7,168.1,219,50,大地掌控*,近身戰,月亮之力,4,5,20,100000,8195751
94.3,890,無極汰那,毒,龍,-,-,-,-,-,-,-,-,5007,246.2,173.9,237,50,龍尾,極巨炮*,污泥炸彈,4,5,20,100000,10149743
94.2,249,洛奇亞,超能力,飛行,-,-,-,-,-,-,-,-,4186,174.8,273.1,210,50,龍尾,飛翔,氣旋攻擊*,4,7,20,100000,10023854
94,792,露奈雅拉,超能力,幽靈,-,-,-,-,-,-,-,-,4570,226.9,173.1,234,50,暗影爪,暗影球,月亮之力,7,8,20,100000,9190002
93.2,643,萊希拉姆,龍,火,-,-,-,-,-,-,-,-,4565,243.7,189.9,184,50,龍息,交錯火焰*,尖石攻擊,12,14,20,100000,8515164
93.1,484,帕路奇亞,水,龍,-,-,-,-,-,-,-,-,4512,247.9,193.3,171,50,龍息,水流尾,流星群,9,17,20,100000,8192467
93.1,644,捷克羅姆,龍,電,-,-,-,-,-,-,-,-,4565,243.7,189.9,184,50,龍息,逆鱗,交錯閃電*,15,12,20,100000,8515164
92.7,94,耿鬼,幽靈,毒,-,-,-,Mega,-,-,-,-,4902,305.9,179.8,142,50,暗影爪,暗影球,暗影拳*,7,5,3,50000,7810382
