評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
95.9,87,白海獅,水,冰,-,-,-,-,-,-,-,-,1498,102,136.9,157,28.5,冰礫*,水流噴射*,直衝鑽,4,4,3,50000,2192411
95.5,38,九尾,冰,妖精,阿羅拉,-,-,-,-,-,-,-,1497,114.5,136.1,125,24,細雪,氣象球 冰,精神衝擊,5,5,3,50000,1948701
94.5,768,具甲武者,蟲,水,-,-,-,-,-,-,-,-,1499,124.1,134.7,108,17.5,暗影爪,水流噴射,十字剪,5,5,1,10000,1804489
93.9,110,雙彈瓦斯,毒,妖精,伽勒爾,-,-,-,-,-,-,-,1499,117.7,139.5,116,24.5,妖精之風,污泥攻擊,狂舞揮打,5,4,3,50000,1904809
93.8,362,冰鬼護,冰,,-,-,-,-,-,-,-,-,1499,115.2,120.8,140,27,滾動,暗影球,雪崩,4,4,3,50000,1948427
93.6,997,凍脊龍,龍,冰,-,-,-,-,-,-,-,-,1500,122.9,98.6,151,27,龍息,龍爪,冰凍之風,13,12,5,75000,1828678
93.6,221,長毛豬,冰,地面,-,-,-,-,-,-,-,-,1500,121.1,99.5,154,24,細雪,冰錐,尖石攻擊,5,7,3,50000,1854684
93.5,97,引夢貘人,超能力,,-,-,-,-,-,-,-,-,1500,103.4,143,147,27,念力,精神衝擊*,暗影球,3,4,3,50000,2174050
93.5,73,毒刺水母,水,毒,-,-,-,-,-,-,-,-,1495,108.9,143.5,131,23,溶解液,熱水,以牙還牙,7,8,3,50000,2047453
93.1,211,千針魚,水,毒,-,-,-,-,-,-,-,-,1497,131.2,105.5,123,27,毒針,水流尾,暗影球,4,6,3,50000,1702587
92.5,121,寶石海星,水,超能力,-,-,-,-,-,-,-,-,1500,133.2,122,104,21.5,精神波,水流噴射,力量寶石,10,13,3,50000,1689998
91.9,24,阿柏怪,毒,,-,-,-,-,-,-,-,-,1499,123.7,120.1,122,29,溶解液,狂舞揮打,緊束,5,6,3,50000,1813613
91.2,867,死神板,地面,幽靈,-,-,-,-,-,-,-,-,1500,111.7,165.3,109,24.5,暗影爪,狂舞揮打,岩石封鎖,5,7,3,50000,2013466
90.8,563,死神棺,幽靈,,-,-,-,-,-,-,-,-,1500,111.7,165.3,109,24.5,暗影爪,暗影球,惡之波動,7,6,3,50000,2013466
90.8,317,吞食獸,毒,,-,-,-,-,-,-,-,-,1498,103.4,122.7,171,28.5,泥巴射擊,污泥攻擊,冰凍光束,5,7,1,10000,2169090
90.5,166,安瓢蟲,蟲,飛行,-,-,-,-,-,-,-,-,1496,101.4,162.5,134,49.5,滾動,雜技,爆裂拳,5,4,1,10000,2207885
90.1,110,雙彈瓦斯,毒,,-,-,-,-,-,-,-,-,1500,117.6,140.3,116,25,滾動,惡之波動,暗影球,4,4,3,50000,1912745
89.7,911,骨紋巨聲鱷,火,幽靈,-,-,-,-,-,-,-,-,1500,121.2,109.7,139,18.5,禍不單行,暗影球,閃焰高歌,4,4,3,10000,1849333
89.6,80,呆殼獸,水,超能力,-,-,-,-,-,-,-,-,1500,113.4,120.9,144,22,念力,吸取拳,熱水,3,4,3,50000,1974848
89.4,583,多多冰,冰,,-,-,-,-,-,-,-,-,1500,123.7,120.5,122,40.5,驚嚇,冰凍之風,信號光束,5,6,3,50000,1818275
89.2,351,飄浮泡泡,冰,,-,-,-,-,-,-,-,雪,1500,112.6,121.3,146,39.5,細雪,氣象球 冰,冰凍光束,5,7,5,75000,1993800
89,737,蟲電寶,蟲,電,-,-,-,-,-,-,-,-,1497,114.8,134.8,126,36.5,伏特替換*,十字剪,咬碎,3,3,1,10000,1949448
89,691,毒藻龍,毒,龍,-,-,-,-,-,-,-,-,1500,117.9,143.1,113,23.5,龍尾,水流尾,逆鱗,3,5,3,50000,1906032
88.9,199,呆呆王,毒,超能力,伽勒爾,-,-,-,-,-,-,-,1499,117.3,117.9,138,20.5,溶解液,精神衝擊,暗影球,5,7,3,50000,1909734
88.6,591,敗露球菇,草,毒,-,-,-,-,-,-,-,-,1498,109.3,105.9,177,26.5,驚嚇,欺詐,打草結,4,5,3,50000,2049605
87.9,713,冰岩怪,冰,,-,-,-,-,-,-,-,-,1500,111.8,141.4,127,17.5,咬住,雪崩,泰山壓頂,12,10,3,50000,2006849
87.8,426,隨風球,幽靈,飛行,-,-,-,-,-,-,-,-,1500,119.2,75.8,209,23.5,驚嚇,魔法火焰,暗影球,5,5,5,75000,1886853
87.8,478,雪妖女,冰,幽靈,-,-,-,-,-,-,-,-,1499,122.6,114.9,130,27.5,禍不單行,雪崩,暗影球,4,4,3,50000,1831027
87.7,413,結草貴婦,蟲,地面,-,-,-,-,砂土,-,-,-,1499,110,144.9,128,34.5,突襲,重踏,蟲鳴,8,9,1,10000,2040195
87.6,998,戟脊龍,龍,冰,-,-,-,-,-,-,-,-,1500,135.7,95.7,127,15.5,龍息,巨劍突擊*,冰凍之風,10,12,5,75000,1649572
87.3,975,浩大鯨,冰,,-,-,-,-,-,-,-,-,1500,120.2,77.1,202,18,細雪,冰錐,蠻力,5,5,3,50000,1870752
87,326,噗噗豬,超能力,,-,-,-,-,-,-,-,-,1497,113.3,131.5,132,23.5,精神波,鏡面反射,暗影球,12,13,1,10000,1966510
86.9,779,磨牙彩皮魚,水,超能力,-,-,-,-,-,-,-,-,1495,136.5,102.5,117,23,念力,精神衝擊,精神之牙,3,3,3,50000,1636557
86.3,460,暴雪王,草,冰,-,-,-,-,-,-,-,-,1495,117.9,112,143,23.5,樹葉,氣象球 冰,能量球,5,6,3,50000,1888173
86.3,344,念力土偶,地面,超能力,-,-,-,-,-,-,-,-,1500,103.6,172.7,121,29,念力,岩石封鎖,大地之力,4,4,3,50000,2164207
86.3,30,尼多娜,毒,,-,-,-,-,-,-,-,-,1480,110.9,113.4,157,50,毒針,劇毒牙,挖洞,5,6,3,50000,1975496
86.2,851,焚焰蚣,火,蟲,-,-,-,-,-,-,-,-,1500,128.7,99.4,136,18.5,火花,猛撲,咬碎,5,5,5,75000,1739873
86.2,974,走鯨,冰,,-,-,-,-,-,-,-,-,1469,112.6,79.8,213,50,細雪,雪崩,泰山壓頂,6,5,3,50000,1914594
85.5,80,呆殼獸,毒,超能力,伽勒爾,-,-,-,-,-,-,-,1500,119.1,108.4,146,22.5,念力,狂舞揮打,污泥炸彈,3,4,3,50000,1884537
85.1,937,蒼炎刃鬼,火,幽靈,-,-,-,-,-,-,-,-,1500,136.4,114,106,17.5,火花,暗影球,熱風,6,5,5,50000,1647731
85.1,996,涼脊龍,龍,冰,-,-,-,-,-,-,-,-,1410,125.2,84.9,149,50,龍息,龍爪,冰凍之風,13,12,5,75000,1583298
85.1,93,鬼斯通,幽靈,毒,-,-,-,-,-,-,-,-,1498,161.2,85.5,101,28,暗影爪,暗影拳,惡之波動,5,6,3,50000,1392317
85,89,臭臭泥,毒,,-,-,-,-,-,-,-,-,1491,115.9,111.7,148,20,毒擊,惡之波動,雷電拳,7,6,3,50000,1916176
84.9,26,雷丘,電,超能力,阿羅拉,-,-,-,-,-,-,-,1498,135.5,109.9,111,24,伏特替換,瘋狂伏特,精神衝擊,3,3,1,10000,1653242
84.7,200,夢妖,幽靈,,-,-,-,-,-,-,-,-,1495,123,120.9,122,29,驚嚇,惡之波動,影子偷襲,5,5,3,50000,1813865
84.7,826,以歐路普,蟲,超能力,-,-,-,-,-,-,-,-,1496,107.9,168.6,114,25.5,念力,精神衝擊,蟲鳴,3,5,1,10000,2075077
84.4,49,摩魯蛾,蟲,毒,-,-,-,-,-,-,-,-,1497,127,107.6,129,27,精神波,銀色旋風,劇毒牙,12,10,3,50000,1763077
84.3,308,恰雷姆,格鬥,超能力,-,-,-,-,-,-,-,-,1500,106.9,139.5,141,49,精神利刃,爆裂拳,冰凍拳,5,5,3,50000,2102958
83.9,655,妖火紅狐,火,超能力,-,-,-,-,-,-,-,-,1499,132.6,115.6,110,18,火焰旋渦,爆炸烈焰*,精神衝擊,5,4,3,10000,1686664
83.6,42,大嘴蝠,毒,飛行,-,-,-,-,-,-,-,-,1499,117.7,116.2,139,28.5,翅膀攻擊,空氣利刃,暗影球,5,7,1,10000,1901391
83.6,178,天然鳥,超能力,飛行,-,-,-,-,-,-,-,-,1500,132.2,107.9,119,25.5,啄,精神衝擊,暗影球,5,7,3,50000,1698214
83.5,314,甜甜螢,蟲,,-,-,-,-,-,-,-,-,1500,111.4,136.2,133,33.5,死纏爛打,暗影球,銀色旋風,5,4,3,50000,2018689
83.5,31,尼多后,毒,地面,-,-,-,-,-,-,-,-,1498,116.6,118.5,139,22.5,毒針,大地之力,尖石攻擊,6,7,3,50000,1920313
83.2,71,大食花,草,毒,-,-,-,-,-,-,-,-,1498,135.2,93.5,131,23,突襲,葉刃,污泥炸彈,5,8,3,50000,1656351
83.1,358,風鈴鈴,超能力,,-,-,-,-,-,-,-,-,1500,119.6,120.9,130,25,驚嚇,精神衝擊,暗影球,4,5,5,75000,1879066
83,168,阿利多斯,蟲,毒,-,-,-,-,-,-,-,-,1497,124.2,103.9,140,33.5,死纏爛打,欺詐,十字毒刃,4,3,1,10000,1806211
82.9,473,象牙豬,冰,地面,-,-,-,-,-,-,-,-,1500,136.2,87.4,138,16.5,細雪,冰錐,尖石攻擊,5,7,3,50000,1642085
82.5,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,特大尺寸,-,1500,115.1,131.6,129,21,燒盡,暗影球,欺詐,3,2,5,75000,1953944
82.1,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,普通尺寸,-,1498,115.9,145.1,115,23.5,燒盡,暗影球,欺詐,3,2,5,75000,1933691
82.1,636,燃燒蟲,蟲,火,-,-,-,-,-,-,-,-,1499,130.8,99.8,131,45.5,火花,火焰輪,蟲鳴,5,7,5,75000,1710210
82,781,破破舵輪,幽靈,草,-,-,-,-,-,-,-,-,1498,139.8,109.3,105,20,暗影爪,狂舞揮打,暗影球,5,7,5,50000,1604674
82,608,燈火幽靈,幽靈,火,-,-,-,-,-,-,-,-,1500,132.5,99,129,35,驚嚇,熱風,能量球,5,5,5,75000,1692369
82,313,電螢蟲,蟲,,-,-,-,-,-,-,-,-,1500,111.4,136.2,133,33.5,死纏爛打,暗影球,十萬伏特,5,5,3,50000,2018689
81.7,15,大針蜂,蟲,毒,-,-,-,-,-,-,-,-,1500,127.1,106.5,130,30.5,毒針,直衝鑽*,十字剪,5,5,1,10000,1760459
81.7,79,呆呆獸,水,超能力,-,-,-,-,-,-,-,-,1386,104.2,95,186,50,念力,精神衝擊,水之波動,3,4,3,50000,1840271
81.7,416,蜂女王,蟲,飛行,-,-,-,-,-,-,-,-,1499,108.9,143.5,132,28,毒針,十字剪,力量寶石,5,6,3,50000,2061993
81.6,94,耿鬼,幽靈,毒,-,-,-,-,-,-,-,-,1495,154.3,95.5,98,19,暗影爪,暗影拳*,吸取拳,5,5,3,50000,1444036
81.5,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,大尺寸,-,1500,115.9,137.2,122,22,燒盡,暗影球,欺詐,3,2,5,75000,1940488
81.2,88,臭泥,毒,,-,-,-,-,-,-,-,-,1491,121,88.2,172,50,擲泥,污泥攻擊,泥巴炸彈,4,5,3,50000,1836323
81,214,赫拉克羅斯,蟲,格鬥,-,-,-,-,-,-,-,-,1500,134.7,108.4,114,17.5,連斬,岩石封鎖,近身戰,13,12,3,50000,1664501
81,429,夢妖魔,幽靈,,-,-,-,-,-,-,-,-,1493,131.6,123.7,104,21,禍不單行,暗影球,惡之波動,4,4,3,50000,1692580
80.9,758,焰后蜥,毒,火,-,-,-,-,-,-,-,-,1499,147,91.2,114,22.5,燒盡,劇毒牙,龍之波動,2,3,3,50000,1529161
80.8,124,迷唇姐,冰,超能力,-,-,-,-,-,-,-,-,1499,141.2,102.2,110,21.5,念力,精神衝擊,雪崩,3,4,5,75000,1587668
80.8,199,呆呆王,水,超能力,-,-,-,-,-,-,-,-,1500,113.4,120.9,144,22,念力,衝浪*,精神強念,4,4,3,50000,1974848
80.6,724,狙射樹梟,草,幽靈,-,-,-,-,-,-,-,-,1500,127.8,115.3,119,20,驚嚇,瘋狂植物*,縫影,5,4,3,10000,1754076
80,169,叉字蝠,毒,飛行,-,-,-,-,-,-,-,-,1500,121.2,118.1,129,21,咬住,空氣利刃,十字毒刃,10,9,1,10000,1847304
79.8,596,電蜘蛛,蟲,電,-,-,-,-,-,-,-,-,1500,138.3,96.5,122,25.5,伏特替換,放電,猛撲,3,3,3,50000,1627493
79.8,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,小尺寸,-,1499,116.9,153,107,25,燒盡,暗影球,欺詐,3,2,5,75000,1913042
79.5,402,音箱蟀,蟲,,-,-,-,-,-,-,-,-,1497,127.7,89.6,153,38,連斬,十字剪,燕返,10,12,1,10000,1750786
79.4,454,毒骷蛙,毒,格鬥,-,-,-,-,-,-,-,-,1499,136.2,93.8,129,22.5,毒針,暗影球,爆裂拳,6,5,3,50000,1648115
79.3,122,魔牆人偶,超能力,妖精,-,-,-,-,-,-,-,-,1500,131.6,144.3,90,25,精神波,暗影球,精神強念,13,14,5,75000,1708557
