評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
97.1,351,飄浮泡泡,一般,,-,-,-,-,-,-,-,-,1500,112.6,121.3,146,39.5,禍不單行,氣象球 岩石,能量球,3,4,5,75000,1993800
96.9,683,芳香精,妖精,,-,-,-,-,-,-,-,-,1500,115.8,107.3,156,24,妖精之風,精神衝擊,月亮之力,5,7,3,50000,1939437
96.7,364,海魔獅,冰,水,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,細雪,衝浪,泰山壓頂,6,5,3,50000,2065168
95.8,700,仙子伊布,妖精,,-,-,-,-,-,-,-,-,1498,117.3,124.7,130,18,妖精之風,精神衝擊*,暗影球,5,6,5,75000,1901632
95.4,975,浩大鯨,冰,,-,-,-,-,-,-,-,-,1500,120.2,77.1,202,18,細雪,冰錐,蠻力,5,5,3,50000,1870752
94.5,671,花潔夫人,妖精,,-,-,-,-,-,-,-,-,1499,120.1,141.6,110,17,妖精之風,潑冷水*,魅惑之聲,5,5,3,50000,1869643
94.5,364,海魔獅,冰,水,-,-,暗影,-,-,-,-,-,1500,109,112.8,168,36,細雪,衝浪,泰山壓頂,6,5,3,50000,2065168
94.5,365,帝牙海獅,冰,水,-,-,暗影,-,-,-,-,-,1500,112.5,114.9,154,20.5,攀瀑,冰錐*,地震,4,7,3,50000,1990879
94.2,428,長耳兔,一般,,-,-,-,-,-,-,-,-,1499,112.1,143.6,124,27.5,踢倒,暗影球,火焰拳,7,5,3,50000,1996020
94.2,143,卡比獸,一般,,-,-,-,-,-,-,-,-,1500,108.4,102.3,187,17.5,舌舔,泰山壓頂,蠻力,12,14,5,75000,2073265
93.6,337,月石,岩石,超能力,-,-,-,-,-,-,-,-,1496,119.1,108.6,145,24,精神波,岩崩,氣象球 冰,12,9,3,50000,1876210
92.5,338,太陽岩,岩石,超能力,-,-,-,-,-,-,-,-,1496,119.1,108.6,145,24,精神波,岩崩,氣象球 火,12,9,3,50000,1876210
92.1,143,卡比獸,一般,,-,-,暗影,-,-,-,-,-,1500,108.4,102.3,187,17.5,舌舔,泰山壓頂,蠻力,12,14,5,75000,2073265
91.3,934,鹽石巨靈,岩石,,-,-,-,-,-,-,-,-,1494,105.8,137.3,145,20.5,泥巴射擊,岩石爆擊,岩石封鎖,5,6,5,50000,2107121
90.9,75,隆隆石,岩石,電,阿羅拉,-,-,-,-,-,-,-,1499,121.5,131,116,30,伏特替換,尖石攻擊,岩石爆擊,4,3,1,10000,1845378
90.5,356,彷徨夜靈,幽靈,,-,-,-,-,-,-,-,-,1497,102.4,197.7,108,42,禍不單行,火焰拳,暗影拳,4,3,3,50000,2186937
90.5,446,小卡比獸,一般,,-,-,-,-,-,-,-,-,1499,103.2,96.6,218,30,撞擊,泰山壓頂,重踏,12,15,5,10000,2172279
90.5,365,帝牙海獅,冰,水,-,-,-,-,-,-,-,-,1500,112.5,114.9,154,20.5,攀瀑,冰錐*,地震,4,7,3,50000,1990879
90.2,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,普通尺寸,-,1498,115.9,145.1,115,23.5,燒盡,暗影球,種子炸彈,3,2,5,75000,1933691
90.2,730,西獅海壬,水,妖精,-,-,-,-,-,-,-,-,1500,131.6,115.7,112,17,攀瀑,加農水砲*,魅惑之聲,4,5,3,10000,1705342
90,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,大尺寸,-,1500,115.9,137.2,122,22,燒盡,暗影球,種子炸彈,3,2,5,75000,1940488
89.5,685,胖甜妮,妖精,,-,-,-,-,-,-,-,-,1498,116,119.4,139,25.5,妖精之風,噴射火焰,能量球,7,5,3,50000,1925688
89.3,356,彷徨夜靈,幽靈,,-,-,暗影,-,-,-,-,-,1497,102.4,197.7,108,42,禍不單行,火焰拳,暗影拳,4,3,3,50000,2186937
88.8,400,大尾狸,一般,水,-,-,-,-,-,-,-,-,1498,123,99.3,149,31.5,滾動,衝浪,必殺門牙,4,4,1,10000,1818797
88.8,526,龐岩怪,岩石,,-,-,-,-,-,-,-,-,1499,127.2,118.4,117,17,鎖定,蠻力,流星光束*,8,12,3,50000,1762839
88.8,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,小尺寸,-,1499,116.9,153,107,25,燒盡,暗影球,種子炸彈,3,2,5,75000,1913042
88.5,75,隆隆石,岩石,電,阿羅拉,-,暗影,-,-,-,-,-,1500,122.6,129.9,115,29.5,伏特替換,尖石攻擊,岩石爆擊,4,3,1,10000,1831483
88.4,76,隆隆岩,岩石,電,阿羅拉,-,暗影,-,-,-,-,-,1497,125.2,122.3,117,19,伏特替換,瘋狂伏特,岩石爆擊,3,3,1,10000,1791042
88.4,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,特大尺寸,-,1500,115.1,131.6,129,21,燒盡,暗影球,種子炸彈,3,2,5,75000,1953944
88.2,76,隆隆岩,岩石,電,阿羅拉,-,-,-,-,-,-,-,1497,125.2,122.3,117,19,伏特替換,瘋狂伏特,岩石爆擊,3,3,1,10000,1791042
87.7,689,龜足巨鎧,岩石,水,-,-,-,-,-,-,-,-,1499,121,133.1,115,20.5,連斬,十字劈,尖石攻擊,9,14,3,50000,1851007
86.7,547,風妖精,草,妖精,-,-,-,-,-,-,-,-,1499,118.8,135,118,28,妖精之風,種子炸彈,月亮之力,5,7,1,10000,1892000
86.6,400,大尾狸,一般,水,-,-,暗影,-,-,-,-,-,1498,123,99.3,149,31.5,滾動,衝浪,必殺門牙,4,4,1,10000,1818797
86.5,925,一家鼠,一般,,-,-,-,-,-,-,-,-,1498,116.2,122,136,28.5,泥巴射擊,高速星星,咬碎,4,5,1,10000,1928003
86.4,756,燈罩夜菇,草,妖精,-,-,-,-,-,-,-,-,1499,116.6,134.3,123,31,驚嚇,種子炸彈,月亮之力,4,6,3,50000,1925196
86.2,478,雪妖女,冰,幽靈,-,-,暗影,-,-,-,-,-,1499,122.6,114.9,130,27.5,禍不單行,雪崩,暗影球,4,4,3,50000,1831027
85.8,724,狙射樹梟,草,幽靈,-,-,-,-,-,-,-,-,1500,127.8,115.3,119,20,樹葉,瘋狂植物*,縫影,6,5,3,10000,1754076
85.6,927,麻花犬,妖精,,-,-,-,-,-,-,-,-,1500,113.5,156.1,112,26.5,火焰牙,精神之牙,嬉鬧,6,10,3,50000,1983841
85,526,龐岩怪,岩石,,-,-,暗影,-,-,-,-,-,1499,127.2,118.4,117,17,鎖定,流星光束*,蠻力,12,8,3,50000,1762839
84.6,563,死神棺,幽靈,,-,-,-,-,-,-,-,-,1500,111.7,165.3,109,24.5,暗影爪,暗影球,報恩<sup>†</sup>,7,9,3,50000,2013466
84.6,702,咚咚鼠,電,妖精,-,-,-,-,-,-,-,-,1498,124.4,109,133,30,電擊,放電,嬉鬧,5,7,3,50000,1803653
84.4,87,白海獅,水,冰,-,-,-,-,-,-,-,-,1498,102,136.9,157,28.5,冰礫*,冰凍之風*,直衝鑽,5,4,3,50000,2192411
84.4,362,冰鬼護,冰,,-,-,-,-,-,-,-,-,1499,115.2,120.8,140,27,滾動,雪崩,暗影球,4,4,3,50000,1948427
84.2,945,塗標客,毒,一般,-,-,-,-,-,-,-,-,1498,134.2,107.8,115,24.5,擲泥,劇毒牙,污泥炸彈,4,5,3,50000,1663690
84.2,140,化石盔,岩石,水,-,-,-,-,-,-,-,-,1499,134.5,129.5,96,49,泥巴射擊,水流噴射,岩石封鎖,5,6,5,75000,1671529
84,781,破破舵輪,幽靈,草,-,-,-,-,-,-,-,-,1498,139.8,109.3,105,20,暗影爪,強力鞭打,狂舞揮打,7,5,5,50000,1604674
83.6,222,太陽珊瑚,水,岩石,-,-,-,-,-,-,-,-,1500,108.6,142,134,49,泡沫,力量寶石,岩石爆擊,5,4,3,50000,2066246
