評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
98.7,326,噗噗豬,超能力,,-,-,-,-,-,-,-,-,2498,147,168.7,171,49,精神波,爆裂拳,暗影球,12,13,1,10000,4241751
96.9,230,刺龍王,水,龍,-,-,-,-,-,-,-,-,2499,157,165.7,153,40.5,龍息,高速星星,逆鱗,9,15,3,50000,3979555
95.7,326,噗噗豬,超能力,,-,-,暗影,-,-,-,-,-,2498,147,168.7,171,49,精神波,爆裂拳,暗影球,12,13,1,10000,4241751
95.5,230,刺龍王,水,龍,-,-,暗影,-,-,-,-,-,2499,157,165.7,153,40.5,龍息,高速星星,逆鱗,9,15,3,50000,3979555
95.3,558,岩殿居蟹,蟲,岩石,-,-,-,-,-,-,-,-,2499,155.1,172.9,150,43.5,連斬,十字剪,岩石炮,10,13,1,10000,4021778
94.2,820,藏飽栗鼠,一般,,-,-,-,-,-,-,-,-,2496,137.4,143.3,230,49.5,泥巴射擊,起草,泰山壓頂,5,4,1,10000,4527437
94.1,977,吃吼霸,水,,-,-,-,-,-,-,-,-,2495,133.9,142.8,243,32,攀瀑,衝浪,逆鱗,5,6,5,75000,4646009
93.9,480,由克希,超能力,,-,-,-,-,-,-,-,-,2500,131.6,229.6,157,46.5,念力,高速星星,預知未來,3,5,20,100000,4744783
93.1,563,死神棺,幽靈,,-,-,-,-,-,-,-,-,2497,146.6,208.6,139,49.5,暗影爪,暗影球,惡之波動,7,7,3,50000,4251447
92.8,979,棄世猴,格鬥,幽靈,-,-,-,-,-,-,-,-,2497,159,135.7,181,28,踢倒,憤怒之拳*,近身戰,5,6,3,50000,3907139
92.4,558,岩殿居蟹,蟲,岩石,-,-,暗影,-,-,-,-,-,2499,155.1,172.9,150,43.5,連斬,十字剪,岩石炮,10,13,1,10000,4021778
92.2,350,美納斯,水,,-,-,-,-,-,-,-,-,2495,145.2,172.6,171,31.5,龍尾,水流尾,緊束,3,4,5,75000,4285417
92,768,具甲武者,蟲,水,-,-,-,-,-,-,-,-,2497,160.4,171.9,141,29,連斬,十字剪,水流噴射,10,10,1,10000,3889212
92,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,普通尺寸,-,2496,149.5,189.6,147,49,禍不單行,暗影球,欺詐,4,4,5,75000,4167554
92,241,大奶罐,一般,,-,-,-,-,-,-,-,-,2495,136.1,173.1,194,50,滾動,泰山壓頂,冰凍光束,3,5,5,75000,4571437
91.9,646,酋雷姆,龍,冰,-,-,-,-,-,-,-,-,2500,171,121.2,176,26,龍息,冰封世界*,龍爪,10,13,20,100000,3648471
91.8,9,水箭龜,水,,-,-,-,-,-,-,-,-,2498,143.9,181.6,166,45.5,滾動,加農水砲*,火箭頭錘,4,6,3,10000,4337825
91.7,699,冰雪巨龍,岩石,冰,-,-,-,-,-,-,-,-,2497,145.8,136.6,214,36,細雪,氣象球 冰,流星光束,5,8,5,75000,4262140
91.7,249,洛奇亞,超能力,飛行,-,-,-,-,-,-,-,-,2495,132.3,215.7,164,25,龍尾,氣旋攻擊*,飛翔,7,4,20,100000,4679276
91.6,706,黏美龍,龍,,-,-,-,-,-,-,-,-,2493,153.3,175.1,151,26,龍息,水流尾,雷電拳*,9,10,5,75000,4051325
91.6,337,月石,岩石,超能力,-,-,-,-,-,-,-,-,2497,157.3,139.1,181,47.5,精神波,氣象球 冰,岩崩,9,12,3,50000,3959098
91.5,80,呆殼獸,水,超能力,-,-,-,-,-,-,-,-,2498,146.6,156.2,186,43,念力,衝浪*,吸取拳,4,3,3,50000,4258939
91.4,691,毒藻龍,毒,龍,-,-,-,-,-,-,-,-,2496,151.2,185.4,147,49,龍尾,水流尾,逆鱗,3,5,3,50000,4121297
91.3,784,杖尾鱗甲龍,龍,格鬥,-,-,-,-,-,-,-,-,2496,159.8,178.1,137,28,龍尾,鱗片噪音*,快手還擊,4,4,5,75000,3898756
91,979,棄世猴,格鬥,幽靈,-,-,暗影,-,-,-,-,-,2497,159,135.7,181,28,踢倒,憤怒之拳*,近身戰,5,6,3,50000,3907139
91,867,死神板,地面,幽靈,-,-,-,-,-,-,-,-,2497,146.6,208.6,139,49.5,暗影爪,岩石封鎖,暗影球,7,7,3,50000,4251447
90.9,73,毒刺水母,水,毒,-,-,-,-,-,-,-,-,2499,141.2,185.2,169,48,溶解液,熱水,以牙還牙,7,8,3,50000,4416829
90.8,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,特大尺寸,-,2495,147.5,170.5,168,40.5,禍不單行,暗影球,欺詐,4,4,5,75000,4222720
90.8,350,美納斯,水,,-,-,暗影,-,-,-,-,-,2495,145.2,172.6,171,31.5,龍尾,水流尾,緊束,3,4,5,75000,4285417
90.8,365,帝牙海獅,冰,水,-,-,-,-,-,-,-,-,2500,145.4,147.8,200,38.5,細雪*,冰錐*,地震,5,9,3,50000,4297195
90.7,426,隨風球,幽靈,飛行,-,-,-,-,-,-,-,-,2496,153.2,97.4,272,48.5,驚嚇,暗影球,冰凍之風,5,5,5,75000,4061233
90.6,9,水箭龜,水,,-,-,暗影,-,-,-,-,-,2498,143.9,181.6,166,45.5,滾動,加農水砲*,火箭頭錘,4,6,3,10000,4337825
90.6,160,大力鱷,水,,-,-,-,-,-,-,-,-,2496,159.2,154.6,159,35,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,3912480
90.4,130,暴鯉龍,水,飛行,-,-,暗影,-,-,-,-,-,2500,168,138.1,160,27,龍息,水流尾*,龍捲風,9,10,1,10000,3712677
90.3,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,大尺寸,-,2494,148.3,179.1,158,44,禍不單行,暗影球,欺詐,4,4,5,75000,4195581
90.2,503,大劍鬼,水,,-,-,-,-,-,-,-,-,2498,165.1,130.7,175,35.5,連斬,加農水砲*,超級角擊,10,14,3,10000,3777696
90.2,199,呆呆王,毒,超能力,伽勒爾,-,-,-,-,-,-,-,2500,151.7,152.4,178,38.5,溶解液,精神衝擊,暗影球,5,7,3,50000,4115633
90.1,160,大力鱷,水,,-,-,暗影,-,-,-,-,-,2496,159.2,154.6,159,35,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,3912480
90,144,急凍鳥,冰,飛行,-,-,-,-,-,-,-,-,2495,144.6,185.2,160,31,細雪,冰凍之風,暴風*,6,8,20,100000,4284411
90,73,毒刺水母,水,毒,-,-,暗影,-,-,-,-,-,2499,141.2,185.2,169,48,溶解液,熱水,以牙還牙,7,8,3,50000,4416829
89.8,272,樂天河童,水,草,-,-,-,-,-,-,-,-,2496,153.1,158.1,168,47.5,驚嚇,氣象球 水,飛葉風暴,4,6,3,50000,4067890
89.6,487,騎拉帝納,幽靈,龍,-,起源,-,-,-,-,-,-,2500,154.3,134.3,195,25,暗影爪,暗影球,龍之波動,7,7,20,100000,4039334
89.5,699,冰雪巨龍,岩石,冰,-,-,暗影,-,-,-,-,-,2497,145.8,136.6,214,36,細雪,氣象球 冰,流星光束,5,8,5,75000,4262140
89.5,380,拉帝亞斯,龍,超能力,-,-,-,-,-,-,-,-,2495,160.2,178.1,136,26.5,龍息,薄霧球*,波導彈,15,10,20,100000,3881268
89.4,338,太陽岩,岩石,超能力,-,-,-,-,-,-,-,-,2497,157.3,139.1,181,47.5,精神波,岩崩,氣象球 火,12,9,3,50000,3959098
89.3,563,死神棺,幽靈,,-,-,暗影,-,-,-,-,-,2497,146.6,208.6,139,49.5,暗影爪,暗影球,惡之波動,7,7,3,50000,4251447
89.3,365,帝牙海獅,冰,水,-,-,暗影,-,-,-,-,-,2500,145.4,147.8,200,38.5,細雪*,冰錐*,地震,5,9,3,50000,4297195
89.2,503,大劍鬼,水,,-,-,暗影,-,-,-,-,-,2498,165.1,130.7,175,35.5,連斬,加農水砲*,超級角擊,10,14,3,10000,3777696
89,711,南瓜怪人,幽靈,草,-,-,-,-,-,-,小尺寸,-,2499,154.2,196,134,49.5,禍不單行,暗影球,欺詐,4,4,5,75000,4049702
89,709,朽木妖,幽靈,草,-,-,暗影,-,-,-,-,-,2500,165.6,135.7,168,43.5,暗影爪,暗影球,欺詐,7,5,5,75000,3775585
88.8,426,隨風球,幽靈,飛行,-,-,暗影,-,-,-,-,-,2496,153.2,97.4,272,48.5,驚嚇,暗影球,冰凍之風,5,5,5,75000,4061233
88.8,130,暴鯉龍,水,飛行,-,-,-,-,-,-,-,-,2500,168,138.1,160,27,龍息,水流尾*,龍捲風,9,10,1,10000,3712677
88.6,770,噬沙堡爺,幽靈,地面,-,-,-,-,-,-,-,-,2500,150.2,157.6,175,47,驚嚇,流沙地獄,暗影球,4,5,3,50000,4143492
88.3,151,夢幻,超能力,,-,-,-,-,-,-,-,-,2493,155.5,154.8,166,27.5,暗影爪,精神衝擊,瘋狂伏特,5,6,20,100000,3996896
88.3,62,蚊香泳士,水,格鬥,-,-,-,-,-,-,-,-,2497,148.9,158.5,177,42,泥巴射擊,冰凍之風,爆裂拳,5,5,3,50000,4175005
88.2,733,銃嘴大鳥,一般,飛行,-,-,暗影,-,-,-,-,-,2499,177.3,124.8,159,39,啄,鳥嘴加農炮*,啄鑽,7,5,1,10000,3517550
88.1,380,拉帝亞斯,龍,超能力,-,-,暗影,-,-,-,-,-,2499,163.5,171.7,136,26,龍息,薄霧球*,波導彈,15,10,20,100000,3816412
87.9,733,銃嘴大鳥,一般,飛行,-,-,-,-,-,-,-,-,2499,177.3,124.8,159,39,啄,鳥嘴加農炮*,啄鑽,7,5,1,10000,3517550
87.8,57,火爆猴,格鬥,,-,-,-,-,-,-,-,-,2499,182.4,127.4,147,48.5,空手劈*,憤怒之拳*,近身戰,4,5,3,50000,3416160
