評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
98.7,337,月石,岩石,超能力,-,-,-,-,-,-,-,-,1496,119.1,108.6,145,24,精神波,氣象球 冰,岩崩,9,12,3,50000,1876210
96.7,705,黏美兒,龍,,-,-,-,-,-,-,-,-,1499,114.2,133.8,128,27.5,龍息,泰山壓頂,龍之波動,9,14,5,75000,1955692
95.1,593,胖嘟嘟,水,幽靈,-,-,-,-,-,-,-,-,1499,106.7,126.3,156,24,禍不單行,衝浪,暗影球,4,4,3,50000,2101858
95.1,226,巨翅飛魚,水,飛行,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,翅膀攻擊,龍捲風,水之波動,5,7,5,75000,2126860
94.3,488,克雷色利亞,超能力,,-,-,-,-,-,-,-,-,1497,93.2,160.7,160,20,精神利刃,打草結*,月亮之力,6,7,20,100000,2396223
94.2,765,智揮猩,一般,超能力,-,-,-,-,-,-,-,-,1498,110.2,130.1,142,23,念力,狂舞揮打,起草,3,4,3,75000,2034972
94.2,18,大比鳥,一般,飛行,-,-,-,-,-,-,-,-,1499,116.9,115.5,142,26.5,翅膀攻擊*,龍捲風,勇鳥猛攻,5,7,1,10000,1917898
94.2,895,雷吉鐸拉戈,龍,,-,-,-,-,-,-,-,-,1499,121.9,62.7,241,20,龍息*,巨龍威能*,夾住,12,10,20,100000,1842328
94.1,426,隨風球,幽靈,飛行,-,-,-,-,-,-,-,-,1500,119.2,75.8,209,23.5,禍不單行,冰凍之風,暗影球,4,4,5,75000,1886853
94,706,黏美龍,龍,,-,-,-,-,-,-,-,-,1499,119.7,134.1,117,16,龍息,水流尾,雷電拳*,9,10,5,75000,1878306
94,338,太陽岩,岩石,超能力,-,-,-,-,-,-,-,-,1496,119.1,108.6,145,24,精神波,氣象球 火,岩崩,9,12,3,50000,1876210
93.9,148,哈克龍,龍,,-,-,暗影,-,-,-,-,-,1499,125.2,112.5,127,33,龍息,緊束,水流尾,12,9,5,75000,1788369
93.8,230,刺龍王,水,龍,-,-,暗影,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,衝浪,高速星星,12,9,3,50000,1839109
93.4,97,引夢貘人,超能力,,-,-,-,-,-,-,-,-,1500,103.4,143,147,27,念力,暗影球,雷電拳,4,3,3,50000,2174050
93.1,733,銃嘴大鳥,一般,飛行,-,-,暗影,-,-,-,-,-,1500,137.3,96.8,123,20.5,啄,鳥嘴加農炮*,啄鑽,7,5,1,10000,1634212
93,733,銃嘴大鳥,一般,飛行,-,-,-,-,-,-,-,-,1500,137.3,96.8,123,20.5,啄,鳥嘴加農炮*,啄鑽,7,5,1,10000,1634212
92.9,230,刺龍王,水,龍,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,衝浪,高速星星,12,9,3,50000,1839109
92.8,130,暴鯉龍,水,飛行,-,-,暗影,-,-,-,-,-,1498,130.8,108.5,121,16.5,龍息,水流尾*,龍捲風,9,10,1,10000,1717312
92.8,249,洛奇亞,超能力,飛行,-,-,-,-,-,-,-,-,1497,102.4,167.1,127,15,龍尾,飛翔,氣旋攻擊*,4,7,20,100000,2174273
92.3,164,貓頭夜鷹,一般,飛行,-,-,-,-,-,-,-,-,1500,105.3,120.2,168,28,翅膀攻擊,神鳥猛擊,暗影球,7,7,1,10000,2126381
92.2,326,噗噗豬,超能力,,-,-,-,-,-,-,-,-,1497,113.3,131.5,132,23.5,精神波,爆裂拳,暗影球,12,13,1,10000,1966510
92.2,151,夢幻,超能力,,-,-,-,-,-,-,-,-,1498,120.5,119.4,129,16.5,暗影爪,瘋狂伏特,精神衝擊,6,5,20,100000,1855163
92,372,甲殼龍,龍,,-,-,-,-,-,-,-,-,1498,123.3,119.1,123,27.5,龍息,龍捲風,噴射火焰,10,14,5,75000,1806077
91.8,334,七夕青鳥,龍,飛行,-,-,-,-,-,-,-,-,1499,103.4,151.9,138,28.5,龍息,神鳥猛擊,噴射火焰,13,14,1,10000,2167763
91.6,148,哈克龍,龍,,-,-,-,-,-,-,-,-,1499,125.2,112.5,127,33,龍息,水流尾,龍之波動,9,14,5,75000,1788369
91.6,373,暴飛龍,龍,飛行,-,-,暗影,-,-,-,-,-,1497,143.5,93.1,117,14.5,龍尾,飛翔,狂舞揮打,4,3,5,75000,1562473
91.5,85,嘟嘟利,一般,飛行,-,-,-,-,-,-,-,-,1496,143.8,98.4,110,23.5,啄,啄鑽,勇鳥猛攻,5,7,3,50000,1556601
91.5,487,騎拉帝納,幽靈,龍,-,-,暗影,-,別種,-,-,-,1487,105.3,125,159,16,龍息,龍爪,影子偷襲,13,13,20,100000,2092849
91.5,178,天然鳥,超能力,飛行,-,-,暗影,-,-,-,-,-,1500,132.2,107.9,119,25.5,啄,精神衝擊,暗影球,5,7,3,50000,1698214
91.4,372,甲殼龍,龍,,-,-,暗影,-,-,-,-,-,1498,123.3,119.1,123,27.5,龍息,龍捲風,噴射火焰,10,14,5,75000,1806077
91.2,326,噗噗豬,超能力,,-,-,暗影,-,-,-,-,-,1497,113.3,131.5,132,23.5,精神波,爆裂拳,暗影球,12,13,1,10000,1966510
91.2,416,蜂女王,蟲,飛行,-,-,-,-,-,-,-,-,1499,108.9,143.5,132,28,連斬,十字剪,力量寶石,10,13,3,50000,2061993
90.8,130,暴鯉龍,水,飛行,-,-,-,-,-,-,-,-,1498,130.8,108.5,121,16.5,龍息,水流尾*,龍捲風,9,10,1,10000,1717312
90.8,178,天然鳥,超能力,飛行,-,-,-,-,-,-,-,-,1500,132.2,107.9,119,25.5,啄,精神衝擊,暗影球,5,7,3,50000,1698214
90.5,780,老翁龍,一般,龍,-,-,-,-,-,-,-,-,1499,136.8,104.2,115,19,龍息,高速星星,龍之波動,9,14,5,75000,1640140
90.5,480,由克希,超能力,,-,-,-,-,-,-,-,-,1497,102.1,176.1,122,22,念力,高速星星,打雷,3,5,20,100000,2193759
90.2,279,大嘴鷗,水,飛行,-,-,-,-,-,-,-,-,1500,123.3,128.7,115,26,翅膀攻擊,氣象球 水,暴風,5,8,3,50000,1825336
90,334,七夕青鳥,龍,飛行,-,-,暗影,-,-,-,-,-,1499,103.4,151.9,138,28.5,龍息,神鳥猛擊,噴射火焰,13,14,1,10000,2167763
89.9,732,喇叭啄鳥,一般,飛行,-,-,暗影,-,-,-,-,-,1492,133.7,94.3,132,46,啄,啄鑽,岩石爆擊,5,5,1,10000,1664964
89.6,199,呆呆王,毒,超能力,伽勒爾,-,-,-,-,-,-,-,1499,117.3,117.9,138,20.5,溶解液,精神衝擊,暗影球,5,7,3,50000,1909734
89.5,97,引夢貘人,超能力,,-,-,暗影,-,-,-,-,-,1500,103.4,143,147,27,念力,雷電拳,冰凍拳,3,3,3,50000,2174050
89.3,373,暴飛龍,龍,飛行,-,-,-,-,-,-,-,-,1497,143.5,93.1,117,14.5,龍尾,飛翔,狂舞揮打,4,3,5,75000,1562473
88.6,119,金魚王,水,,-,-,-,-,-,-,-,-,1500,121.9,109,138,26,啄,直衝鑽*,冰凍之風*,5,6,3,50000,1833820
88.6,732,喇叭啄鳥,一般,飛行,-,-,-,-,-,-,-,-,1499,134.1,93.3,134,48.5,啄,啄鑽,岩石爆擊,5,5,1,10000,1675846
88.5,22,大嘴雀,一般,飛行,-,-,-,-,-,-,-,-,1500,131.5,104.6,124,28,啄,啄鑽,直衝鑽,5,5,1,10000,1705662
88.4,189,毽子棉,草,飛行,-,-,-,-,-,-,-,-,1499,96.7,157,153,40.5,妖精之風,能量球,雜技*,5,7,3,50000,2322994
88.4,18,大比鳥,一般,飛行,-,-,暗影,-,-,-,-,-,1499,116.9,115.5,142,26.5,翅膀攻擊*,龍捲風,勇鳥猛攻,5,7,1,10000,1917898
88.3,426,隨風球,幽靈,飛行,-,-,暗影,-,-,-,-,-,1500,119.2,75.8,209,23.5,驚嚇,冰凍之風,暗影球,5,5,5,75000,1886853
88.2,149,快龍,龍,飛行,-,-,暗影,-,-,-,-,-,1498,135.8,107.3,113,14.5,龍息,雷電拳,蠻力,10,10,5,75000,1647398
88.2,627,毛頭小鷹,一般,飛行,-,-,-,-,-,-,-,-,1500,126.7,92.2,152,46.5,啄,勇鳥猛攻,飛翔,7,6,5,75000,1774904
87.7,621,赤面龍,龍,,-,-,-,-,-,-,-,-,1499,131.2,111.3,117,20.5,龍尾,暗襲要害,岩石封鎖,3,5,5,75000,1708917
87.5,380,拉帝亞斯,龍,超能力,-,-,暗影,-,-,-,-,-,1500,126.8,135.2,103,15.5,龍息,波導彈,薄霧球*,10,15,20,100000,1764672
