評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
96.6,9,水箭龜,水,,-,-,-,-,-,-,-,-,1500,112.1,137.7,130,23,滾動,加農水砲*,火箭頭錘,4,6,3,10000,2007546
96.4,36,皮可西,妖精,,-,-,-,-,-,-,-,-,1498,116.6,112.1,147,23,妖精之風,月亮之力,彗星拳,6,5,1,10000,1921642
94.9,832,毛毛角羊,一般,,-,-,-,-,-,-,-,-,1497,110.6,143,128,25.5,猛撞,泰山壓頂,瘋狂伏特,5,5,3,10000,2025159
94.7,752,滴蛛霸,水,蟲,-,-,-,-,-,-,-,-,1499,97.4,174,136,32,死纏爛打,水之波動,鏡面反射,5,4,3,50000,2306355
94.7,683,芳香精,妖精,,-,-,-,-,-,-,-,-,1500,115.8,107.3,156,24,妖精之風,月亮之力,精神衝擊,6,5,3,50000,1939437
94.2,288,過動猿,一般,,-,-,-,-,-,-,-,-,1497,116.2,114.1,145,28.5,抓,泰山壓頂,重踏,10,14,5,75000,1923360
94.1,184,瑪力露麗,水,妖精,-,-,-,-,-,-,-,-,1499,93.4,134.5,191,43,泡沫,冰凍光束,嬉鬧,5,6,3,50000,2399514
93.9,171,電燈怪,水,電,-,-,-,-,-,-,-,-,1500,104.8,105.5,194,27,電光,衝浪,十萬伏特,7,8,3,50000,2145463
93.8,699,冰雪巨龍,岩石,冰,-,-,-,-,-,-,-,-,1500,113.5,106.3,164,20,細雪,氣象球 冰,流星光束,5,8,5,75000,1979465
93.8,365,帝牙海獅,冰,水,-,-,-,-,-,-,-,-,1500,112.5,114.9,154,20.5,細雪*,冰錐*,地震,5,9,3,50000,1990879
93.4,227,盔甲鳥,鋼,飛行,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,空氣斬,勇鳥猛攻,直衝鑽,7,5,5,75000,2126860
93.4,143,卡比獸,一般,,-,-,-,-,-,-,-,-,1500,108.4,102.3,187,17.5,精神波,泰山壓頂,地震,10,17,5,75000,2073265
93.2,302,勾魂眼,惡,幽靈,-,-,-,-,-,-,-,-,1496,119.7,124.6,125,47,暗影爪,欺詐,吸取拳,5,5,5,75000,1864140
93,916,飄香豚,一般,,-,-,-,-,-,雌,-,-,1500,109.6,111.5,167,22.5,猛撞,泰山壓頂,起草,5,5,1,10000,2041611
92.9,119,金魚王,水,,-,-,-,-,-,-,-,-,1500,121.9,109,138,26,啄,直衝鑽*,冰凍之風*,5,6,3,50000,1833820
92.8,53,貓老大,一般,,-,-,-,-,-,-,-,-,1498,118.6,116.3,137,36.5,抓,暗襲要害*,力量寶石,9,13,3,50000,1890318
92.3,975,浩大鯨,冰,,-,-,-,-,-,-,-,-,1500,120.2,77.1,202,18,細雪,冰錐,蠻力,5,5,3,50000,1870752
