評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
98.2,303,大嘴娃,鋼,妖精,-,-,-,Mega,-,-,-,-,1498,124.3,147.6,98,23.5,妖精之風,夾住,鐵頭,5,6,5,75000,1799079
96.2,317,吞食獸,毒,,-,-,-,-,-,-,-,-,1498,103.4,122.7,171,28.5,死纏爛打,污泥攻擊,冰凍光束,4,5,1,10000,2169090
95.3,845,古月鳥,飛行,水,-,-,-,-,-,-,-,-,1498,121.2,121.2,126,26,啄,潛水,飛翔,5,6,3,50000,1852316
95.2,189,毽子棉,草,飛行,-,-,-,-,-,-,-,-,1499,96.7,157,153,40.5,妖精之風,能量球,雜技*,5,7,3,50000,2322994
95.1,687,烏賊王,惡,超能力,-,-,-,Mega,-,-,-,-,1494,118.5,132.4,120,17.5,精神波,欺詐,蠻力,10,10,3,50000,1882894
94.6,558,岩殿居蟹,蟲,岩石,-,-,-,-,-,-,-,-,1499,120.3,134.7,115,22,連斬,十字剪,岩石炮,10,13,1,10000,1863686
94.4,131,拉普拉斯,水,冰,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,精神波,泡影詠歎調,冰凍光束*,12,14,5,75000,2147136
94.3,975,浩大鯨,冰,,-,-,-,-,-,-,-,-,1500,120.2,77.1,202,18,細雪,冰錐,蠻力,5,5,3,50000,1870752
94.1,477,黑夜魔靈,幽靈,,-,-,暗影,-,-,-,-,-,1500,119.8,174.2,90,23.5,驚嚇,爆裂拳,暗影拳,5,4,3,50000,1878255
94,699,冰雪巨龍,岩石,冰,-,-,-,-,-,-,-,-,1500,113.5,106.3,164,20,細雪,氣象球 冰,流星光束,5,8,5,75000,1979465
93.2,365,帝牙海獅,冰,水,-,-,-,-,-,-,-,-,1500,112.5,114.9,154,20.5,細雪*,冰錐*,地震,5,9,3,50000,1990879
92.8,372,甲殼龍,龍,,-,-,暗影,-,-,-,-,-,1498,123.3,119.1,123,27.5,龍息,龍捲風,噴射火焰,10,14,5,75000,1806077
92.7,212,巨鉗螳螂,蟲,鋼,-,-,-,Mega,-,-,-,-,1499,138.9,127.6,91,13.5,連斬,暗襲要害,起草,9,12,5,75000,1613277
92.6,699,冰雪巨龍,岩石,冰,-,-,暗影,-,-,-,-,-,1500,113.5,106.3,164,20,細雪,氣象球 冰,流星光束,5,8,5,75000,1979465
92.6,206,土龍弟弟,一般,,-,-,-,-,-,-,-,-,1499,104.8,111,184,37.5,咬住,直衝鑽,岩崩,10,12,3,50000,2139359
92.6,372,甲殼龍,龍,,-,-,-,-,-,-,-,-,1498,123.3,119.1,123,27.5,龍息,龍捲風,噴射火焰,10,14,5,75000,1806077
92.5,460,暴雪王,草,冰,-,-,暗影,-,-,-,-,-,1495,117.9,112,143,23.5,細雪,氣象球 冰,能量球,5,6,3,50000,1888173
92.5,748,超壞星,毒,水,-,-,-,-,-,-,-,-,1497,91.9,224.3,118,38,咬住,鹽水,污泥波,15,17,3,50000,2433080
92.4,460,暴雪王,草,冰,-,-,-,-,-,-,-,-,1495,117.9,112,143,23.5,細雪,氣象球 冰,能量球,5,6,3,50000,1888173
92.1,365,帝牙海獅,冰,水,-,-,暗影,-,-,-,-,-,1500,112.5,114.9,154,20.5,細雪*,冰錐*,地震,5,9,3,50000,1990879
92,148,哈克龍,龍,,-,-,暗影,-,-,-,-,-,1499,125.2,112.5,127,33,龍息,緊束,水流尾,12,9,5,75000,1788369
91.9,326,噗噗豬,超能力,,-,-,-,-,-,-,-,-,1497,113.3,131.5,132,23.5,精神波,爆裂拳,暗影球,12,13,1,10000,1966510
91.9,288,過動猿,一般,,-,-,-,-,-,-,-,-,1497,116.2,114.1,145,28.5,抓,泰山壓頂,重踏,10,14,5,75000,1923360
91.7,477,黑夜魔靈,幽靈,,-,-,-,-,-,-,-,-,1500,119.8,174.2,90,23.5,驚嚇,爆裂拳,暗影拳,5,4,3,50000,1878255
91.7,337,月石,岩石,超能力,-,-,-,-,-,-,-,-,1496,119.1,108.6,145,24,精神波,氣象球 冰,岩崩,9,12,3,50000,1876210
91.7,221,長毛豬,冰,地面,-,-,-,-,-,-,-,-,1500,121.1,99.5,154,24,細雪,冰錐,十萬馬力,5,7,3,50000,1854684
91.4,306,波士可多拉,鋼,,-,-,-,Mega,-,-,-,-,1500,122.8,165.7,90,13,金屬音,流星光束,劈瓦,8,5,1,10000,1831755
91.4,364,海魔獅,冰,水,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,細雪,衝浪,泰山壓頂,6,5,3,50000,2065168
91.3,478,雪妖女,冰,幽靈,-,-,-,-,-,-,-,-,1499,122.6,114.9,130,27.5,細雪,雪崩,暗影球,6,7,3,50000,1831027
91.1,351,飄浮泡泡,冰,,-,-,-,-,-,-,-,雪,1500,112.6,121.3,146,39.5,細雪,氣象球 冰,暴風雪,5,10,5,75000,1993800
91.1,288,過動猿,一般,,-,-,暗影,-,-,-,-,-,1497,116.2,114.1,145,28.5,抓,劈瓦,岩崩,10,12,5,75000,1923360
91,918,操陷蛛,蟲,,-,-,-,-,-,-,-,-,1497,111,138.9,131,37.5,暗影爪,猛撲,岩石封鎖,6,7,1,50000,2019559
90.9,313,電螢蟲,蟲,,-,-,-,-,-,-,-,-,1500,111.4,136.2,133,33.5,死纏爛打,猛撲,十萬伏特,4,5,3,50000,2018689
90.8,974,走鯨,冰,,-,-,-,-,-,-,-,-,1469,112.6,79.8,213,50,細雪,雪崩,泰山壓頂,6,5,3,50000,1914594
90.7,346,搖籃百合,岩石,草,-,-,-,-,-,-,-,-,1497,105.2,140.3,144,25.5,溶解液,岩石封鎖,打草結,7,7,3,50000,2126277
90.5,737,蟲電寶,蟲,電,-,-,-,-,-,-,-,-,1497,114.8,134.8,126,36.5,伏特替換*,十字剪,放電,3,3,1,10000,1949448
90.5,221,長毛豬,冰,地面,-,-,暗影,-,-,-,-,-,1500,121.1,99.5,154,24,細雪,冰錐,十萬馬力,5,7,3,50000,1854684
90.5,364,海魔獅,冰,水,-,-,暗影,-,-,-,-,-,1500,109,112.8,168,36,細雪,衝浪,泰山壓頂,6,5,3,50000,2065168
90.4,131,拉普拉斯,水,冰,-,-,暗影,-,-,-,-,-,1499,104.7,114.6,179,21.5,精神波,泡影詠歎調,冰凍光束*,12,14,5,75000,2147136
90.4,226,巨翅飛魚,水,飛行,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,翅膀攻擊,龍捲風,水之波動,5,7,5,75000,2126860
90.3,8,卡咪龜,水,,-,-,-,-,-,-,-,-,1496,107.6,139.1,139,47.5,咬住,水流噴射,冰凍光束,10,14,3,10000,2080282
90.2,706,黏美龍,龍,,-,-,-,-,-,-,-,-,1499,119.7,134.1,117,16,龍息,水流尾,雷電拳*,9,10,5,75000,1878306
90.2,538,投摔鬼,格鬥,,-,-,-,-,-,-,-,-,1499,110.3,107.8,171,22,踢倒,劈瓦,泰山壓頂,5,5,5,75000,2032228
90.2,733,銃嘴大鳥,一般,飛行,-,-,暗影,-,-,-,-,-,1500,137.3,96.8,123,20.5,啄,鳥嘴加農炮*,啄鑽,7,5,1,10000,1634212
90.1,737,蟲電寶,蟲,電,-,-,暗影,-,-,-,-,-,1497,114.8,134.8,126,36.5,伏特替換*,十字剪,放電,3,3,1,10000,1949448
90.1,563,死神棺,幽靈,,-,-,-,-,-,-,-,-,1500,111.7,165.3,109,24.5,暗影爪,暗影球,能量球,7,6,3,50000,2013466
90.1,705,黏美兒,龍,,-,-,-,-,-,-,-,-,1499,114.2,133.8,128,27.5,龍息,泰山壓頂,龍之波動,10,14,5,75000,1955692
90,558,岩殿居蟹,蟲,岩石,-,-,暗影,-,-,-,-,-,1499,120.3,134.7,115,22,連斬,十字剪,岩石炮,10,13,1,10000,1863686
90,691,毒藻龍,毒,龍,-,-,-,-,-,-,-,-,1500,117.9,143.1,113,23.5,溶解液,水流尾,逆鱗,5,8,3,50000,1906032
90,916,飄香豚,一般,,-,-,-,-,-,雌,-,-,1500,109.6,111.5,167,22.5,猛撞,泰山壓頂,起草,5,5,1,10000,2041611
