評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
97.3,241,大奶罐,一般,,-,-,-,-,-,-,-,-,1500,105.4,134.8,150,24,滾動,泰山壓頂,十萬伏特,3,5,5,75000,2130680
97.1,326,噗噗豬,超能力,,-,-,-,-,-,-,-,-,1497,113.3,131.5,132,23.5,精神波,爆裂拳,暗影球,12,13,1,10000,1966510
96.5,97,引夢貘人,超能力,,-,-,-,-,-,-,-,-,1500,103.4,143,147,27,念力,暗影球,雷電拳,4,3,3,50000,2174050
95.7,480,由克希,超能力,,-,-,-,-,-,-,-,-,1497,102.1,176.1,122,22,念力,高速星星,打雷,3,5,20,100000,2193759
94.3,226,巨翅飛魚,水,飛行,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,翅膀攻擊,龍捲風,水之波動,5,7,5,75000,2126860
93.3,18,大比鳥,一般,飛行,-,-,-,-,-,-,-,-,1499,116.9,115.5,142,26.5,翅膀攻擊*,龍捲風,勇鳥猛攻,5,7,1,10000,1917898
92.4,446,小卡比獸,一般,,-,-,-,-,-,-,-,-,1499,103.2,96.6,218,30,撞擊,泰山壓頂,重踏,12,15,5,10000,2172279
92.2,326,噗噗豬,超能力,,-,-,暗影,-,-,-,-,-,1497,113.3,131.5,132,23.5,精神波,爆裂拳,暗影球,12,13,1,10000,1966510
91.8,279,大嘴鷗,水,飛行,-,-,-,-,-,-,-,-,1500,123.3,128.7,115,26,翅膀攻擊,氣象球 水,暴風,5,8,3,50000,1825336
91,9,水箭龜,水,,-,-,-,-,-,-,-,-,1500,112.1,137.7,130,23,滾動,加農水砲*,火箭頭錘,4,6,3,10000,2007546
90.7,627,毛頭小鷹,一般,飛行,-,-,-,-,-,-,-,-,1500,126.7,92.2,152,46.5,啄,勇鳥猛攻,飛翔,7,6,5,75000,1774904
90.5,502,雙刃丸,水,,-,-,-,-,-,-,-,-,1496,122.6,99.8,149,35,連斬,水流尾,十字剪,9,10,3,10000,1822620
90,184,瑪力露麗,水,妖精,-,-,-,-,-,-,-,-,1499,93.4,134.5,191,43,泡沫,冰凍光束,嬉鬧,5,6,3,50000,2399514
89.9,264,直衝熊,一般,,-,-,-,-,-,-,-,-,1497,114.1,111.8,154,38.5,暗影爪,高速星星,打草結,5,7,1,10000,1965124
89.9,199,呆呆王,毒,超能力,伽勒爾,-,-,-,-,-,-,-,1499,117.3,117.9,138,20.5,溶解液,精神衝擊,暗影球,5,7,3,50000,1909734
89.8,683,芳香精,妖精,,-,-,-,-,-,-,-,-,1500,115.8,107.3,156,24,妖精之風,精神衝擊,月亮之力,5,7,3,50000,1939437
89.5,230,刺龍王,水,龍,-,-,暗影,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,高速星星,衝浪,9,12,3,50000,1839109
89.5,131,拉普拉斯,水,冰,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,精神波,泡影詠歎調,火箭頭錘,12,19,5,75000,2147136
89.4,826,以歐路普,蟲,超能力,-,-,-,-,-,-,-,-,1496,107.9,168.6,114,25.5,精神利刃,精神衝擊,蟲鳴,5,7,1,10000,2075077
89.3,916,飄香豚,一般,,-,-,-,-,-,雌,-,-,1500,109.6,111.5,167,22.5,擲泥*,泰山壓頂,起草,4,5,1,10000,2041611
89.2,364,海魔獅,冰,水,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,細雪,衝浪,泰山壓頂,6,5,3,50000,2065168
89.2,733,銃嘴大鳥,一般,飛行,-,-,暗影,-,-,-,-,-,1500,137.3,96.8,123,20.5,啄,鳥嘴加農炮*,啄鑽,7,5,1,10000,1634212
89,581,舞天鵝,水,飛行,-,-,-,-,-,-,-,-,1497,128.6,101.1,134,26.5,起風,水流噴射,飛翔,3,4,3,50000,1741978
88.9,38,九尾,冰,妖精,阿羅拉,-,-,-,-,-,-,-,1497,114.5,136.1,125,24,細雪,氣象球 冰,魔法閃耀,5,7,3,50000,1948701
88.8,230,刺龍王,水,龍,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,高速星星,衝浪,9,12,3,50000,1839109
88.8,457,霓虹魚,水,,-,-,-,-,-,-,-,-,1498,109,137.4,137,32.5,起風,水流尾,銀色旋風,3,4,3,50000,2052476
88.8,110,雙彈瓦斯,毒,妖精,伽勒爾,-,暗影,-,-,-,-,-,1499,117.7,139.5,116,24.5,妖精之風,污泥攻擊,狂舞揮打,5,4,3,50000,1904809
88.7,97,引夢貘人,超能力,,-,-,暗影,-,-,-,-,-,1500,103.4,143,147,27,念力,暗影球,雷電拳,4,3,3,50000,2174050
88.7,176,波克基古,妖精,飛行,-,-,-,-,-,-,-,-,1498,110.2,150.2,123,36.5,妖精之風,精神衝擊,魔法閃耀,5,7,3,50000,2035132
