評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
95,748,超壞星,毒,水,-,-,-,-,-,-,-,-,1497,91.9,224.3,118,38,毒擊,鹽水,污泥波,8,10,3,50000,2433080
94.3,630,禿鷹娜,惡,飛行,-,-,-,-,-,-,-,-,1500,92.1,151.3,175,26.5,空氣斬,欺詐,燕返,5,5,5,75000,2439745
93.7,226,巨翅飛魚,水,飛行,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,翅膀攻擊,龍捲風,燕返,5,6,5,75000,2126860
92.9,877,莫魯貝可,電,惡,-,-,-,-,滿腹花紋,-,-,-,1499,140.5,96.3,118,28.5,電擊,氣場輪,精神之牙,5,4,3,50000,1596126
91.8,923,巴布土撥,電,格鬥,-,-,-,-,-,-,-,-,1500,145.1,95.5,112,21,電擊,劈瓦*,瘋狂伏特,5,5,3,75000,1551733
90.8,230,刺龍王,水,龍,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,逆鱗,高速星星,15,9,3,50000,1839109
90,635,三首惡龍,惡,龍,-,-,暗影,-,-,-,-,-,1500,136.1,104.5,116,15,龍息,狂舞揮打*,飛翔,9,12,5,75000,1649711
90,198,黑暗鴉,惡,飛行,-,-,暗影,-,-,-,-,-,1499,143.2,81.1,135,41,啄,啄鑽,欺詐,5,5,3,50000,1567720
89.8,634,雙首暴龍,惡,龍,-,-,-,-,-,-,-,-,1498,120.5,110.2,140,30.5,龍息,泰山壓頂,惡之波動,9,13,5,75000,1859224
89.1,979,棄世猴,格鬥,幽靈,-,-,-,-,-,-,-,-,1499,123.4,105.2,140,17,踢倒,憤怒之拳*,近身戰,5,6,3,50000,1817129
89,752,滴蛛霸,水,蟲,-,-,-,-,-,-,-,-,1499,97.4,174,136,32,蟲咬,蟲鳴,泡沫光線,20,14,3,50000,2306355
89,171,電燈怪,水,電,-,-,-,-,-,-,-,-,1500,104.8,105.5,194,27,電光,衝浪,十萬伏特,7,8,3,50000,2145463
89,634,雙首暴龍,惡,龍,-,-,暗影,-,-,-,-,-,1498,120.5,110.2,140,30.5,龍息,泰山壓頂,惡之波動,9,13,5,75000,1859224
88.8,302,勾魂眼,惡,幽靈,-,-,-,-,-,-,-,-,1496,119.7,124.6,125,47,暗影爪,吸取拳,魔法閃耀,5,7,5,75000,1864140
88.7,230,刺龍王,水,龍,-,-,暗影,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,逆鱗,高速星星,15,9,3,50000,1839109
88.4,184,瑪力露麗,水,妖精,-,-,-,-,-,-,-,-,1499,93.4,134.5,191,43,泡沫,冰凍光束,嬉鬧,5,6,3,50000,2399514
88.3,784,杖尾鱗甲龍,龍,格鬥,-,-,-,-,-,-,-,-,1497,123.7,137.8,106,16.5,龍尾,鱗片噪音*,快手還擊,4,4,5,75000,1807554
88.2,302,勾魂眼,惡,幽靈,-,-,暗影,-,-,-,-,-,1496,119.7,124.6,125,47,暗影爪,吸取拳,魔法閃耀,5,7,5,75000,1864140
