評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
96.2,346,搖籃百合,岩石,草,-,-,-,-,-,-,-,-,1497,105.2,140.3,144,25.5,溶解液,岩石封鎖,打草結,7,7,3,50000,2126277
95.7,230,刺龍王,水,龍,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,衝浪,高速星星,12,9,3,50000,1839109
95.5,230,刺龍王,水,龍,-,-,暗影,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,衝浪,高速星星,12,9,3,50000,1839109
95.1,205,佛烈托斯,蟲,鋼,-,-,-,-,-,-,-,-,1499,109.8,145.5,128,24.5,蟲咬,流沙地獄,岩石封鎖,14,17,5,75000,2043769
94.2,162,大尾立,一般,,-,-,-,-,-,-,-,-,1498,115.3,105.4,160,34.5,突襲,高速星星,起草,5,7,1,10000,1945534
93.8,748,超壞星,毒,水,-,-,-,-,-,-,-,-,1497,91.9,224.3,118,38,毒擊,鹽水,污泥波,8,10,3,50000,2433080
93.2,395,帝王拿波,水,鋼,-,-,-,-,-,-,-,-,1497,125.2,117,122,19,金屬音,加農水砲*,啄鑽,5,5,3,10000,1787543
92.9,463,大舌舔,一般,,-,-,-,-,-,-,-,-,1499,105.7,125.6,160,23,滾動,泰山壓頂*,暗影球,3,4,3,50000,2123761
92.7,780,老翁龍,一般,龍,-,-,-,-,-,-,-,-,1499,136.8,104.2,115,19,龍息,高速星星,龍之波動,9,14,5,75000,1640140
92.7,205,佛烈托斯,蟲,鋼,-,-,暗影,-,-,-,-,-,1499,109.8,145.5,128,24.5,蟲咬,流沙地獄,岩石封鎖,14,17,5,75000,2043769
92.7,131,拉普拉斯,水,冰,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,精神波,泡影詠歎調,冰凍光束*,12,14,5,75000,2147136
92.3,558,岩殿居蟹,蟲,岩石,-,-,-,-,-,-,-,-,1499,120.3,134.7,115,22,連斬,十字剪,岩石炮,10,13,1,10000,1863686
92,776,爆焰龜獸,火,龍,-,-,-,-,-,-,-,-,1499,113.5,153.6,113,25,燒盡,狂舞揮打,龍爪,2,3,5,75000,1971162
91.8,206,土龍弟弟,一般,,-,-,-,-,-,-,-,-,1499,104.8,111,184,37.5,滾動,直衝鑽,岩崩,4,4,3,50000,2139359
91.8,189,毽子棉,草,飛行,-,-,-,-,-,-,-,-,1499,96.7,157,153,40.5,妖精之風,能量球,雜技*,5,7,3,50000,2322994
91.5,765,智揮猩,一般,超能力,-,-,-,-,-,-,-,-,1498,110.2,130.1,142,23,念力,狂舞揮打,起草,3,4,3,75000,2034972
90.8,820,藏飽栗鼠,一般,,-,-,-,-,-,-,-,-,1497,106.9,110.7,177,23.5,泥巴射擊,泰山壓頂,起草,4,5,1,10000,2094312
90.8,241,大奶罐,一般,,-,-,-,-,-,-,-,-,1500,105.4,134.8,150,24,滾動,泰山壓頂,十萬伏特,3,5,5,75000,2130680
90.7,395,帝王拿波,水,鋼,-,-,暗影,-,-,-,-,-,1497,125.2,117,122,19,金屬音,加農水砲*,啄鑽,5,5,3,10000,1787543
90.4,737,蟲電寶,蟲,電,-,-,-,-,-,-,-,-,1497,114.8,134.8,126,36.5,伏特替換*,十字剪,放電,3,3,1,10000,1949448
90.4,593,胖嘟嘟,水,幽靈,-,-,-,-,-,-,-,-,1499,106.7,126.3,156,24,禍不單行,衝浪,暗影球,4,4,3,50000,2101858
90.4,916,飄香豚,一般,,-,-,-,-,-,雌,-,-,1500,109.6,111.5,167,22.5,擲泥*,泰山壓頂,起草,4,5,1,10000,2041611
90.3,226,巨翅飛魚,水,飛行,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,翅膀攻擊,龍捲風,水之波動,5,7,5,75000,2126860
90.3,877,莫魯貝可,電,惡,-,-,-,-,滿腹花紋,-,-,-,1499,140.5,96.3,118,28.5,電擊,氣場輪,精神之牙,5,4,3,50000,1596126
90.2,733,銃嘴大鳥,一般,飛行,-,-,暗影,-,-,-,-,-,1500,137.3,96.8,123,20.5,啄,鳥嘴加農炮*,啄鑽,7,5,1,10000,1634212
