評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
98,376,巨金怪,鋼,超能力,-,-,暗影,-,-,-,-,-,4286,228.6,204.2,172,50,暗影爪*,彗星拳*,地震,6,9,5,75000,8027353
97.7,376,巨金怪,鋼,超能力,-,-,-,-,-,-,-,-,4286,228.6,204.2,172,50,暗影爪*,彗星拳*,地震,6,9,5,75000,8027353
94.9,671,花潔夫人,妖精,,-,-,-,-,-,-,-,-,3657,190.7,217.6,168,50,妖精之風,潑冷水*,月亮之力,5,7,3,50000,6974349
94.8,730,西獅海壬,水,妖精,-,-,-,-,-,-,-,-,3618,207.6,176.5,172,50,攀瀑,魅惑之聲,加農水砲*,5,4,3,10000,6299607
94,468,波克基斯,妖精,飛行,-,-,-,-,-,-,-,-,3767,201.7,194.9,178,50,啄,魔法閃耀,波導彈*,7,5,3,50000,6998226
92.5,1000,賽富豪,鋼,幽靈,-,-,-,-,-,-,-,-,3976,224.4,172.3,182,50,禍不單行,暗影球,真氣彈,4,6,5,10000,7034047
92.3,130,暴鯉龍,水,飛行,-,-,-,-,-,-,-,-,3834,211.8,168.9,194,50,龍息,水流尾*,咬碎,9,12,1,10000,6938524
90.8,706,黏美龍,龍,,-,-,-,-,-,-,-,-,3963,197.5,216,186,50,龍息,水流尾,雷電拳*,9,10,5,75000,7932000
90.7,130,暴鯉龍,水,飛行,-,-,暗影,-,-,-,-,-,3834,211.8,168.9,194,50,龍息,水流尾*,咬碎,9,12,1,10000,6938524
90,149,快龍,龍,飛行,-,-,-,-,-,-,-,-,4287,233.6,179,188,50,龍息,雷電拳,蠻力,10,10,5,75000,7860515
89.9,700,仙子伊布,妖精,,-,-,-,-,-,-,-,-,3470,183.2,184.9,194,50,妖精之風,月亮之力,暗影球,7,6,5,75000,6569762
88.7,977,吃吼霸,水,,-,-,-,-,-,-,-,-,3388,160.5,162.2,274,50,攀瀑,衝浪,逆鱗,5,6,5,75000,7131978
88.2,768,具甲武者,蟲,水,-,-,-,-,-,-,-,-,3575,195.8,202.5,164,50,連斬,水流噴射,十字剪,10,10,1,10000,6502578
87.9,149,快龍,龍,飛行,-,-,暗影,-,-,-,-,-,4287,233.6,179,188,50,龍息,雷電拳,蠻力,10,10,5,75000,7860515
87.4,160,大力鱷,水,,-,-,-,-,-,-,-,-,3230,184.9,170.6,178,50,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,5613161
87.4,445,烈咬陸鯊,龍,地面,-,-,-,-,-,-,-,-,4479,231.9,174.8,213,50,泥巴射擊,龍捲風,流沙地獄,5,5,5,75000,8634174
87,983,仆斬將軍,惡,鋼,-,-,-,-,-,-,-,-,4086,212.6,183.2,201,50,金屬音,欺詐,鐵頭,5,7,5,75000,7827838
86.4,350,美納斯,水,,-,-,暗影,-,-,-,-,-,3398,173.9,196.6,194,50,攀瀑,水流尾,緊束,4,5,5,75000,6635241
85.8,635,三首惡龍,惡,龍,-,-,暗影,-,-,-,-,-,4098,227.7,170.6,189,50,龍息,狂舞揮打*,飛翔,9,12,5,75000,7341687
85.3,445,烈咬陸鯊,龍,地面,-,-,暗影,-,-,-,-,-,4479,231.9,174.8,213,50,泥巴射擊,龍捲風,流沙地獄,5,5,5,75000,8634174
