評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
99,888,蒼響,妖精,鋼,-,-,-,-,劍之王,-,-,-,5629,291.6,214.3,173,50,金屬爪,近身戰,巨獸斬<sup>†</sup>,7,8,20,100000,10808975
98.9,484,帕路奇亞,水,龍,-,起源,-,-,-,-,-,-,4683,252.9,200,171,50,龍息,水流尾,亞空裂斬<sup>†</sup>,9,14,20,100000,8649845
97.9,376,巨金怪,鋼,超能力,-,-,-,-,-,-,-,-,4286,228.6,204.2,172,50,暗影爪*,彗星拳*,地震,6,9,5,75000,8027353
94.9,646,酋雷姆,龍,冰,-,-,-,-,焰白,-,-,-,5206,273.1,166.4,218,50,龍息,交錯火焰,極寒冷焰<sup>†</sup>,12,15,20,100000,9905441
94.9,792,露奈雅拉,超能力,幽靈,-,-,-,-,-,-,-,-,4570,226.9,173.1,234,50,暗影爪,暗影球,月亮之力,7,8,20,100000,9190002
94.8,716,哲爾尼亞斯,妖精,,-,-,-,-,-,-,-,-,4275,222.7,168.1,219,50,大地掌控*,近身戰,月亮之力,4,5,20,100000,8195751
94.1,643,萊希拉姆,龍,火,-,-,-,-,-,-,-,-,4565,243.7,189.9,184,50,龍息,交錯火焰*,流星群,12,17,20,100000,8515164
94,483,帝牙盧卡,鋼,龍,-,起源,-,-,-,-,-,-,4624,239.5,201.7,184,50,龍息,時光咆哮<sup>†</sup>,鐵頭,17,13,20,100000,8886744
93.9,889,藏瑪然特,格鬥,鋼,-,-,-,-,盾之王,-,-,-,4717,222.7,258,173,50,冰凍牙,近身戰,巨獸彈<sup>†</sup>,8,8,20,100000,9938003
93.1,646,酋雷姆,龍,冰,-,-,-,-,闇黑,-,-,-,5206,273.1,166.4,218,50,龍尾,冰凍伏特<sup>†</sup>,交錯閃電,5,4,20,100000,9905441
92.9,382,蓋歐卡,水,,-,-,-,-,-,-,-,-,4652,239.5,204.2,184,50,攀瀑,雪崩,根源波動*,5,6,20,100000,8997828
92.8,644,捷克羅姆,龍,電,-,-,-,-,-,-,-,-,4565,243.7,189.9,184,50,龍息,逆鱗,交錯閃電*,15,12,20,100000,8515164
92.6,643,萊希拉姆,龍,火,-,-,暗影,-,-,-,-,-,4565,243.7,189.9,184,50,龍息,交錯火焰*,流星群,12,17,20,100000,8515164
92.5,802,瑪夏多,格鬥,幽靈,-,-,-,-,-,-,-,-,4217,235.3,172.3,186,50,暗影爪,近身戰,冰凍拳,6,5,20,100000,7538650
91.6,890,無極汰那,毒,龍,-,-,-,-,-,-,-,-,5007,246.2,173.9,237,50,龍尾,極巨炮*,噴射火焰,4,5,20,100000,10149743
91.4,484,帕路奇亞,水,龍,-,-,暗影,-,-,-,-,-,4512,247.9,193.3,171,50,龍息,水流尾,流星群,9,17,20,100000,8192467
91,249,洛奇亞,超能力,飛行,-,-,-,-,-,-,-,-,4186,174.8,273.1,210,50,龍尾,氣旋攻擊*,飛翔,7,4,20,100000,10023854
90.5,376,巨金怪,鋼,超能力,-,-,暗影,-,-,-,-,-,4286,228.6,204.2,172,50,暗影爪*,彗星拳*,地震,6,9,5,75000,8027353
90.2,249,洛奇亞,超能力,飛行,-,-,暗影,-,-,-,-,-,4186,174.8,273.1,210,50,龍尾,氣旋攻擊*,飛翔,7,4,20,100000,10023854
89.8,800,奈克洛茲瑪,超能力,幽靈,-,-,-,-,拂曉之翼,-,-,-,4634,245.4,197.5,180,50,暗影爪,惡之波動,暗影之光,7,9,20,100000,8721516
89.7,445,烈咬陸鯊,龍,地面,-,-,暗影,-,-,-,-,-,4479,231.9,174.8,213,50,龍尾,龍捲風,大地之力*,4,5,5,75000,8634174
89.6,717,伊裴爾塔爾,惡,飛行,-,-,-,-,-,-,-,-,4275,222.7,168.1,219,50,突襲,惡之波動,死亡之翼*,8,8,20,100000,8195751
88.8,445,烈咬陸鯊,龍,地面,-,-,-,-,-,-,-,-,4479,231.9,174.8,213,50,龍尾,龍捲風,大地之力*,4,5,5,75000,8634174
88.7,250,鳳王,火,飛行,-,-,-,-,-,-,-,-,4367,213.4,217.6,192,50,燒盡,勇鳥猛攻,神聖之火*,3,4,20,100000,8918739
88.6,718,基格爾德,龍,地面,-,完全體,-,-,-,-,-,-,4208,167.2,186.5,339,50,龍尾,咬碎,地震,4,6,20,100000,10574857
88.5,648,美洛耶塔,一般,超能力,-,-,-,-,歌聲,-,-,-,4490,222.7,201.7,201,50,念力,精神衝擊,魔法閃耀,3,4,20,100000,9026553
88.3,484,帕路奇亞,水,龍,-,-,-,-,-,-,-,-,4512,247.9,193.3,171,50,龍息,水流尾,大字爆炎,9,20,20,100000,8192467
88.1,381,拉帝歐斯,龍,超能力,-,-,-,-,-,-,-,-,4310,237.8,190.7,172,50,龍息,波導彈,潔淨光芒*,10,15,20,100000,7802064
88.1,381,拉帝歐斯,龍,超能力,-,-,暗影,-,-,-,-,-,4310,237.8,190.7,172,50,龍息,波導彈,潔淨光芒*,10,15,20,100000,7802064
87.9,382,蓋歐卡,水,,-,-,暗影,-,-,-,-,-,4652,239.5,204.2,184,50,攀瀑,雪崩,根源波動*,5,6,20,100000,8997828
