評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
99.3,382,蓋歐卡,水,,-,-,-,原始,-,-,-,-,6672,309.2,237.8,195,50,攀瀑,雪崩,打雷,5,6,20,100000,14339619
96.8,150,超夢,超能力,,-,-,-,Mega Y,-,-,-,-,7441,363.9,202.4,206,52,精神利刃,精神擊破*,十萬伏特,5,7,20,100000,15171633
96.4,150,超夢,超能力,格鬥,-,-,-,Mega X,-,-,-,-,7076,352,195.6,206,52,精神利刃,精神擊破*,十萬伏特,5,7,20,100000,14182075
96,130,暴鯉龍,水,惡,-,-,-,Mega,-,-,-,-,5332,258,220.2,194,50,龍息,水流尾*,咬碎,9,12,1,10000,11018187
94.3,149,快龍,龍,飛行,-,-,-,Mega,-,-,-,-,5583,267,229.6,190,52,龍息,雷電拳,蠻力,10,10,5,75000,11646392
94,384,烈空坐,龍,飛行,-,-,-,Mega,-,-,-,-,6458,329.4,189.1,203,50,龍尾,廣域破壞*,畫龍點睛*,5,4,20,100000,12642512
93.1,445,烈咬陸鯊,龍,地面,-,-,-,Mega,-,-,-,-,6132,297.5,199.2,213,50,龍尾,大地之力*,龍捲風,5,4,5,75000,12618274
91.2,248,班基拉斯,岩石,惡,-,-,-,Mega,-,-,-,-,6045,272.3,244.5,201,50,龍息,狂舞揮打,尖石攻擊,9,14,5,75000,13381439
91.1,383,固拉多,火,地面,-,-,-,原始,-,-,-,-,6672,309.2,237.8,195,50,龍尾,斷崖之劍*,火焰拳*,5,4,20,100000,14339619
90.9,376,巨金怪,鋼,超能力,-,-,-,Mega,-,-,-,-,5552,264.7,255.5,172,50,暗影爪*,彗星拳*,地震,6,9,5,75000,11630043
87,652,布里卡隆,草,格鬥,-,-,-,Mega,-,-,-,-,4738,218.5,252.5,186,52,踢倒,雷電拳,蠻力,5,5,3,10000,10264715
86.5,381,拉帝歐斯,龍,超能力,-,-,-,Mega,-,-,-,-,5661,294.1,215.1,172,50,龍息,波導彈,潔淨光芒*,10,15,20,100000,10881912
86,380,拉帝亞斯,龍,超能力,-,-,-,Mega,-,-,-,-,5428,255.5,262.2,172,50,龍息,波導彈,薄霧球*,10,15,20,100000,11519281
84.5,655,妖火紅狐,火,超能力,-,-,-,Mega,-,-,-,-,5537,294.2,212.6,166,52,抓,爆炸烈焰*,精神衝擊,13,10,3,10000,10381702
84,214,赫拉克羅斯,蟲,格鬥,-,-,-,Mega,-,-,-,-,5443,293.3,200,172,50,連斬,岩石封鎖,快手還擊,13,10,3,50000,10087872
83.7,373,暴飛龍,龍,飛行,-,-,-,Mega,-,-,-,-,5688,273.1,223.5,194,50,龍尾,飛翔,狂舞揮打,4,3,5,75000,11842284
83.2,483,帝牙盧卡,鋼,龍,-,起源,-,-,-,-,-,-,4624,239.5,201.7,184,50,龍息,時光咆哮<sup>†</sup>,鐵頭,17,13,20,100000,8886744
83.1,260,巨沼怪,水,地面,-,-,-,Mega,-,-,-,-,4975,250.4,195.8,201,50,泥巴射擊,加農水砲*,地震,5,8,3,10000,9854554
82.3,306,波士可多拉,鋼,,-,-,-,Mega,-,-,-,-,4705,220.2,290.7,157,50,金屬音,劈瓦,流星光束,5,8,1,10000,10049531
80.4,484,帕路奇亞,水,龍,-,-,暗影,-,-,-,-,-,4512,247.9,193.3,171,50,龍息,水流尾,流星群,9,17,20,100000,8192467
80.3,484,帕路奇亞,水,龍,-,起源,-,-,-,-,-,-,4683,252.9,200,171,50,龍息,水流尾,亞空裂斬<sup>†</sup>,9,14,20,100000,8649845
