評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
98.6,776,爆焰龜獸,火,龍,-,-,-,-,-,-,-,-,2499,150.4,193.3,142,50,燒盡,龍爪,過熱,3,3,5,75000,4127984
94.9,778,謎擬Ｑ,幽靈,妖精,-,-,-,-,-,-,-,-,2490,159.7,179.8,135,50,暗影爪,影子偷襲,嬉鬧,7,8,5,50000,3875876
91.8,618,泥巴魚,地面,鋼,伽勒爾,-,-,-,-,-,-,-,2445,133.6,156.3,214,50,泥巴射擊,岩崩,地震,5,8,5,75000,4468817
90.7,638,勾帕路翁,鋼,格鬥,-,-,-,-,-,-,-,-,2496,146.1,180,162,31,二連踢,聖劍*,鐵頭,3,5,20,100000,4260018
90.2,487,騎拉帝納,幽靈,龍,-,-,-,-,別種,-,-,-,2494,134.5,168.1,204,27.5,暗影爪,龍爪,影子偷襲,7,7,20,100000,4613304
90.2,730,西獅海壬,水,妖精,-,-,-,-,-,-,-,-,2495,169,149.1,146,28.5,攀瀑,魅惑之聲,加農水砲*,5,4,3,10000,3678176
90.2,110,雙彈瓦斯,毒,妖精,伽勒爾,-,暗影,-,-,-,-,-,2500,155.4,176.2,147,49,妖精之風,狂舞揮打,過熱,4,7,3,50000,4025295
90.1,379,雷吉斯奇魯,鋼,,-,-,-,-,-,-,-,-,2498,122.8,243.1,170,49,鎖定,加農光炮,真氣彈,13,15,20,100000,5073927
89.8,823,鋼鎧鴉,飛行,鋼,-,-,暗影,-,-,-,-,-,2497,137.8,170,193,47,潑沙,空氣利刃*,以牙還牙,9,15,1,10000,4522355
89.7,823,鋼鎧鴉,飛行,鋼,-,-,-,-,-,-,-,-,2497,137.8,170,193,47,潑沙,空氣利刃*,以牙還牙,9,15,1,10000,4522355
89.7,718,基格爾德,龍,地面,-,完全體,-,-,-,-,-,-,2498,128.9,142,264,24,龍尾,咬碎,地震,4,6,20,100000,4833523
88.9,205,佛烈托斯,蟲,鋼,-,-,暗影,-,-,-,-,-,2500,144.9,182.4,163,48.5,伏特替換,岩石封鎖,流沙地獄,4,3,5,75000,4307907
88.5,809,美錄梅塔,鋼,,-,-,-,-,-,-,-,-,2498,155.2,138.3,187,25.5,電擊,鋼拳雙擊*,爆裂拳,4,5,20,100000,4012293
88.4,205,佛烈托斯,蟲,鋼,-,-,-,-,-,-,-,-,2500,144.9,182.4,163,48.5,伏特替換,岩石封鎖,流沙地獄,4,3,5,75000,4307907
87.7,968,拖拖蚓,鋼,,-,-,-,-,-,-,-,-,2496,144.1,194.9,154,48.5,擲泥,岩石封鎖,地震,5,7,5,75000,4323824
87,208,大鋼蛇,鋼,地面,-,-,-,-,-,-,-,-,2495,126.6,238.2,163,48.5,雷電牙,精神之牙,地震,6,11,5,75000,4914537
86.8,110,雙彈瓦斯,毒,妖精,伽勒爾,-,-,-,-,-,-,-,2500,155.4,176.2,147,49,妖精之風,狂舞揮打,過熱,4,7,3,50000,4025295
86.3,680,雙劍鞘,鋼,幽靈,-,-,-,-,-,-,-,-,2497,158,181.8,137,46.5,暗影爪,聖劍,陀螺球,5,7,5,75000,3935561
85.7,671,花潔夫人,妖精,,-,-,-,-,-,-,-,-,2496,154,183.3,143,28.5,妖精之風,潑冷水*,魅惑之聲,5,5,3,50000,4037457
85.5,395,帝王拿波,水,鋼,-,-,-,-,-,-,-,-,2500,161.9,150.7,158,33,金屬音,加農水砲*,啄鑽,5,5,3,10000,3856139
85.5,487,騎拉帝納,幽靈,龍,-,-,暗影,-,別種,-,-,-,2499,137.4,163.1,202,27,暗影爪,龍爪,影子偷襲,7,7,20,100000,4528800
85.5,788,卡璞・鰭鰭,水,妖精,-,-,-,-,-,-,-,-,2498,147.7,201.8,141,35,水槍,衝浪,自然之怒*,15,17,20,100000,4204161
85.4,208,大鋼蛇,鋼,地面,-,-,暗影,-,-,-,-,-,2495,126.6,238.2,163,48.5,雷電牙,精神之牙,地震,6,11,5,75000,4914537
83.9,395,帝王拿波,水,鋼,-,-,暗影,-,-,-,-,-,2500,161.9,150.7,158,33,金屬音,加農水砲*,啄鑽,5,5,3,10000,3856139
83.8,468,波克基斯,妖精,飛行,-,-,-,-,-,-,-,-,2498,161.1,161.1,149,27.5,啄,精神衝擊,波導彈*,5,5,3,50000,3868222
83.6,487,騎拉帝納,幽靈,龍,-,起源,-,-,-,-,-,-,2500,154.3,134.3,195,25,暗影爪,暗影球,龍之波動,7,7,20,100000,4039334
83,485,席多藍恩,火,鋼,-,-,-,-,-,-,-,-,2491,168.6,150.8,144,24.5,火焰旋渦,熔岩風暴*,大地之力,4,5,20,100000,3660400
82.6,485,席多藍恩,火,鋼,-,-,暗影,-,-,-,-,-,2480,170.8,148.6,142,24,火焰旋渦,熔岩風暴*,大地之力,4,5,20,100000,3603202
82.4,959,巨鍛匠,妖精,鋼,-,-,-,-,-,-,-,-,2499,140.3,177.3,178,50,妖精之風,巨力錘*,重踏,7,5,3,75000,4428816
82,230,刺龍王,水,龍,-,-,-,-,-,-,-,-,2499,157,165.7,153,40.5,龍息,衝浪,高速星星,12,9,3,50000,3979555
81.2,334,七夕青鳥,龍,飛行,-,-,-,-,-,-,-,-,2266,131.1,181.5,164,50,龍息,神鳥猛擊,噴射火焰,13,14,1,10000,3902033
81.2,445,烈咬陸鯊,龍,地面,-,-,暗影,-,-,-,-,-,2495,169.8,133.3,162,23,泥巴射擊,流沙地獄,龍捲風,5,5,5,75000,3664965
81.2,28,穿山王,冰,鋼,阿羅拉,-,-,-,-,-,-,-,2498,149.8,171.4,162,47.5,暗影爪*,冰凍拳,直衝鑽,5,5,3,50000,4159285
81.1,905,眷戀雲,妖精,飛行,-,靈獸,-,-,-,-,-,-,2498,177.7,149.9,131,27,妖精之風,魔法火焰,月亮之力,5,7,20,100000,3490308
81,330,沙漠蜻蜓,地面,龍,-,-,暗影,-,-,-,-,-,2500,165.2,141.5,162,40,泥巴射擊,龍捲風,流沙地獄,5,5,5,75000,3785283
80.8,643,萊希拉姆,龍,火,-,-,-,-,-,-,-,-,2493,178.1,142.6,137,22.5,火焰牙,交錯火焰*,流星群,8,11,20,100000,3477820
80.6,718,基格爾德,龍,地面,-,-,-,-,50%,-,-,-,2487,146.5,166.4,173,26.5,龍尾,咬碎,地震,4,6,20,100000,4217160
80.5,385,基拉祈,鋼,超能力,-,-,-,-,-,-,-,-,2493,155.5,154.8,166,27.5,念力,破滅之願,波導彈,3,3,20,100000,3996896
80.4,380,拉帝亞斯,龍,超能力,-,-,-,-,-,-,-,-,2495,160.2,178.1,136,26.5,龍息,薄霧球*,波導彈,15,10,20,100000,3881268
80,530,龍頭地鼠,地面,鋼,-,-,暗影,-,-,-,-,-,2499,184.5,101.8,180,28,泥巴射擊,直衝鑽,岩崩,5,5,3,50000,3380431
79.7,330,沙漠蜻蜓,地面,龍,-,-,-,-,-,-,-,-,2500,165.2,141.5,162,40,泥巴射擊,龍捲風,流沙地獄,5,5,5,75000,3785283
79.5,230,刺龍王,水,龍,-,-,暗影,-,-,-,-,-,2499,157,165.7,153,40.5,龍息,衝浪,高速星星,12,9,3,50000,3979555
79.4,445,烈咬陸鯊,龍,地面,-,-,-,-,-,-,-,-,2495,169.8,133.3,162,23,泥巴射擊,流沙地獄,龍捲風,5,5,5,75000,3664965
79.3,448,路卡利歐,格鬥,鋼,-,-,-,-,-,-,-,-,2492,186.3,123.4,145,37.5,發勁*,波導彈,彗星拳,4,5,5,75000,3332518
78.6,376,巨金怪,鋼,超能力,-,-,-,-,-,-,-,-,2499,171.5,158.4,134,24,暗影爪*,彗星拳*,地震,6,9,5,75000,3638776
78.3,1000,賽富豪,鋼,幽靈,-,-,-,-,-,-,-,-,2499,174.4,139,147,26,禍不單行,暗影球,力量寶石,4,4,5,10000,3561984
78.3,379,雷吉斯奇魯,鋼,,-,-,暗影,-,-,-,-,-,2488,124.2,240.3,167,46.5,鎖定,真氣彈,電磁炮*,15,16,20,100000,4985042
78.2,380,拉帝亞斯,龍,超能力,-,-,暗影,-,-,-,-,-,2499,163.5,171.7,136,26,龍息,薄霧球*,波導彈,15,10,20,100000,3816412
77.5,376,巨金怪,鋼,超能力,-,-,暗影,-,-,-,-,-,2499,171.5,158.4,134,24,暗影爪*,彗星拳*,地震,6,9,5,75000,3638776
77,643,萊希拉姆,龍,火,-,-,暗影,-,-,-,-,-,2493,178.1,142.6,137,22.5,火焰牙,交錯火焰*,流星群,8,11,20,100000,3477820
76.9,685,胖甜妮,妖精,,-,-,-,-,-,-,-,-,2486,153.8,149.6,174,50,妖精之風,能量球,噴射火焰,5,7,3,50000,4002111
76.7,530,龍頭地鼠,地面,鋼,-,-,-,-,-,-,-,-,2499,184.5,101.8,180,28,泥巴射擊,直衝鑽,岩崩,5,5,3,50000,3380431
76.6,28,穿山王,冰,鋼,阿羅拉,-,暗影,-,-,-,-,-,2498,149.8,171.4,162,47.5,暗影爪*,冰凍拳,直衝鑽,5,5,3,50000,4159285
76.5,381,拉帝歐斯,龍,超能力,-,-,-,-,-,-,-,-,2488,178.7,144.6,134,24,龍息,波導彈,潔淨光芒*,10,15,20,100000,3462530
76,649,蓋諾賽克特,蟲,鋼,-,-,-,-,火焰,-,-,-,2493,181.9,147.2,127,27,連斬,磁鐵炸彈,高科技光炮 火*,12,14,20,100000,3398909
75.9,700,仙子伊布,妖精,,-,-,-,-,-,-,-,-,2498,152.2,159.5,169,30,妖精之風,月亮之力,暗影球,7,6,5,75000,4102727
75.4,381,拉帝歐斯,龍,超能力,-,-,暗影,-,-,-,-,-,2485,180.6,144,131,24,龍息,波導彈,潔淨光芒*,10,15,20,100000,3406724
75,863,喵頭目,鋼,,-,-,-,-,-,-,-,-,2497,165.7,147.4,154,48.5,暗影爪,近身戰,欺詐,6,5,3,50000,3762118
74.9,334,七夕青鳥,龍,飛行,-,-,暗影,-,-,-,-,-,2266,131.1,181.5,164,50,龍息,神鳥猛擊,噴射火焰,13,14,1,10000,3902033
74.8,149,快龍,龍,飛行,-,-,暗影,-,-,-,-,-,2495,175.4,139.4,145,24,龍息,雷電拳,蠻力,10,10,5,75000,3545000
74.6,462,自爆磁怪,電,鋼,-,-,暗影,-,-,-,-,-,2500,173.3,156.9,132,28.5,伏特替換,瘋狂伏特,鏡光射擊,3,3,3,50000,3589120
74.5,36,皮可西,妖精,,-,-,-,-,-,-,-,-,2500,150.7,144,191,47.5,妖精之風,彗星拳,月亮之力,5,7,1,10000,4144850
74.4,791,索爾迦雷歐,超能力,鋼,-,-,-,-,-,-,-,-,2499,166.6,130.7,172,23,火焰旋渦,精神之牙,鐵頭,4,5,20,100000,3744360
74.3,691,毒藻龍,毒,龍,-,-,-,-,-,-,-,-,2496,151.2,185.4,147,49,溶解液,水流尾,逆鱗,5,8,3,50000,4121297
74.2,706,黏美龍,龍,,-,-,-,-,-,-,-,-,2493,153.3,175.1,151,26,龍息,水流尾,強力鞭打,9,13,5,75000,4051325
74.1,437,青銅鐘,鋼,超能力,-,-,-,-,-,-,-,-,2499,147.1,189.9,152,50,念力,氣象球 水,以牙還牙,3,5,3,50000,4244816
74.1,462,自爆磁怪,電,鋼,-,-,-,-,-,-,-,-,2500,173.3,156.9,132,28.5,伏特替換,瘋狂伏特,鏡光射擊,3,3,3,50000,3589120
74.1,212,巨鉗螳螂,蟲,鋼,-,-,-,-,-,-,-,-,2494,177.1,144.6,137,31,子彈拳,暗襲要害,起草,5,7,5,75000,3507755
