評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
95.9,895,雷吉鐸拉戈,龍,,-,-,-,-,-,-,-,-,1499,121.9,62.7,241,20,龍息*,巨龍威能*,夾住,12,10,20,100000,1842328
95.7,131,拉普拉斯,水,冰,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,精神波,泡影詠歎調,冰凍光束*,12,14,5,75000,2147136
95.7,765,智揮猩,一般,超能力,-,-,-,-,-,-,-,-,1498,110.2,130.1,142,23,念力,狂舞揮打,起草,3,4,3,75000,2034972
95.4,222,太陽珊瑚,幽靈,,伽勒爾,-,-,-,-,-,-,-,1500,99.3,163.1,139,47.5,驚嚇,黑夜魔影,力量寶石,5,5,3,50000,2251734
95,230,刺龍王,水,龍,-,-,暗影,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,衝浪,高速星星,12,9,3,50000,1839109
95,705,黏美兒,龍,,-,-,-,-,-,-,-,-,1499,114.2,133.8,128,27.5,龍息,泰山壓頂,龍之波動,9,14,5,75000,1955692
94.8,230,刺龍王,水,龍,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,衝浪,高速星星,12,9,3,50000,1839109
94.7,463,大舌舔,一般,,-,-,-,-,-,-,-,-,1499,105.7,125.6,160,23,滾動,泰山壓頂*,暗影球,3,4,3,50000,2123761
94.2,593,胖嘟嘟,水,幽靈,-,-,-,-,-,-,-,-,1499,106.7,126.3,156,24,禍不單行,衝浪,暗影球,4,4,3,50000,2101858
94.1,326,噗噗豬,超能力,,-,-,-,-,-,-,-,-,1497,113.3,131.5,132,23.5,精神波,爆裂拳,暗影球,12,13,1,10000,1966510
93.8,558,岩殿居蟹,蟲,岩石,-,-,-,-,-,-,-,-,1499,120.3,134.7,115,22,連斬,十字剪,岩石炮,10,13,1,10000,1863686
93.7,162,大尾立,一般,,-,-,-,-,-,-,-,-,1498,115.3,105.4,160,34.5,突襲,高速星星,起草,5,7,1,10000,1945534
93.4,699,冰雪巨龍,岩石,冰,-,-,-,-,-,-,-,-,1500,113.5,106.3,164,20,細雪,氣象球 冰,流星光束,5,8,5,75000,1979465
93.4,372,甲殼龍,龍,,-,-,-,-,-,-,-,-,1498,123.3,119.1,123,27.5,龍息,龍捲風,噴射火焰,10,14,5,75000,1806077
93.3,752,滴蛛霸,水,蟲,-,-,-,-,-,-,-,-,1499,97.4,174,136,32,蟲咬,水之波動,泡沫光線,17,14,3,50000,2306355
93.3,488,克雷色利亞,超能力,,-,-,-,-,-,-,-,-,1497,93.2,160.7,160,20,精神利刃,打草結*,月亮之力,6,7,20,100000,2396223
93.1,326,噗噗豬,超能力,,-,-,暗影,-,-,-,-,-,1497,113.3,131.5,132,23.5,精神波,爆裂拳,暗影球,12,13,1,10000,1966510
92.8,148,哈克龍,龍,,-,-,暗影,-,-,-,-,-,1499,125.2,112.5,127,33,龍息,緊束,水流尾,12,9,5,75000,1788369
92.7,487,騎拉帝納,幽靈,龍,-,-,暗影,-,別種,-,-,-,1487,105.3,125,159,16,龍息,龍爪,影子偷襲,13,13,20,100000,2092849
92.5,346,搖籃百合,岩石,草,-,-,-,-,-,-,-,-,1497,105.2,140.3,144,25.5,溶解液,岩石封鎖,打草結,7,7,3,50000,2126277
92.4,372,甲殼龍,龍,,-,-,暗影,-,-,-,-,-,1498,123.3,119.1,123,27.5,龍息,龍捲風,噴射火焰,10,14,5,75000,1806077
92.3,356,彷徨夜靈,幽靈,,-,-,暗影,-,-,-,-,-,1497,102.4,197.7,108,42,禍不單行,冰凍拳,暗影拳,4,3,3,50000,2186937
92.3,365,帝牙海獅,冰,水,-,-,-,-,-,-,-,-,1500,112.5,114.9,154,20.5,細雪*,冰錐*,地震,5,9,3,50000,1990879
92,356,彷徨夜靈,幽靈,,-,-,-,-,-,-,-,-,1497,102.4,197.7,108,42,禍不單行,冰凍拳,暗影拳,4,3,3,50000,2186937
92,706,黏美龍,龍,,-,-,-,-,-,-,-,-,1499,119.7,134.1,117,16,龍息,水流尾,雷電拳*,9,10,5,75000,1878306
92,364,海魔獅,冰,水,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,細雪,衝浪,泰山壓頂,6,5,3,50000,2065168
91.8,226,巨翅飛魚,水,飛行,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,翅膀攻擊,龍捲風,水之波動,5,7,5,75000,2126860
91.6,131,拉普拉斯,水,冰,-,-,暗影,-,-,-,-,-,1499,104.7,114.6,179,21.5,精神波,泡影詠歎調,冰凍光束*,12,14,5,75000,2147136
91.6,308,恰雷姆,格鬥,超能力,-,-,-,-,-,-,-,-,1500,106.9,139.5,141,49,精神利刃,冰凍拳,爆裂拳,5,5,3,50000,2102958
91.5,97,引夢貘人,超能力,,-,-,-,-,-,-,-,-,1500,103.4,143,147,27,念力,暗影球,雷電拳,4,3,3,50000,2174050
91.3,460,暴雪王,草,冰,-,-,-,-,-,-,-,-,1495,117.9,112,143,23.5,細雪,氣象球 冰,能量球,5,6,3,50000,1888173
