評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
97.8,89,臭臭泥,毒,惡,阿羅拉,-,-,-,-,-,-,-,1491,115.9,111.7,148,20,毒擊,狂舞揮打,冰凍拳,5,6,3,50000,1916176
97.3,630,禿鷹娜,惡,飛行,-,-,-,-,-,-,-,-,1500,92.1,151.3,175,26.5,空氣斬,惡之波動,燕返,5,5,5,75000,2439745
95,877,莫魯貝可,電,惡,-,-,-,-,滿腹花紋,-,-,-,1499,140.5,96.3,118,28.5,電擊,氣場輪,精神之牙,5,4,3,50000,1596126
94.6,198,黑暗鴉,惡,飛行,-,-,暗影,-,-,-,-,-,1499,143.2,81.1,135,41,啄,啄鑽,欺詐,5,5,3,50000,1567720
94.6,302,勾魂眼,惡,幽靈,-,-,-,-,-,-,-,-,1496,119.7,124.6,125,47,暗影爪,欺詐,魔法閃耀,5,7,5,75000,1864140
94.4,452,龍王蠍,毒,惡,-,-,-,-,-,-,-,-,1500,117.9,136.9,118,22.5,毒針,咬碎,水流尾,5,4,5,75000,1903472
93.9,658,甲賀忍蛙,水,惡,-,-,暗影,-,-,-,-,-,1500,139.6,100.4,115,21,飛水手裡劍,加農水砲*,狂舞揮打,3,3,3,10000,1611397
93.5,89,臭臭泥,毒,惡,阿羅拉,-,暗影,-,-,-,-,-,1491,115.9,111.7,148,20,毒擊,狂舞揮打,冰凍拳,5,6,3,50000,1916176
92.8,979,棄世猴,格鬥,幽靈,-,-,暗影,-,-,-,-,-,1499,123.4,105.2,140,17,踢倒,憤怒之拳*,冰凍拳,5,5,3,50000,1817129
92.4,979,棄世猴,格鬥,幽靈,-,-,-,-,-,-,-,-,1499,123.4,105.2,140,17,踢倒,憤怒之拳*,冰凍拳,5,5,3,50000,1817129
91.8,538,投摔鬼,格鬥,,-,-,-,-,-,-,-,-,1499,110.3,107.8,171,22,踢倒,劈瓦,泰山壓頂,5,5,5,75000,2032228
91.6,799,惡食大王,惡,龍,-,-,-,-,-,-,-,-,1499,113.3,66.1,265,19.5,龍尾,狂舞揮打,龍爪,3,5,20,100000,1982915
91.2,861,長毛巨魔,惡,妖精,-,-,-,-,-,-,-,-,1499,136.3,90.8,133,19.5,踢倒,欺詐,吸取之吻,5,7,5,50000,1646354
91,923,巴布土撥,電,格鬥,-,-,-,-,-,-,-,-,1500,145.1,95.5,112,21,電擊,劈瓦*,瘋狂伏特,5,5,3,75000,1551733
90.9,344,念力土偶,地面,超能力,-,-,-,-,-,-,-,-,1500,103.6,172.7,121,29,擲泥,岩石封鎖,大地之力,5,5,3,50000,2164207
90.2,687,烏賊王,惡,超能力,-,-,-,-,-,-,-,-,1493,117.2,116.6,139,23.5,啄,蠻力,欺詐,5,5,3,50000,1899127
90.2,198,黑暗鴉,惡,飛行,-,-,-,-,-,-,-,-,1499,143.2,81.1,135,41,啄,啄鑽,欺詐,5,5,3,50000,1567720
90.2,302,勾魂眼,惡,幽靈,-,-,暗影,-,-,-,-,-,1496,119.7,124.6,125,47,暗影爪,欺詐,吸取拳,5,5,5,75000,1864140
90,503,大劍鬼,水,惡,洗翠,-,-,-,-,-,-,-,1499,132.6,96.8,132,20,連斬,聖劍,惡之波動,9,12,3,10000,1694230
89.9,635,三首惡龍,惡,龍,-,-,暗影,-,-,-,-,-,1500,136.1,104.5,116,15,龍息,狂舞揮打*,飛翔,9,12,5,75000,1649711
89.7,197,月亮伊布,惡,,-,-,-,-,-,-,-,-,1500,90.2,177,156,27,大聲咆哮,惡之波動,珍藏*,4,5,5,75000,2491764
89.5,146,火焰鳥,惡,飛行,伽勒爾,-,-,-,-,-,-,-,1488,115.1,134.7,124,17.5,突襲,飛翔,勇鳥猛攻,7,8,20,100000,1922500
89,538,投摔鬼,格鬥,,-,-,暗影,-,-,-,-,-,1499,110.3,107.8,171,22,踢倒,劈瓦,泰山壓頂,5,5,5,75000,2032228
88.9,624,駒刀小兵,惡,鋼,-,-,-,-,-,-,-,-,1497,132,107.8,119,49,連斬,暗襲要害,鐵頭,9,13,5,75000,1692305
88.7,701,摔角鷹人,格鬥,飛行,-,-,-,-,-,-,-,-,1497,127.5,107.6,128,23,踢倒,飛身重壓,燕返,5,6,5,75000,1756378
88.6,983,仆斬將軍,惡,鋼,-,-,-,-,-,-,-,-,1500,127.3,112,124,15.5,踢倒,欺詐,鐵頭,5,7,5,75000,1768045
88.5,687,烏賊王,惡,超能力,-,-,暗影,-,-,-,-,-,1493,117.2,116.6,139,23.5,啄,欺詐,蠻力,5,5,3,50000,1899127
88.2,452,龍王蠍,毒,惡,-,-,暗影,-,-,-,-,-,1500,117.9,136.9,118,22.5,毒針,咬碎,水流尾,5,4,5,75000,1903472
88.1,783,鱗甲龍,龍,格鬥,-,-,-,-,-,-,-,-,1498,115.5,135.6,124,36.5,龍尾,劈瓦,岩石封鎖,4,5,5,75000,1942416
88.1,375,金屬怪,鋼,超能力,-,-,暗影,-,-,-,-,-,1498,109,145.8,129,36,連斬,精神衝擊,陀螺球,10,13,5,75000,2049614
