評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
97.3,364,海魔獅,冰,水,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,細雪,衝浪,泰山壓頂,6,5,3,50000,2065168
96.6,356,彷徨夜靈,幽靈,,-,-,-,-,-,-,-,-,1497,102.4,197.7,108,42,禍不單行,冰凍拳,暗影拳,4,3,3,50000,2186937
96.2,680,雙劍鞘,鋼,幽靈,-,-,-,-,-,-,-,-,1500,122.9,140,106,22.5,暗影爪,聖劍,陀螺球,5,7,5,75000,1824726
95.4,356,彷徨夜靈,幽靈,,-,-,暗影,-,-,-,-,-,1497,102.4,197.7,108,42,禍不單行,冰凍拳,暗影拳,4,3,3,50000,2186937
94.9,364,海魔獅,冰,水,-,-,暗影,-,-,-,-,-,1500,109,112.8,168,36,細雪,衝浪,泰山壓頂,6,5,3,50000,2065168
94.7,860,詐唬魔,惡,妖精,-,-,-,-,-,-,-,-,1500,124.8,98,147,49.5,突襲,欺詐,嬉鬧,6,9,5,50000,1798764
93.4,375,金屬怪,鋼,超能力,-,-,-,-,-,-,-,-,1498,109,145.8,129,36,連斬,精神衝擊,陀螺球,10,13,5,75000,2049614
92.4,958,巧鍛匠,妖精,鋼,-,-,-,-,-,-,-,-,1477,104.2,134.4,149,50,妖精之風,嬉鬧,加農光炮,7,8,3,75000,2087357
90.9,737,蟲電寶,蟲,電,-,-,-,-,-,-,-,-,1497,114.8,134.8,126,36.5,伏特替換*,十字剪,放電,3,3,1,10000,1949448
90.6,372,甲殼龍,龍,,-,-,-,-,-,-,-,-,1498,123.3,119.1,123,27.5,龍息,龍捲風,噴射火焰,10,14,5,75000,1806077
90.3,737,蟲電寶,蟲,電,-,-,暗影,-,-,-,-,-,1497,114.8,134.8,126,36.5,伏特替換*,十字剪,放電,3,3,1,10000,1949448
90.3,600,齒輪組,鋼,,-,-,-,-,-,-,-,-,1498,114.1,137.8,125,31.5,金屬音,夾住,十萬伏特,5,7,5,75000,1964847
89.7,305,可多拉,鋼,岩石,-,-,-,-,-,-,-,-,1500,113.8,147.2,118,27,金屬音,岩石封鎖,泰山壓頂,7,5,1,10000,1976790
89.5,783,鱗甲龍,龍,格鬥,-,-,-,-,-,-,-,-,1498,115.5,135.6,124,36.5,龍尾,劈瓦,岩石封鎖,4,5,5,75000,1942416
89.5,375,金屬怪,鋼,超能力,-,-,暗影,-,-,-,-,-,1498,109,145.8,129,36,連斬,精神衝擊,陀螺球,10,13,5,75000,2049614
89.3,634,雙首暴龍,惡,龍,-,-,暗影,-,-,-,-,-,1498,120.5,110.2,140,30.5,龍息,泰山壓頂,惡之波動,9,13,5,75000,1859224
88.4,148,哈克龍,龍,,-,-,暗影,-,-,-,-,-,1499,125.2,112.5,127,33,龍息,緊束,水流尾,12,9,5,75000,1788369
88.4,67,豪力,格鬥,,-,-,暗影,-,-,-,-,-,1499,126.8,97.4,143,27.5,空手劈,十字劈*,爆裂拳,4,5,3,50000,1765627
88.4,57,火爆猴,格鬥,,-,-,暗影,-,-,-,-,-,1498,138.7,100.1,116,24,空手劈*,憤怒之拳*,冰凍拳,4,5,3,50000,1611459
88.2,57,火爆猴,格鬥,,-,-,-,-,-,-,-,-,1498,138.7,100.1,116,24,空手劈*,憤怒之拳*,冰凍拳,4,5,3,50000,1611459
88,372,甲殼龍,龍,,-,-,暗影,-,-,-,-,-,1498,123.3,119.1,123,27.5,龍息,龍捲風,噴射火焰,10,14,5,75000,1806077
87.9,705,黏美兒,龍,,-,-,-,-,-,-,-,-,1499,114.2,133.8,128,27.5,龍息,泰山壓頂,龍之波動,9,14,5,75000,1955692
87.7,933,鹽石壘,岩石,,-,-,-,-,-,-,-,-,1461,100.8,147.1,142,50,泥巴射擊,岩石封鎖,岩石爆擊,6,5,5,50000,2105603
87.4,502,雙刃丸,水,,-,-,暗影,-,-,-,-,-,1499,124.1,99.8,146,35,連斬,水流尾,十字剪,9,10,3,10000,1808108
87.2,148,哈克龍,龍,,-,-,-,-,-,-,-,-,1499,125.2,112.5,127,33,龍息,水流尾,龍之波動,9,14,5,75000,1788369
86.9,305,可多拉,鋼,岩石,-,-,暗影,-,-,-,-,-,1500,113.8,147.2,118,27,金屬音,岩石封鎖,泰山壓頂,7,5,1,10000,1976790
86.9,217,圈圈熊,一般,,-,-,-,-,-,-,-,-,1500,139.6,91.4,126,18.5,暗影爪,高速星星,近身戰,5,6,3,50000,1607158
86.7,533,鐵骨土人,格鬥,,-,-,-,-,-,-,-,-,1499,125.3,100.1,143,26,踢倒,劈瓦,尖石攻擊,5,7,5,75000,1794633
86.3,997,凍脊龍,龍,冰,-,-,-,-,-,-,-,-,1500,122.9,98.6,151,27,龍息,雪崩,龍爪,12,13,5,75000,1828678
86.1,634,雙首暴龍,惡,龍,-,-,-,-,-,-,-,-,1498,120.5,110.2,140,30.5,龍息,泰山壓頂,惡之波動,9,13,5,75000,1859224
86,838,大炭車,岩石,火,-,-,-,-,-,-,-,-,1500,97.1,141.5,168,46.5,擊落,岩崩,蓄能焰襲,6,7,3,10000,2308407
85.8,217,圈圈熊,一般,,-,-,暗影,-,-,-,-,-,1500,139.6,91.4,126,18.5,暗影爪,高速星星,近身戰,5,6,3,50000,1607158
85.7,502,雙刃丸,水,,-,-,-,-,-,-,-,-,1496,122.6,99.8,149,35,連斬,水流尾,十字剪,9,10,3,10000,1822620
85.3,8,卡咪龜,水,,-,-,-,-,-,-,-,-,1496,107.6,139.1,139,47.5,水槍,水流噴射,冰凍光束,14,19,3,10000,2080282
84.6,176,波克基古,妖精,飛行,-,-,-,-,-,-,-,-,1498,110.2,150.2,123,36.5,妖精之風,精神衝擊,熱風,5,5,3,50000,2035132
84.5,533,鐵骨土人,格鬥,,-,-,暗影,-,-,-,-,-,1499,125.3,100.1,143,26,踢倒,劈瓦,尖石攻擊,5,7,5,75000,1794633
84.4,536,藍蟾蜍,水,地面,-,-,-,-,-,-,-,-,1500,116.2,103,161,48,泥巴射擊,大地之力,水之波動,6,6,3,50000,1926840
84.3,259,沼躍魚,水,地面,-,-,-,-,-,-,-,-,1499,119.9,111.5,140,34.5,泥巴射擊,衝浪,污泥攻擊,5,5,3,10000,1871384
84.1,259,沼躍魚,水,地面,-,-,暗影,-,-,-,-,-,1500,120.4,111.4,139,33.5,泥巴射擊,衝浪,污泥攻擊,5,5,3,10000,1864979
83.9,113,吉利蛋,一般,,-,-,-,-,-,-,-,-,1418,63,120.2,421,50,意念頭錘,魔法閃耀,破壞光線,10,14,5,75000,3188219
