評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
94.4,959,巨鍛匠,妖精,鋼,-,-,-,-,-,-,-,-,2499,140.3,177.3,178,50,妖精之風,巨力錘*,重踏,7,7,3,75000,4428816
94,823,鋼鎧鴉,飛行,鋼,-,-,-,-,-,-,-,-,2497,137.8,170,193,47,潑沙,空氣利刃*,鐵頭*,10,13,1,10000,4522355
93.7,143,卡比獸,一般,,-,-,暗影,-,-,-,-,-,2495,139.1,131.2,245,28.5,精神波,泰山壓頂,地震,10,17,5,75000,4470989
93.3,823,鋼鎧鴉,飛行,鋼,-,-,暗影,-,-,-,-,-,2497,137.8,170,193,47,潑沙,空氣利刃*,以牙還牙,10,15,1,10000,4522355
92.7,809,美錄梅塔,鋼,,-,-,-,-,-,-,-,-,2498,155.2,138.3,187,25.5,電擊,鋼拳雙擊*,爆裂拳,4,5,20,100000,4012293
92.3,640,畢力吉翁,草,格鬥,-,-,-,-,-,-,-,-,2496,146.1,180,162,31,二連踢,葉刃,聖劍*,3,3,20,100000,4260018
92.3,718,基格爾德,龍,地面,-,完全體,-,-,-,-,-,-,2498,128.9,142,264,24,龍尾,咬碎,重踏,4,5,20,100000,4833523
92.2,395,帝王拿波,水,鋼,-,-,-,-,-,-,-,-,2500,161.9,150.7,158,33,金屬音,加農水砲*,啄鑽,5,5,3,10000,3856139
92.1,395,帝王拿波,水,鋼,-,-,暗影,-,-,-,-,-,2500,161.9,150.7,158,33,金屬音,加農水砲*,啄鑽,5,5,3,10000,3856139
92.1,778,謎擬Ｑ,幽靈,妖精,-,-,-,-,-,-,-,-,2490,159.7,179.8,135,50,暗影爪,影子偷襲,嬉鬧,7,8,5,50000,3875876
92.1,143,卡比獸,一般,,-,-,-,-,-,-,-,-,2495,139.1,131.2,245,28.5,精神波,泰山壓頂,地震,10,17,5,75000,4470989
92,671,花潔夫人,妖精,,-,-,-,-,-,-,-,-,2496,154,183.3,143,28.5,妖精之風,潑冷水*,魅惑之聲,5,5,3,50000,4037457
91.9,146,火焰鳥,惡,飛行,伽勒爾,-,-,-,-,-,-,-,2490,149.5,175.6,158,29.5,突襲,飛翔,勇鳥猛攻,7,8,20,100000,4146723
91.7,160,大力鱷,水,,-,-,暗影,-,-,-,-,-,2496,159.2,154.6,159,35,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,3912480
91.5,160,大力鱷,水,,-,-,-,-,-,-,-,-,2496,159.2,154.6,159,35,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,3912480
91.2,593,胖嘟嘟,水,幽靈,-,-,-,-,-,-,-,-,2499,141.6,158.9,196,47.5,禍不單行,衝浪,暗影球,4,4,3,50000,4409691
91,487,騎拉帝納,幽靈,龍,-,-,-,-,別種,-,-,-,2494,134.5,168.1,204,27.5,龍息,原始之力,暗影潛襲*,12,17,20,100000,4613304
90.9,845,古月鳥,飛行,水,-,-,-,-,-,-,-,-,2421,158,149.6,157,50,啄,潛水,飛翔,5,6,3,50000,3709764
90.9,799,惡食大王,惡,龍,-,-,-,-,-,-,-,-,2494,145.1,86.1,343,34,龍尾,狂舞揮打,污泥炸彈,3,5,20,100000,4287285
90.7,812,轟擂金剛猩,草,,-,-,-,-,-,-,-,-,2492,170.2,127.5,168,27.5,抓,鼓擊,大地之力,9,13,3,10000,3646334
90.7,911,骨紋巨聲鱷,火,幽靈,-,-,-,-,-,-,-,-,2500,156.5,141.8,180,30.5,燒盡,閃焰高歌,暗影球,3,3,3,10000,3994643
90.5,131,拉普拉斯,水,冰,-,-,-,-,-,-,-,-,2495,134,149.8,231,40.5,精神波,泡影詠歎調,冰凍光束*,12,14,5,75000,4637587
90.5,131,拉普拉斯,水,冰,-,-,暗影,-,-,-,-,-,2495,134,149.8,231,40.5,精神波,泡影詠歎調,冰凍光束*,12,14,5,75000,4637587
90.3,477,黑夜魔靈,幽靈,,-,-,-,-,-,-,-,-,2493,153.2,222.4,119,48.5,驚嚇,爆裂拳,暗影拳,5,4,3,50000,4054725
90.3,38,九尾,冰,妖精,阿羅拉,-,-,-,-,-,-,-,2499,151.5,172.2,158,47.5,細雪,氣象球 冰,潑冷水*,5,6,3,50000,4121225
90.2,977,吃吼霸,水,,-,-,-,-,-,-,-,-,2495,133.9,142.8,243,32,攀瀑,衝浪,逆鱗,5,6,5,75000,4646009
90.2,477,黑夜魔靈,幽靈,,-,-,暗影,-,-,-,-,-,2493,153.2,222.4,119,48.5,驚嚇,爆裂拳,暗影拳,5,4,3,50000,4054725
90.2,379,雷吉斯奇魯,鋼,,-,-,-,-,-,-,-,-,2498,122.8,243.1,170,49,鎖定,加農光炮,真氣彈,13,15,20,100000,5073927
90,9,水箭龜,水,,-,-,-,-,-,-,-,-,2498,143.9,181.6,166,45.5,咬住,加農水砲*,火箭頭錘,10,19,3,10000,4337825
90,38,九尾,冰,妖精,阿羅拉,-,暗影,-,-,-,-,-,2499,151.5,172.2,158,47.5,細雪,氣象球 冰,潑冷水*,5,6,3,50000,4121225
89.9,205,佛烈托斯,蟲,鋼,-,-,-,-,-,-,-,-,2500,144.9,182.4,163,48.5,伏特替換,岩石封鎖,流沙地獄,4,3,5,75000,4307907
89.9,487,騎拉帝納,幽靈,龍,-,-,暗影,-,別種,-,-,-,2499,137.4,163.1,202,27,龍息,原始之力,影子偷襲,12,13,20,100000,4528800
89.8,895,雷吉鐸拉戈,龍,,-,-,-,-,-,-,-,-,2496,154.6,84.4,309,32.5,龍息*,巨龍威能*,夾住,12,10,20,100000,4030826
89.5,38,九尾,火,,-,-,-,-,-,-,-,-,2498,151.2,171.2,159,49,火花*,氣象球 火,能量球*,4,5,3,50000,4116371
89.4,488,克雷色利亞,超能力,,-,-,-,-,-,-,-,-,2499,120.2,207.2,208,36.5,精神利刃,打草結*,月亮之力,6,6,20,100000,5179131
89.4,89,臭臭泥,毒,惡,阿羅拉,-,-,-,-,-,-,-,2497,150,144.6,191,37,毒擊,狂舞揮打,冰凍拳,5,6,3,50000,4142335
89.2,36,皮可西,妖精,,-,-,-,-,-,-,-,-,2500,150.7,144,191,47.5,妖精之風,彗星拳,吸取之吻,5,7,1,10000,4144850
89.2,663,烈箭鷹,火,飛行,-,-,-,-,-,-,-,-,2493,160.5,142.9,168,50,燒盡*,飛翔,勇鳥猛攻,3,3,1,10000,3851770
89.1,205,佛烈托斯,蟲,鋼,-,-,暗影,-,-,-,-,-,2500,144.9,182.4,163,48.5,伏特替換,岩石封鎖,流沙地獄,4,3,5,75000,4307907
89.1,365,帝牙海獅,冰,水,-,-,-,-,-,-,-,-,2500,145.4,147.8,200,38.5,細雪*,冰錐*,地震,5,9,3,50000,4297195
89.1,365,帝牙海獅,冰,水,-,-,暗影,-,-,-,-,-,2500,145.4,147.8,200,38.5,細雪*,冰錐*,地震,5,9,3,50000,4297195
