Score,Dex,Pokemon,Type 1,Type 2,Region,Form Type,Shadow,Mega,Alt Form,Gender,Size,Weather,CP,ATK,DEF,HP,Level,Fast Move,Charge Move 1,Charge Move 2,Fast Turns,Charge 1 Turns,Buddy Distance,Second Move Cost,Stat Product
97.1,375,Metang,steel,psychic,-,-,-,-,-,-,-,-,1498,109,145.8,129,36,Fury Cutter,Psyshock,Gyro Ball,-,-,5,-,2049614
96.9,689,Barbaracle,rock,water,-,-,-,-,-,-,-,-,1499,121,133.1,115,20.5,Fury Cutter,Cross Chop,Stone Edge,-,-,3,-,1851007
96.9,350,Milotic,water,none,-,-,-,-,-,-,-,-,1498,113.2,133.9,131,18.5,Dragon Tail,Aqua Tail,Wrap,-,-,5,-,1985080
96.3,768,Golisopod,bug,water,-,-,-,-,-,-,-,-,1499,124.1,134.7,108,17.5,Fury Cutter,X-Scissor,Aqua Jet,-,-,1,-,1804489
95.5,706,Goodra,dragon,none,-,-,-,-,-,-,-,-,1499,119.7,134.1,117,16,Dragon Breath,Aqua Tail,Thunder Punch*,-,-,5,-,1878306
95.5,130,Gyarados,water,flying,-,-,-,-,-,-,-,-,1498,130.8,108.5,121,16.5,Dragon Breath,Twister,Aqua Tail*,-,-,1,-,1717312
95.1,863,Perrserker,steel,none,-,-,-,-,-,-,-,-,1500,128.8,113.4,119,23,Shadow Claw,Close Combat,Trailblaze,-,-,3,-,1737649
94.7,372,Shelgon,dragon,none,-,-,-,-,-,-,-,-,1498,123.3,119.1,123,27.5,Dragon Breath,Twister,Flamethrower,-,-,5,-,1806077
93.8,624,Pawniard,dark,steel,-,-,-,-,-,-,-,-,1497,132,107.8,119,49,Fury Cutter,Night Slash,X-Scissor,-,-,5,-,1692305
93.8,705,Sliggoo,dragon,none,-,-,-,-,-,-,-,-,1499,114.2,133.8,128,27.5,Dragon Breath,Body Slam,Dragon Pulse,-,-,5,-,1955692
93.6,334,Altaria,dragon,flying,-,-,-,-,-,-,-,-,1499,103.4,151.9,138,28.5,Dragon Breath,Moonblast*,Flamethrower,-,-,1,-,2167763
92.9,9,Blastoise,water,none,-,-,-,-,-,-,-,-,1500,112.1,137.7,130,23,Rollout,Hydro Cannon*,Skull Bash,-,-,3,-,2007546
92.5,131,Lapras,water,ice,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,Psywave,Sparkling Aria,Dragon Pulse*,-,-,5,-,2147136
92.3,87,Dewgong,water,ice,-,-,-,-,-,-,-,-,1498,102,136.9,157,28.5,Ice Shard*,Icy Wind*,Drill Run,-,-,3,-,2192411
92.1,119,Seaking,water,none,-,-,-,-,-,-,-,-,1500,121.9,109,138,26,Peck,Drill Run*,Megahorn,-,-,3,-,1833820
91.7,365,Walrein,ice,water,-,-,-,-,-,-,-,-,1500,112.5,114.9,154,20.5,Powder Snow*,Icicle Spear*,Earthquake,-,-,3,-,1990879
91.3,279,Pelipper,water,flying,-,-,-,-,-,-,-,-,1500,123.3,128.7,115,26,Wing Attack,Weather Ball (Water),Hurricane,-,-,3,-,1825336
90.8,148,Dragonair,dragon,none,-,-,-,-,-,-,-,-,1499,125.2,112.5,127,33,Dragon Breath,Aqua Tail,Wrap,-,-,5,-,1788369
90.7,502,Dewott,water,none,-,-,-,-,-,-,-,-,1496,122.6,99.8,149,35,Fury Cutter,X-Scissor,Aqua Tail,-,-,3,-,1822620
90.4,977,Dondozo,water,none,-,-,-,-,-,-,-,-,1499,104.6,109.7,187,18.5,Waterfall,Outrage,Liquidation,-,-,5,-,2146006
90,230,Kingdra,water,dragon,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,Dragon Breath,Swift,Surf,-,-,3,-,1839109
89.9,28,Sandslash,ice,steel,Alolan,-,-,-,-,-,-,-,1499,116,133.3,125,23,Powder Snow,Drill Run,Ice Punch,-,-,3,-,1931513
89.7,457,Lumineon,water,none,-,-,-,-,-,-,-,-,1498,109,137.4,137,32.5,Gust,Aqua Tail,Silver Wind,-,-,3,-,2052476
89.5,437,Bronzong,steel,psychic,-,-,-,-,-,-,-,-,1500,110.9,152.3,120,25,Confusion,Psyshock,Weather Ball (Water),-,-,3,-,2026242
89.2,149,Dragonite,dragon,flying,-,-,-,-,-,-,-,-,1498,135.8,107.3,113,14.5,Dragon Breath,Superpower,Thunder Punch,-,-,5,-,1647398
89.1,828,Thievul,dark,none,-,-,-,-,-,-,-,-,1494,119.9,121.9,127,26,Sucker Punch,Night Slash,Play Rough,-,-,1,-,1856410
88.7,634,Zweilous,dark,dragon,-,-,-,-,-,-,-,-,1498,120.5,110.2,140,30.5,Dragon Breath,Body Slam,Dark Pulse,-,-,5,-,1859224
88.4,920,Lokix,bug,dark,-,-,-,-,-,-,-,-,1499,132.9,104.1,122,24,Sucker Punch,X-Scissor,Trailblaze,-,-,1,-,1686502
88.4,364,Sealeo,ice,water,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,Powder Snow,Body Slam,Surf,-,-,3,-,2065168
87.9,691,Dragalge,poison,dragon,-,-,-,-,-,-,-,-,1500,117.9,143.1,113,23.5,Dragon Tail,Outrage,Aqua Tail,-,-,3,-,1906032
87.7,452,Drapion,poison,dark,-,-,-,-,-,-,-,-,1500,117.9,136.9,118,22.5,Poison Sting,Crunch,Aqua Tail,-,-,5,-,1903472
87.7,503,Samurott,water,none,-,-,-,-,-,-,-,-,1500,128,100.9,136,19.5,Fury Cutter,Hydro Cannon*,Megahorn,-,-,3,-,1756037
87.3,351,Castform,water,none,-,-,-,-,-,-,-,Rainy,1500,112.6,121.3,146,39.5,Water Gun,Weather Ball (Water),Thunder,-,-,5,-,1993800
87.1,321,Wailord,water,none,-,-,-,-,-,-,-,-,1497,118.4,67.4,237,24.5,Rollout,Surf,Return<sup>†</sup>,-,-,1,-,1891875
86.9,687,Malamar,dark,psychic,-,-,-,-,-,-,-,-,1493,117.2,116.6,139,23.5,Psywave,Superpower,Foul Play,-,-,3,-,1899127
86.8,186,Politoed,water,none,-,-,-,-,-,-,-,-,1498,114,124.3,139,23,Mud Shot,Weather Ball (Water),Earthquake*,-,-,3,-,1970072
86.3,983,Kingambit,dark,steel,-,-,-,-,-,-,-,-,1500,127.3,112,124,15.5,Metal Sound,Foul Play,X-Scissor,-,-,5,-,1768045
86.2,503,Samurott,water,dark,Hisuian,-,-,-,-,-,-,-,1499,132.6,96.8,132,20,Fury Cutter,Sacred Sword,X-Scissor,-,-,3,-,1694230
