Score,Dex,Pokemon,Type 1,Type 2,Region,Form Type,Shadow,Mega,Alt Form,Gender,Size,Weather,CP,ATK,DEF,HP,Level,Fast Move,Charge Move 1,Charge Move 2,Fast Turns,Charge 1 Turns,Buddy Distance,Second Move Cost,Stat Product
98.3,249,Lugia,psychic,flying,-,-,-,-,-,-,-,-,4186,174.8,273.1,210,50,Dragon Tail,Fly,Aeroblast*,-,-,20,-,10023854
96,382,Kyogre,water,none,-,-,-,-,-,-,-,-,4652,239.5,204.2,184,50,Waterfall,Avalanche,Thunder,-,-,20,-,8997828
95.9,150,Mewtwo,psychic,none,-,-,Shadow,-,-,-,-,-,4724,264.7,165.5,192,50,Psycho Cut,Psystrike*,Shadow Ball*,-,-,20,-,8412920
95.7,150,Mewtwo,psychic,none,-,-,-,-,-,-,-,-,4724,264.7,165.5,192,50,Psycho Cut,Psystrike*,Shadow Ball*,-,-,20,-,8412920
95.6,249,Lugia,psychic,flying,-,-,Shadow,-,-,-,-,-,4186,174.8,273.1,210,50,Dragon Tail,Fly,Aeroblast*,-,-,20,-,10023854
95.5,484,Palkia,water,dragon,-,-,-,-,-,-,-,-,4512,247.9,193.3,171,50,Dragon Breath,Aqua Tail,Draco Meteor,-,-,20,-,8192467
94.6,484,Palkia,water,dragon,-,-,Shadow,-,-,-,-,-,4512,247.9,193.3,171,50,Dragon Breath,Aqua Tail,Draco Meteor,-,-,20,-,8192467
94.1,800,Necrozma,psychic,steel,-,Dusk Mane,-,-,-,-,-,-,4634,245.4,197.5,180,50,Shadow Claw,Sunsteel Strike,Dark Pulse,-,-,20,-,8721516
93.9,382,Kyogre,water,none,-,-,Shadow,-,-,-,-,-,4652,239.5,204.2,184,50,Waterfall,Avalanche,Thunder,-,-,20,-,8997828
93.9,791,Solgaleo,psychic,steel,-,-,-,-,-,-,-,-,4570,226.9,173.1,234,50,Fire Spin,Psychic Fangs,Iron Head,-,-,20,-,9190002
93.5,9,Blastoise,water,none,-,-,-,Mega,-,-,-,-,4455,234.4,211.8,170,50,Rollout,Hydro Cannon*,Ice Beam,-,-,3,-,8439611
92.1,487,Giratina,ghost,dragon,-,Altered,-,-,-,-,-,-,3820,169.7,201.7,251,50,Shadow Claw,Dragon Claw,Shadow Sneak,-,-,20,-,8592214
92.1,646,Kyurem,dragon,ice,-,-,-,-,-,-,-,-,4041,219.3,155.5,218,50,Dragon Breath,Glaciate*,Dragon Claw,-,-,20,-,7432544
92.1,80,Slowbro,water,psychic,-,-,-,Mega,-,-,-,-,4245,200.8,230.2,194,50,Confusion,Surf*,Drain Punch,-,-,3,-,8970547
91.9,65,Alakazam,psychic,none,-,-,-,Mega,-,-,-,-,5099,321,186.5,135,50,Psycho Cut,Fire Punch,Shadow Ball,-,-,3,-,8083861
91.2,385,Jirachi,steel,psychic,-,-,-,-,-,-,-,-,3691,189.1,189.1,201,50,Confusion,Doom Desire,Aura Sphere,-,-,20,-,7185051
91,381,Latios,dragon,psychic,-,-,Shadow,-,-,-,-,-,4310,237.8,190.7,172,50,Dragon Breath,Aura Sphere,Luster Purge*,-,-,20,-,7802064
90.7,888,Zacian,fairy,none,-,Hero,-,-,-,-,-,-,4329,226,210.9,173,50,Quick Attack,Wild Charge,Play Rough,-,-,20,-,8247852
90.3,671,Florges,fairy,none,-,-,-,-,-,-,-,-,3657,190.7,217.6,168,50,Fairy Wind,Chilling Water*,Moonblast,-,-,3,-,6974349
90.1,381,Latios,dragon,psychic,-,-,-,-,-,-,-,-,4310,237.8,190.7,172,50,Dragon Breath,Aura Sphere,Luster Purge*,-,-,20,-,7802064
90.1,800,Necrozma,psychic,ghost,-,Dawn Wings,-,-,-,-,-,-,4634,245.4,197.5,180,50,Shadow Claw,Moongeist Beam,Dark Pulse,-,-,20,-,8721516
89.9,142,Aerodactyl,rock,flying,-,-,-,Mega,-,-,-,-,4655,258,189.1,172,50,Dragon Breath,Rock Slide,Earth Power,-,-,5,-,8389153
89.7,786,Tapu Lele,psychic,fairy,-,-,-,-,-,-,-,-,3950,230.2,187.4,157,50,Astonish,Nature's Madness*,Psyshock,-,-,20,-,6773667
89.1,380,Latias,dragon,psychic,-,-,-,-,-,-,-,-,3968,204.2,219.3,172,50,Dragon Breath,Aura Sphere,Mist Ball*,-,-,20,-,7702718
89.1,687,Malamar,dark,psychic,-,-,-,Mega,-,-,-,-,3554,187.4,199.2,180,50,Psywave,Foul Play,Superpower,-,-,3,-,6717296
88.9,380,Latias,dragon,psychic,-,-,Shadow,-,-,-,-,-,3968,204.2,219.3,172,50,Dragon Breath,Aura Sphere,Mist Ball*,-,-,20,-,7702718
88.5,706,Goodra,dragon,none,-,-,-,-,-,-,-,-,3963,197.5,216,186,50,Dragon Breath,Aqua Tail,Thunder Punch*,-,-,5,-,7932000
88.3,149,Dragonite,dragon,flying,-,-,Shadow,-,-,-,-,-,4287,233.6,179,188,50,Dragon Breath,Thunder Punch,Superpower,-,-,5,-,7860515
88,151,Mew,psychic,none,-,-,-,-,-,-,-,-,3691,189.1,189.1,201,50,Shadow Claw,Psyshock,Wild Charge,-,-,20,-,7185051
87.9,250,Ho-Oh,fire,flying,-,-,-,-,-,-,-,-,4367,213.4,217.6,192,50,Incinerate,Brave Bird,Sacred Fire*,-,-,20,-,8918739
87.9,700,Sylveon,fairy,none,-,-,-,-,-,-,-,-,3470,183.2,184.9,194,50,Fairy Wind,Moonblast,Shadow Ball,-,-,5,-,6569762
87.8,145,Zapdos,electric,flying,-,-,-,-,-,-,-,-,3987,225.2,168.1,186,50,Thunder Shock*,Drill Peck,Heat Wave,-,-,20,-,7039576
87.6,145,Zapdos,electric,flying,-,-,Shadow,-,-,-,-,-,3987,225.2,168.1,186,50,Thunder Shock*,Drill Peck,Heat Wave,-,-,20,-,7039576
