Score,Dex,Pokemon,Type 1,Type 2,Region,Form Type,Shadow,Mega,Alt Form,Gender,Size,Weather,CP,ATK,DEF,HP,Level,Fast Move,Charge Move 1,Charge Move 2,Fast Turns,Charge 1 Turns,Buddy Distance,Second Move Cost,Stat Product
97.2,131,Lapras,water,ice,-,-,-,-,-,-,-,-,2495,134,149.8,231,40.5,Psywave,Sparkling Aria,Ice Beam*,-,-,5,-,4637587
97,823,Corviknight,flying,steel,-,-,-,-,-,-,-,-,2497,137.8,170,193,47,Sand Attack,Air Cutter*,Payback,-,-,1,-,4522355
97,379,Registeel,steel,none,-,-,-,-,-,-,-,-,2498,122.8,243.1,170,49,Lock On,Flash Cannon,Zap Cannon*,-,-,20,-,5073927
96.7,671,Florges,fairy,none,-,-,-,-,-,-,-,-,2496,154,183.3,143,28.5,Fairy Wind,Chilling Water*,Disarming Voice,-,-,3,-,4037457
96.5,326,Grumpig,psychic,none,-,-,-,-,-,-,-,-,2498,147,168.7,171,49,Psywave,Dynamic Punch,Shadow Ball,-,-,1,-,4241751
96.3,487,Giratina,ghost,dragon,-,Altered,-,-,-,-,-,-,2494,134.5,168.1,204,27.5,Dragon Breath,Dragon Claw,Shadow Sneak,-,-,20,-,4613304
95.2,477,Dusknoir,ghost,none,-,-,-,-,-,-,-,-,2493,153.2,222.4,119,48.5,Astonish,Dynamic Punch,Shadow Punch,-,-,3,-,4054725
95.1,823,Corviknight,flying,steel,-,-,Shadow,-,-,-,-,-,2497,137.8,170,193,47,Sand Attack,Air Cutter*,Payback,-,-,1,-,4522355
95.1,895,Regidrago,dragon,none,-,-,-,-,-,-,-,-,2496,154.6,84.4,309,32.5,Dragon Breath*,Dragon Energy*,Vise Grip,-,-,20,-,4030826
94.8,477,Dusknoir,ghost,none,-,-,Shadow,-,-,-,-,-,2493,153.2,222.4,119,48.5,Astonish,Dynamic Punch,Shadow Punch,-,-,3,-,4054725
94.4,146,Moltres,dark,flying,Galarian,-,-,-,-,-,-,-,2490,149.5,175.6,158,29.5,Sucker Punch,Fly,Brave Bird,-,-,20,-,4146723
