Score,Dex,Pokemon,Type 1,Type 2,Region,Form Type,Shadow,Mega,Alt Form,Gender,Size,Weather,CP,ATK,DEF,HP,Level,Fast Move,Charge Move 1,Charge Move 2,Fast Turns,Charge 1 Turns,Buddy Distance,Second Move Cost,Stat Product
97.1,351,Castform,normal,none,-,-,-,-,-,-,-,-,1500,112.6,121.3,146,39.5,Hex,Weather Ball (Rock),Energy Ball,-,-,5,-,1993800
96.9,683,Aromatisse,fairy,none,-,-,-,-,-,-,-,-,1500,115.8,107.3,156,24,Fairy Wind,Psyshock,Moonblast,-,-,3,-,1939437
96.7,364,Sealeo,ice,water,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,Powder Snow,Surf,Body Slam,-,-,3,-,2065168
95.8,700,Sylveon,fairy,none,-,-,-,-,-,-,-,-,1498,117.3,124.7,130,18,Fairy Wind,Psyshock*,Shadow Ball,-,-,5,-,1901632
95.4,975,Cetitan,ice,none,-,-,-,-,-,-,-,-,1500,120.2,77.1,202,18,Powder Snow,Icicle Spear,Superpower,-,-,3,-,1870752
94.5,671,Florges,fairy,none,-,-,-,-,-,-,-,-,1499,120.1,141.6,110,17,Fairy Wind,Chilling Water*,Disarming Voice,-,-,3,-,1869643
94.5,364,Sealeo,ice,water,-,-,Shadow,-,-,-,-,-,1500,109,112.8,168,36,Powder Snow,Surf,Body Slam,-,-,3,-,2065168
94.5,365,Walrein,ice,water,-,-,Shadow,-,-,-,-,-,1500,112.5,114.9,154,20.5,Waterfall,Icicle Spear*,Earthquake,-,-,3,-,1990879
94.2,428,Lopunny,normal,none,-,-,-,-,-,-,-,-,1499,112.1,143.6,124,27.5,Low Kick,Shadow Ball,Fire Punch,-,-,3,-,1996020
94.2,143,Snorlax,normal,none,-,-,-,-,-,-,-,-,1500,108.4,102.3,187,17.5,Lick,Body Slam,Superpower,-,-,5,-,2073265
93.6,337,Lunatone,rock,psychic,-,-,-,-,-,-,-,-,1496,119.1,108.6,145,24,Psywave,Rock Slide,Weather Ball (Ice),-,-,3,-,1876210
92.5,338,Solrock,rock,psychic,-,-,-,-,-,-,-,-,1496,119.1,108.6,145,24,Psywave,Rock Slide,Weather Ball (Fire),-,-,3,-,1876210
92.1,143,Snorlax,normal,none,-,-,Shadow,-,-,-,-,-,1500,108.4,102.3,187,17.5,Lick,Body Slam,Superpower,-,-,5,-,2073265
91.3,934,Garganacl,rock,none,-,-,-,-,-,-,-,-,1494,105.8,137.3,145,20.5,Mud Shot,Rock Blast,Rock Tomb,-,-,5,-,2107121
90.9,75,Graveler,rock,electric,Alolan,-,-,-,-,-,-,-,1499,121.5,131,116,30,Volt Switch,Stone Edge,Rock Blast,-,-,1,-,1845378
90.5,356,Dusclops,ghost,none,-,-,-,-,-,-,-,-,1497,102.4,197.7,108,42,Hex,Fire Punch,Shadow Punch,-,-,3,-,2186937
90.5,446,Munchlax,normal,none,-,-,-,-,-,-,-,-,1499,103.2,96.6,218,30,Tackle,Body Slam,Bulldoze,-,-,5,-,2172279
90.5,365,Walrein,ice,water,-,-,-,-,-,-,-,-,1500,112.5,114.9,154,20.5,Waterfall,Icicle Spear*,Earthquake,-,-,3,-,1990879
90.2,711,Gourgeist,ghost,grass,-,-,-,-,-,-,Average,-,1498,115.9,145.1,115,23.5,Incinerate,Shadow Ball,Seed Bomb,-,-,5,-,1933691
90.2,730,Primarina,water,fairy,-,-,-,-,-,-,-,-,1500,131.6,115.7,112,17,Waterfall,Hydro Cannon*,Disarming Voice,-,-,3,-,1705342
90,711,Gourgeist,ghost,grass,-,-,-,-,-,-,Large,-,1500,115.9,137.2,122,22,Incinerate,Shadow Ball,Seed Bomb,-,-,5,-,1940488
89.5,685,Slurpuff,fairy,none,-,-,-,-,-,-,-,-,1498,116,119.4,139,25.5,Fairy Wind,Flamethrower,Energy Ball,-,-,3,-,1925688
89.3,356,Dusclops,ghost,none,-,-,Shadow,-,-,-,-,-,1497,102.4,197.7,108,42,Hex,Fire Punch,Shadow Punch,-,-,3,-,2186937
88.8,400,Bibarel,normal,water,-,-,-,-,-,-,-,-,1498,123,99.3,149,31.5,Rollout,Surf,Hyper Fang,-,-,1,-,1818797
88.8,526,Gigalith,rock,none,-,-,-,-,-,-,-,-,1499,127.2,118.4,117,17,Lock On,Superpower,Meteor Beam*,-,-,3,-,1762839
88.8,711,Gourgeist,ghost,grass,-,-,-,-,-,-,Small,-,1499,116.9,153,107,25,Incinerate,Shadow Ball,Seed Bomb,-,-,5,-,1913042
88.5,75,Graveler,rock,electric,Alolan,-,Shadow,-,-,-,-,-,1500,122.6,129.9,115,29.5,Volt Switch,Stone Edge,Rock Blast,-,-,1,-,1831483
88.4,76,Golem,rock,electric,Alolan,-,Shadow,-,-,-,-,-,1497,125.2,122.3,117,19,Volt Switch,Wild Charge,Rock Blast,-,-,1,-,1791042
88.4,711,Gourgeist,ghost,grass,-,-,-,-,-,-,Super,-,1500,115.1,131.6,129,21,Incinerate,Shadow Ball,Seed Bomb,-,-,5,-,1953944
88.2,76,Golem,rock,electric,Alolan,-,-,-,-,-,-,-,1497,125.2,122.3,117,19,Volt Switch,Wild Charge,Rock Blast,-,-,1,-,1791042
87.7,689,Barbaracle,rock,water,-,-,-,-,-,-,-,-,1499,121,133.1,115,20.5,Fury Cutter,Cross Chop,Stone Edge,-,-,3,-,1851007
86.7,547,Whimsicott,grass,fairy,-,-,-,-,-,-,-,-,1499,118.8,135,118,28,Fairy Wind,Seed Bomb,Moonblast,-,-,1,-,1892000
86.6,400,Bibarel,normal,water,-,-,Shadow,-,-,-,-,-,1498,123,99.3,149,31.5,Rollout,Surf,Hyper Fang,-,-,1,-,1818797
86.5,925,Maushold,normal,none,-,-,-,-,-,-,-,-,1498,116.2,122,136,28.5,Mud Shot,Swift,Crunch,-,-,1,-,1928003
86.4,756,Shiinotic,grass,fairy,-,-,-,-,-,-,-,-,1499,116.6,134.3,123,31,Astonish,Seed Bomb,Moonblast,-,-,3,-,1925196
86.2,478,Froslass,ice,ghost,-,-,Shadow,-,-,-,-,-,1499,122.6,114.9,130,27.5,Hex,Avalanche,Shadow Ball,-,-,3,-,1831027
85.8,724,Decidueye,grass,ghost,-,-,-,-,-,-,-,-,1500,127.8,115.3,119,20,Leafage,Frenzy Plant*,Spirit Shackle,-,-,3,-,1754076
85.6,927,Dachsbun,fairy,none,-,-,-,-,-,-,-,-,1500,113.5,156.1,112,26.5,Fire Fang,Psychic Fangs,Play Rough,-,-,3,-,1983841
85,526,Gigalith,rock,none,-,-,Shadow,-,-,-,-,-,1499,127.2,118.4,117,17,Lock On,Meteor Beam*,Superpower,-,-,3,-,1762839
84.6,563,Cofagrigus,ghost,none,-,-,-,-,-,-,-,-,1500,111.7,165.3,109,24.5,Shadow Claw,Shadow Ball,Return<sup>†</sup>,-,-,3,-,2013466
84.6,702,Dedenne,electric,fairy,-,-,-,-,-,-,-,-,1498,124.4,109,133,30,Thunder Shock,Discharge,Play Rough,-,-,3,-,1803653
84.4,87,Dewgong,water,ice,-,-,-,-,-,-,-,-,1498,102,136.9,157,28.5,Ice Shard*,Icy Wind*,Drill Run,-,-,3,-,2192411
84.4,362,Glalie,ice,none,-,-,-,-,-,-,-,-,1499,115.2,120.8,140,27,Rollout,Avalanche,Shadow Ball,-,-,3,-,1948427
84.2,945,Grafaiai,poison,normal,-,-,-,-,-,-,-,-,1498,134.2,107.8,115,24.5,Mud Slap,Poison Fang,Sludge Bomb,-,-,3,-,1663690
84.2,140,Kabuto,rock,water,-,-,-,-,-,-,-,-,1499,134.5,129.5,96,49,Mud Shot,Aqua Jet,Rock Tomb,-,-,5,-,1671529
84,781,Dhelmise,ghost,grass,-,-,-,-,-,-,-,-,1498,139.8,109.3,105,20,Shadow Claw,Power Whip,Brutal Swing,-,-,5,-,1604674
83.6,222,Corsola,water,rock,-,-,-,-,-,-,-,-,1500,108.6,142,134,49,Bubble,Power Gem,Rock Blast,-,-,3,-,2066246
83.2,74,Geodude,rock,electric,Alolan,-,-,-,-,-,-,-,1462,123.5,123.5,113,50,Volt Switch,Rock Tomb,Rock Slide,-,-,1,-,1724177
83,478,Froslass,ice,ghost,-,-,-,-,-,-,-,-,1499,122.6,114.9,130,27.5,Hex,Avalanche,Shadow Ball,-,-,3,-,1831027
82.7,87,Dewgong,water,ice,-,-,Shadow,-,-,-,-,-,1498,102,136.9,157,28.5,Ice Shard*,Aqua Jet*,Drill Run,-,-,3,-,2192411
82.6,713,Avalugg,ice,none,-,-,-,-,-,-,-,-,1500,111.8,141.4,127,17.5,Ice Fang,Avalanche,Body Slam,-,-,3,-,2006849
82.6,709,Trevenant,ghost,grass,-,-,-,-,-,-,-,-,1499,127.8,104.6,131,22,Shadow Claw,Seed Bomb,Shadow Ball,-,-,5,-,1752077
82.1,756,Shiinotic,grass,fairy,-,-,Shadow,-,-,-,-,-,1499,116.6,134.3,123,31,Astonish,Seed Bomb,Moonblast,-,-,3,-,1925196
82,930,Arboliva,grass,normal,-,-,-,-,-,-,-,-,1500,129.3,116.6,115,18.5,Magical Leaf,Earth Power,Trailblaze,-,-,3,-,1734048
82,709,Trevenant,ghost,grass,-,-,Shadow,-,-,-,-,-,1499,127.8,104.6,131,22,Shadow Claw,Seed Bomb,Shadow Ball,-,-,5,-,1752077
