Score,Dex,Pokemon,Type 1,Type 2,Region,Form Type,Shadow,Mega,Alt Form,Gender,Size,Weather,CP,ATK,DEF,HP,Level,Fast Move,Charge Move 1,Charge Move 2,Fast Turns,Charge 1 Turns,Buddy Distance,Second Move Cost,Stat Product
97.6,681,Aegislash,steel,ghost,-,Shield,-,-,-,-,-,-,1498,82.9,234.6,139,46,Psycho Cut,Shadow Ball,Gyro Ball,-,-,5,-,2701765
96,379,Registeel,steel,none,-,-,-,-,-,-,-,-,1499,95.7,190.1,129,22.5,Lock On,Flash Cannon,Focus Blast,-,-,20,-,2346311
94.7,968,Orthworm,steel,none,-,-,-,-,-,-,-,-,1497,109.1,154.1,122,24.5,Mud Slap,Rock Tomb,Earthquake,-,-,5,-,2050646
93.9,752,Araquanid,water,bug,-,-,-,-,-,-,-,-,1499,97.4,174,136,32,Bug Bite,Water Pulse,Bubble Beam,-,-,3,-,2306355
93.8,413,Wormadam,bug,steel,-,-,-,-,Trash,-,-,-,1500,105,151.1,135,41,Sucker Punch,Bug Buzz,Iron Head,-,-,1,-,2141526
92.6,593,Jellicent,water,ghost,-,-,-,-,-,-,-,-,1499,106.7,126.3,156,24,Hex,Surf,Shadow Ball,-,-,3,-,2101858
92.5,372,Shelgon,dragon,none,-,-,-,-,-,-,-,-,1498,123.3,119.1,123,27.5,Dragon Breath,Twister,Flamethrower,-,-,5,-,1806077
92.3,131,Lapras,water,ice,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,Psywave,Sparkling Aria,Ice Beam*,-,-,5,-,2147136
91.9,783,Hakamo-o,dragon,fighting,-,-,-,-,-,-,-,-,1498,115.5,135.6,124,36.5,Dragon Tail,Brick Break,Rock Tomb,-,-,5,-,1942416
91.7,784,Kommo-o,dragon,fighting,-,-,-,-,-,-,-,-,1497,123.7,137.8,106,16.5,Dragon Tail,Clanging Scales*,Upper Hand,-,-,5,-,1807554
91.6,119,Seaking,water,none,-,-,-,-,-,-,-,-,1500,121.9,109,138,26,Peck,Drill Run*,Icy Wind*,-,-,3,-,1833820
91.4,618,Stunfisk,ground,steel,Galarian,-,-,-,-,-,-,-,1499,101.5,126.7,172,26,Mud Shot,Rock Slide,Earthquake,-,-,5,-,2211731
91.2,448,Lucario,fighting,steel,-,-,-,-,-,-,-,-,1500,145.8,93.7,113,20.5,Force Palm*,Aura Sphere,Shadow Ball,-,-,5,-,1544133
91.1,230,Kingdra,water,dragon,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,Dragon Breath,Surf,Swift,-,-,3,-,1839109
90.9,895,Regidrago,dragon,none,-,-,-,-,-,-,-,-,1499,121.9,62.7,241,20,Dragon Breath*,Dragon Energy*,Vise Grip,-,-,20,-,1842328
90.9,705,Sliggoo,dragon,none,-,-,-,-,-,-,-,-,1499,114.2,133.8,128,27.5,Dragon Breath,Body Slam,Dragon Pulse,-,-,5,-,1955692
90.6,28,Sandslash,ice,steel,Alolan,-,-,-,-,-,-,-,1499,116,133.3,125,23,Powder Snow,Ice Punch,Drill Run,-,-,3,-,1931513
90.5,589,Escavalier,bug,steel,-,-,-,-,-,-,-,-,1495,132.2,117.6,108,19,Bug Bite,Drill Run,Razor Shell*,-,-,3,-,1679048
90.4,649,Genesect,bug,steel,-,-,-,-,-,-,-,-,1498,141.1,111.7,100,16,Fury Cutter,X-Scissor,Techno Blast (Normal)*,-,-,20,-,1575465
90.2,365,Walrein,ice,water,-,-,-,-,-,-,-,-,1500,112.5,114.9,154,20.5,Powder Snow*,Icicle Spear*,Earthquake,-,-,3,-,1990879
90.1,634,Zweilous,dark,dragon,-,-,-,-,-,-,-,-,1498,120.5,110.2,140,30.5,Dragon Breath,Body Slam,Dark Pulse,-,-,5,-,1859224
89.6,385,Jirachi,steel,psychic,-,-,-,-,-,-,-,-,1498,120.5,119.4,129,16.5,Confusion,Doom Desire,Aura Sphere,-,-,20,-,1855163
89.5,437,Bronzong,steel,psychic,-,-,-,-,-,-,-,-,1500,110.9,152.3,120,25,Confusion,Weather Ball (Water),Payback,-,-,3,-,2026242
89.5,918,Spidops,bug,none,-,-,-,-,-,-,-,-,1497,111,138.9,131,37.5,Shadow Claw,Lunge,Rock Tomb,-,-,1,-,2019559
