Score,Dex,Pokemon,Type 1,Type 2,Region,Form Type,Shadow,Mega,Alt Form,Gender,Size,Weather,CP,ATK,DEF,HP,Level,Fast Move,Charge Move 1,Charge Move 2,Fast Turns,Charge 1 Turns,Buddy Distance,Second Move Cost,Stat Product
96.1,226,Mantine,water,flying,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,Wing Attack,Twister,Water Pulse,-,-,5,-,2126860
95.9,630,Mandibuzz,dark,flying,-,-,-,-,-,-,-,-,1500,92.1,151.3,175,26.5,Snarl,Foul Play,Shadow Ball,-,-,5,-,2439745
95.3,733,Toucannon,normal,flying,-,-,-,-,-,-,-,-,1500,137.3,96.8,123,20.5,Peck,Beak Blast*,Drill Peck,-,-,1,-,1634212
94.7,279,Pelipper,water,flying,-,-,-,-,-,-,-,-,1500,123.3,128.7,115,26,Wing Attack,Weather Ball (Water),Hurricane,-,-,3,-,1825336
94.2,733,Toucannon,normal,flying,-,-,Shadow,-,-,-,-,-,1500,137.3,96.8,123,20.5,Peck,Beak Blast*,Drill Peck,-,-,1,-,1634212
93.7,198,Murkrow,dark,flying,-,-,Shadow,-,-,-,-,-,1499,143.2,81.1,135,41,Peck,Drill Peck,Foul Play,-,-,3,-,1567720
93.5,18,Pidgeot,normal,flying,-,-,-,-,-,-,-,-,1499,116.9,115.5,142,26.5,Wing Attack*,Air Cutter*,Brave Bird,-,-,1,-,1917898
92.9,22,Fearow,normal,flying,-,-,-,-,-,-,-,-,1500,131.5,104.6,124,28,Peck,Drill Peck,Drill Run,-,-,1,-,1705662
92.5,85,Dodrio,normal,flying,-,-,-,-,-,-,-,-,1496,143.8,98.4,110,23.5,Peck,Drill Peck,Brave Bird,-,-,3,-,1556601
92.5,146,Moltres,dark,flying,Galarian,-,-,-,-,-,-,-,1488,115.1,134.7,124,17.5,Sucker Punch,Fly,Brave Bird,-,-,20,-,1922500
92.5,198,Murkrow,dark,flying,-,-,-,-,-,-,-,-,1499,143.2,81.1,135,41,Peck,Drill Peck,Foul Play,-,-,3,-,1567720
92.4,468,Togekiss,fairy,flying,-,-,-,-,-,-,-,-,1498,124.3,125.9,115,16.5,Peck,Psyshock,Aura Sphere*,-,-,3,-,1799029
92,732,Trumbeak,normal,flying,-,-,Shadow,-,-,-,-,-,1492,133.7,94.3,132,46,Peck,Drill Peck,Rock Blast,-,-,1,-,1664964
91.8,732,Trumbeak,normal,flying,-,-,-,-,-,-,-,-,1499,134.1,93.3,134,48.5,Peck,Drill Peck,Rock Blast,-,-,1,-,1675846
91.7,823,Corviknight,flying,steel,-,-,-,-,-,-,-,-,1500,107,130.7,150,23,Sand Attack,Air Cutter*,Payback,-,-,1,-,2097411
91.7,780,Drampa,normal,dragon,-,-,-,-,-,-,-,-,1499,136.8,104.2,115,19,Dragon Breath,Swift,Dragon Pulse,-,-,5,-,1640140
91.5,627,Rufflet,normal,flying,-,-,-,-,-,-,-,-,1500,126.7,92.2,152,46.5,Peck,Brave Bird,Fly,-,-,5,-,1774904
90.9,776,Turtonator,fire,dragon,-,-,-,-,-,-,-,-,1499,113.5,153.6,113,25,Incinerate,Brutal Swing,Dragon Claw,-,-,5,-,1971162
90.8,662,Fletchinder,fire,flying,-,-,Shadow,-,-,-,-,-,1495,123.3,102.6,143,47.5,Peck,Fly,Heat Wave,-,-,1,-,1810501
90.8,581,Swanna,water,flying,-,-,Shadow,-,-,-,-,-,1497,128.6,101.1,134,26.5,Gust,Aqua Jet,Fly,-,-,3,-,1741978
90.7,130,Gyarados,water,flying,-,-,Shadow,-,-,-,-,-,1498,130.8,108.5,121,16.5,Dragon Breath,Aqua Tail*,Twister,-,-,1,-,1717312
90.6,980,Clodsire,poison,ground,-,-,-,-,-,-,-,-,1500,95.1,119.7,208,29.5,Poison Sting,Earthquake,Stone Edge,-,-,3,-,2366922
90.6,581,Swanna,water,flying,-,-,-,-,-,-,-,-,1497,128.6,101.1,134,26.5,Gust,Aqua Jet,Fly,-,-,3,-,1741978
90.3,662,Fletchinder,fire,flying,-,-,-,-,-,-,-,-,1495,123.3,102.6,143,47.5,Peck,Fly,Heat Wave,-,-,1,-,1810501
90.1,164,Noctowl,normal,flying,-,-,-,-,-,-,-,-,1500,105.3,120.2,168,28,Wing Attack,Sky Attack,Shadow Ball,-,-,1,-,2126381
90,373,Salamence,dragon,flying,-,-,Shadow,-,-,-,-,-,1497,143.5,93.1,117,14.5,Dragon Tail,Fly,Brutal Swing,-,-,5,-,1562473
