Score,Dex,Pokemon,Type 1,Type 2,Region,Form Type,Shadow,Mega,Alt Form,Gender,Size,Weather,CP,ATK,DEF,HP,Level,Fast Move,Charge Move 1,Charge Move 2,Fast Turns,Charge 1 Turns,Buddy Distance,Second Move Cost,Stat Product
95.9,778,Mimikyu,ghost,fairy,-,-,-,-,-,-,-,-,1500,121.6,141.6,107,25,Shadow Claw,Shadow Sneak,Play Rough,-,-,5,-,1841866
93.7,463,Lickilicky,normal,none,-,-,-,-,-,-,-,-,1499,105.7,125.6,160,23,Rollout,Body Slam*,Shadow Ball,-,-,3,-,2123761
92.6,959,Tinkaton,fairy,steel,-,-,-,-,-,-,-,-,1500,106.2,140.9,141,25,Fairy Wind,Gigaton Hammer*,Bulldoze,-,-,3,-,2110405
92.2,334,Altaria,dragon,flying,-,-,-,-,-,-,-,-,1499,103.4,151.9,138,28.5,Dragon Breath,Sky Attack,Flamethrower,-,-,1,-,2167763
92.2,395,Empoleon,water,steel,-,-,-,-,-,-,-,-,1497,125.2,117,122,19,Metal Sound,Hydro Cannon*,Drill Peck,-,-,3,-,1787543
91.9,334,Altaria,dragon,flying,-,-,Shadow,-,-,-,-,-,1499,103.4,151.9,138,28.5,Dragon Breath,Sky Attack,Flamethrower,-,-,1,-,2167763
91.9,395,Empoleon,water,steel,-,-,Shadow,-,-,-,-,-,1497,125.2,117,122,19,Metal Sound,Hydro Cannon*,Drill Peck,-,-,3,-,1787543
91.8,195,Quagsire,water,ground,-,-,Shadow,-,-,-,-,-,1499,111.3,112.7,161,28.5,Mud Shot,Aqua Tail*,Mud Bomb,-,-,3,-,2018332
91.7,195,Quagsire,water,ground,-,-,-,-,-,-,-,-,1499,111.3,112.7,161,28.5,Mud Shot,Aqua Tail*,Mud Bomb,-,-,3,-,2018332
91.6,593,Jellicent,water,ghost,-,-,-,-,-,-,-,-,1499,106.7,126.3,156,24,Hex,Surf,Shadow Ball,-,-,3,-,2101858
91.5,205,Forretress,bug,steel,-,-,-,-,-,-,-,-,1499,109.8,145.5,128,24.5,Volt Switch,Sand Tomb,Rock Tomb,-,-,5,-,2043769
91.5,38,Ninetales,fire,none,-,-,-,-,-,-,-,-,1496,114.4,135.5,126,24.5,Ember*,Weather Ball (Fire),Energy Ball*,-,-,3,-,1953716
91.1,38,Ninetales,fire,none,-,-,Shadow,-,-,-,-,-,1496,114.4,135.5,126,24.5,Ember*,Weather Ball (Fire),Energy Ball*,-,-,3,-,1953716
91,205,Forretress,bug,steel,-,-,Shadow,-,-,-,-,-,1499,109.8,145.5,128,24.5,Volt Switch,Sand Tomb,Rock Tomb,-,-,5,-,2043769
90.9,222,Corsola,ghost,none,Galarian,-,-,-,-,-,-,-,1500,99.3,163.1,139,47.5,Astonish,Night Shade,Power Gem,-,-,3,-,2251734
90.9,160,Feraligatr,water,none,-,-,-,-,-,-,-,-,1500,123.9,117.4,125,19.5,Shadow Claw,Hydro Cannon*,Ice Beam,-,-,3,-,1817697
90.9,189,Jumpluff,grass,flying,-,-,-,-,-,-,-,-,1499,96.7,157,153,40.5,Fairy Wind,Energy Ball,Acrobatics*,-,-,3,-,2322994
90.8,980,Clodsire,poison,ground,-,-,-,-,-,-,-,-,1500,95.1,119.7,208,29.5,Poison Sting,Earthquake,Stone Edge,-,-,3,-,2366922
90.7,823,Corviknight,flying,steel,-,-,-,-,-,-,-,-,1500,107,130.7,150,23,Sand Attack,Air Cutter*,Payback,-,-,1,-,2097411
90.7,22,Fearow,normal,flying,-,-,-,-,-,-,-,-,1500,131.5,104.6,124,28,Peck,Drill Peck,Drill Run,-,-,1,-,1705662
90.6,160,Feraligatr,water,none,-,-,Shadow,-,-,-,-,-,1500,123.9,117.4,125,19.5,Shadow Claw,Hydro Cannon*,Ice Beam,-,-,3,-,1817697
90.6,230,Kingdra,water,dragon,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,Dragon Breath,Surf,Swift,-,-,3,-,1839109
90.5,184,Azumarill,water,fairy,-,-,-,-,-,-,-,-,1499,93.4,134.5,191,43,Bubble,Ice Beam,Play Rough,-,-,3,-,2399514
90.5,799,Guzzlord,dark,dragon,-,-,-,-,-,-,-,-,1499,113.3,66.1,265,19.5,Dragon Tail,Brutal Swing,Sludge Bomb,-,-,20,-,1982915
90.3,823,Corviknight,flying,steel,-,-,Shadow,-,-,-,-,-,1500,107,130.7,150,23,Sand Attack,Air Cutter*,Payback,-,-,1,-,2097411
90.3,162,Furret,normal,none,-,-,-,-,-,-,-,-,1498,115.3,105.4,160,34.5,Sucker Punch,Swift,Trailblaze,-,-,1,-,1945534
90.3,230,Kingdra,water,dragon,-,-,Shadow,-,-,-,-,-,1497,121.8,127.9,118,21,Dragon Breath,Surf,Swift,-,-,3,-,1839109
90.3,131,Lapras,water,ice,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,Psywave,Sparkling Aria,Ice Beam*,-,-,5,-,2147136
90.2,148,Dragonair,dragon,none,-,-,Shadow,-,-,-,-,-,1499,125.2,112.5,127,33,Dragon Breath,Wrap,Aqua Tail,-,-,5,-,1788369
90.2,302,Sableye,dark,ghost,-,-,Shadow,-,-,-,-,-,1496,119.7,124.6,125,47,Shadow Claw,Foul Play,Drain Punch,-,-,5,-,1864140
90.2,537,Seismitoad,water,ground,-,-,-,-,-,-,-,-,1500,120.3,100.9,154,22,Mud Shot,Earth Power,Icy Wind,-,-,3,-,1868887
90.2,197,Umbreon,dark,none,-,-,-,-,-,-,-,-,1500,90.2,177,156,27,Snarl,Foul Play,Last Resort*,-,-,5,-,2491764
90.1,308,Medicham,fighting,psychic,-,-,-,-,-,-,-,-,1500,106.9,139.5,141,49,Psycho Cut,Ice Punch,Dynamic Punch,-,-,3,-,2102958
90.1,663,Talonflame,fire,flying,-,-,-,-,-,-,-,-,1500,121.4,112.7,135,25.5,Incinerate*,Fly,Brave Bird,-,-,1,-,1846682
90,148,Dragonair,dragon,none,-,-,-,-,-,-,-,-,1499,125.2,112.5,127,33,Dragon Breath,Aqua Tail,Dragon Pulse,-,-,5,-,1788369
89.9,916,Oinkologne,normal,none,-,-,-,-,-,Female,-,-,1500,109.6,111.5,167,22.5,Mud Slap*,Body Slam,Trailblaze,-,-,1,-,2041611
89.9,705,Sliggoo,dragon,none,-,-,-,-,-,-,-,-,1499,114.2,133.8,128,27.5,Dragon Breath,Body Slam,Dragon Pulse,-,-,5,-,1955692
89.8,364,Sealeo,ice,water,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,Powder Snow,Surf,Body Slam,-,-,3,-,2065168
89.7,820,Greedent,normal,none,-,-,-,-,-,-,-,-,1497,106.9,110.7,177,23.5,Mud Shot,Body Slam,Trailblaze,-,-,1,-,2094312
89.7,326,Grumpig,psychic,none,-,-,-,-,-,-,-,-,1497,113.3,131.5,132,23.5,Psywave,Dynamic Punch,Shadow Ball,-,-,1,-,1966510
89.7,364,Sealeo,ice,water,-,-,Shadow,-,-,-,-,-,1500,109,112.8,168,36,Powder Snow,Surf,Body Slam,-,-,3,-,2065168
89.6,660,Diggersby,normal,ground,-,-,-,-,-,-,-,-,1499,95.7,140.3,174,47,Mud Shot,Fire Punch,Scorching Sands,-,-,1,-,2337114
89.6,356,Dusclops,ghost,none,-,-,-,-,-,-,-,-,1497,102.4,197.7,108,42,Hex,Ice Punch,Shadow Punch,-,-,3,-,2186937
89.5,671,Florges,fairy,none,-,-,-,-,-,-,-,-,1499,120.1,141.6,110,17,Fairy Wind,Chilling Water*,Disarming Voice,-,-,3,-,1869643
89.5,131,Lapras,water,ice,-,-,Shadow,-,-,-,-,-,1499,104.7,114.6,179,21.5,Psywave,Sparkling Aria,Ice Beam*,-,-,5,-,2147136
89.5,302,Sableye,dark,ghost,-,-,-,-,-,-,-,-,1496,119.7,124.6,125,47,Shadow Claw,Foul Play,Power Gem,-,-,5,-,1864140
89.5,40,Wigglytuff,normal,fairy,-,-,-,-,-,-,-,-,1493,115.1,75.5,223,29,Charm,Icy Wind,Swift,-,-,1,-,1938893
89.4,346,Cradily,rock,grass,-,-,-,-,-,-,-,-,1497,105.2,140.3,144,25.5,Acid,Rock Tomb,Grass Knot,-,-,3,-,2126277
89.4,356,Dusclops,ghost,none,-,-,Shadow,-,-,-,-,-,1497,102.4,197.7,108,42,Hex,Ice Punch,Shadow Punch,-,-,3,-,2186937
89.4,146,Moltres,dark,flying,Galarian,-,-,-,-,-,-,-,1488,115.1,134.7,124,17.5,Sucker Punch,Fly,Brave Bird,-,-,20,-,1922500
89.3,9,Blastoise,water,none,-,-,-,-,-,-,-,-,1500,112.1,137.7,130,23,Rollout,Hydro Cannon*,Skull Bash,-,-,3,-,2007546
