Score,Dex,Pokemon,Type 1,Type 2,Region,Form Type,Shadow,Mega,Alt Form,Gender,Size,Weather,CP,ATK,DEF,HP,Level,Fast Move,Charge Move 1,Charge Move 2,Fast Turns,Charge 1 Turns,Buddy Distance,Second Move Cost,Stat Product
96.2,346,Cradily,rock,grass,-,-,-,-,-,-,-,-,1497,105.2,140.3,144,25.5,Acid,Rock Tomb,Grass Knot,-,-,3,-,2126277
95.8,230,Kingdra,water,dragon,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,Dragon Breath,Surf,Swift,-,-,3,-,1839109
95.5,230,Kingdra,water,dragon,-,-,Shadow,-,-,-,-,-,1497,121.8,127.9,118,21,Dragon Breath,Surf,Swift,-,-,3,-,1839109
95.1,205,Forretress,bug,steel,-,-,-,-,-,-,-,-,1499,109.8,145.5,128,24.5,Bug Bite,Sand Tomb,Rock Tomb,-,-,5,-,2043769
94.2,162,Furret,normal,none,-,-,-,-,-,-,-,-,1498,115.3,105.4,160,34.5,Sucker Punch,Swift,Trailblaze,-,-,1,-,1945534
93.8,748,Toxapex,poison,water,-,-,-,-,-,-,-,-,1497,91.9,224.3,118,38,Poison Jab,Brine,Sludge Wave,-,-,3,-,2433080
93.2,395,Empoleon,water,steel,-,-,-,-,-,-,-,-,1497,125.2,117,122,19,Metal Sound,Hydro Cannon*,Drill Peck,-,-,3,-,1787543
92.9,463,Lickilicky,normal,none,-,-,-,-,-,-,-,-,1499,105.7,125.6,160,23,Rollout,Body Slam*,Shadow Ball,-,-,3,-,2123761
92.8,205,Forretress,bug,steel,-,-,Shadow,-,-,-,-,-,1499,109.8,145.5,128,24.5,Bug Bite,Sand Tomb,Rock Tomb,-,-,5,-,2043769
92.7,780,Drampa,normal,dragon,-,-,-,-,-,-,-,-,1499,136.8,104.2,115,19,Dragon Breath,Swift,Dragon Pulse,-,-,5,-,1640140
92.7,131,Lapras,water,ice,-,-,-,-,-,-,-,-,1499,104.7,114.6,179,21.5,Psywave,Sparkling Aria,Ice Beam*,-,-,5,-,2147136
92.3,558,Crustle,bug,rock,-,-,-,-,-,-,-,-,1499,120.3,134.7,115,22,Fury Cutter,X-Scissor,Rock Wrecker,-,-,1,-,1863686
92.1,776,Turtonator,fire,dragon,-,-,-,-,-,-,-,-,1499,113.5,153.6,113,25,Incinerate,Brutal Swing,Dragon Claw,-,-,5,-,1971162
91.9,189,Jumpluff,grass,flying,-,-,-,-,-,-,-,-,1499,96.7,157,153,40.5,Fairy Wind,Energy Ball,Acrobatics*,-,-,3,-,2322994
91.8,206,Dunsparce,normal,none,-,-,-,-,-,-,-,-,1499,104.8,111,184,37.5,Rollout,Drill Run,Rock Slide,-,-,3,-,2139359
91.5,765,Oranguru,normal,psychic,-,-,-,-,-,-,-,-,1498,110.2,130.1,142,23,Confusion,Brutal Swing,Trailblaze,-,-,3,-,2034972
90.8,241,Miltank,normal,none,-,-,-,-,-,-,-,-,1500,105.4,134.8,150,24,Rollout,Body Slam,Thunderbolt,-,-,5,-,2130680
90.7,395,Empoleon,water,steel,-,-,Shadow,-,-,-,-,-,1497,125.2,117,122,19,Metal Sound,Hydro Cannon*,Drill Peck,-,-,3,-,1787543
90.7,820,Greedent,normal,none,-,-,-,-,-,-,-,-,1497,106.9,110.7,177,23.5,Mud Shot,Body Slam,Trailblaze,-,-,1,-,2094312
90.4,737,Charjabug,bug,electric,-,-,-,-,-,-,-,-,1497,114.8,134.8,126,36.5,Volt Switch*,X-Scissor,Discharge,-,-,1,-,1949448
90.4,593,Jellicent,water,ghost,-,-,-,-,-,-,-,-,1499,106.7,126.3,156,24,Hex,Surf,Shadow Ball,-,-,3,-,2101858
90.4,916,Oinkologne,normal,none,-,-,-,-,-,Female,-,-,1500,109.6,111.5,167,22.5,Mud Slap*,Body Slam,Trailblaze,-,-,1,-,2041611
90.3,226,Mantine,water,flying,-,-,-,-,-,-,-,-,1500,105.5,166.6,121,27,Wing Attack,Twister,Water Pulse,-,-,5,-,2126860
90.2,877,Morpeko,electric,dark,-,-,-,-,Full Belly,-,-,-,1499,140.5,96.3,118,28.5,Thunder Shock,Aura Wheel,Psychic Fangs,-,-,3,-,1596126
90.2,733,Toucannon,normal,flying,-,-,Shadow,-,-,-,-,-,1500,137.3,96.8,123,20.5,Peck,Beak Blast*,Drill Peck,-,-,1,-,1634212
90.1,365,Walrein,ice,water,-,-,-,-,-,-,-,-,1500,112.5,114.9,154,20.5,Powder Snow*,Icicle Spear*,Earthquake,-,-,3,-,1990879
89.9,346,Cradily,rock,grass,-,-,Shadow,-,-,-,-,-,1497,105.2,140.3,144,25.5,Acid,Rock Tomb,Grass Knot,-,-,3,-,2126277
89.9,243,Raikou,electric,none,-,-,-,-,-,-,-,-,1498,132,110.6,116,16,Thunder Shock,Wild Charge,Aura Sphere,-,-,20,-,1693495
89.7,345,Lileep,rock,grass,-,-,-,-,-,-,-,-,1460,100.8,138.6,151,50,Acid,Ancient Power,Grass Knot,-,-,3,-,2111110
89.7,417,Pachirisu,electric,none,-,-,-,-,-,-,-,-,1372,91.6,157.1,142,50,Volt Switch,Hyper Fang,Thunder Punch,-,-,5,-,2043738
89.6,832,Dubwool,normal,none,-,-,-,-,-,-,-,-,1497,110.6,143,128,25.5,Double Kick,Body Slam,Payback,-,-,3,-,2025159
89.5,752,Araquanid,water,bug,-,-,-,-,-,-,-,-,1499,97.4,174,136,32,Bug Bite,Water Pulse,Bubble Beam,-,-,3,-,2306355
89.4,189,Jumpluff,grass,flying,-,-,Shadow,-,-,-,-,-,1499,96.7,157,153,40.5,Fairy Wind,Energy Ball,Acrobatics*,-,-,3,-,2322994
89.2,587,Emolga,electric,flying,-,-,-,-,-,-,-,-,1498,127.6,110.2,125,39.5,Thunder Shock,Acrobatics,Discharge,-,-,1,-,1758025
89.2,119,Seaking,water,none,-,-,-,-,-,-,-,-,1500,121.9,109,138,26,Peck,Drill Run*,Icy Wind*,-,-,3,-,1833820
89.1,737,Charjabug,bug,electric,-,-,Shadow,-,-,-,-,-,1497,114.8,134.8,126,36.5,Volt Switch*,X-Scissor,Discharge,-,-,1,-,1949448
89,558,Crustle,bug,rock,-,-,Shadow,-,-,-,-,-,1499,120.3,134.7,115,22,Fury Cutter,X-Scissor,Rock Wrecker,-,-,1,-,1863686
89,982,Dudunsparce,normal,none,-,-,-,-,-,-,-,-,1500,116.1,98.6,169,20.5,Rollout,Body Slam,Drill Run,-,-,3,-,1934787
88.9,618,Stunfisk,ground,electric,-,-,-,-,-,-,-,-,1499,101.5,126.7,172,26,Thunder Shock,Mud Bomb,Discharge,-,-,5,-,2211731
88.7,364,Sealeo,ice,water,-,-,-,-,-,-,-,-,1500,109,112.8,168,36,Powder Snow,Surf,Body Slam,-,-,3,-,2065168
88.7,73,Tentacruel,water,poison,-,-,-,-,-,-,-,-,1495,108.9,143.5,131,23,Acid,Scald,Payback,-,-,3,-,2047453
88.5,352,Kecleon,normal,none,-,-,-,-,-,-,-,-,1499,115.6,142.2,118,27.5,Sucker Punch,Thunder Punch,Dynamic Punch,-,-,5,-,1939686
88.5,38,Ninetales,fire,none,-,-,-,-,-,-,-,-,1496,114.4,135.5,126,24.5,Ember*,Weather Ball (Fire),Energy Ball*,-,-,3,-,1953716
88.5,279,Pelipper,water,flying,-,-,-,-,-,-,-,-,1500,123.3,128.7,115,26,Wing Attack,Weather Ball (Water),Hurricane,-,-,3,-,1825336
88.4,345,Lileep,rock,grass,-,-,Shadow,-,-,-,-,-,1460,100.8,138.6,151,50,Acid,Ancient Power,Grass Knot,-,-,3,-,2111110
88.3,752,Araquanid,water,bug,-,-,Shadow,-,-,-,-,-,1499,97.4,174,136,32,Bug Bite,Bubble Beam,Water Pulse,-,-,3,-,2306355
88.2,939,Bellibolt,electric,none,-,-,-,-,-,-,-,-,1500,115.1,110.2,154,21,Thunder Shock,Zap Cannon,Parabolic Charge,-,-,1,-,1952887
88.2,723,Dartrix,grass,flying,-,-,-,-,-,-,-,-,1500,112.5,115.5,154,36.5,Peck,Brave Bird,Energy Ball,-,-,3,-,2001159
88.1,768,Golisopod,bug,water,-,-,-,-,-,-,-,-,1499,124.1,134.7,108,17.5,Fury Cutter,X-Scissor,Aqua Jet,-,-,1,-,1804489
