Score,Dex,Pokemon,Type 1,Type 2,Region,Form Type,Shadow,Mega,Alt Form,Gender,Size,Weather,CP,ATK,DEF,HP,Level,Fast Move,Charge Move 1,Charge Move 2,Fast Turns,Charge 1 Turns,Buddy Distance,Second Move Cost,Stat Product
95.9,778,Mimikyu,ghost,fairy,-,-,-,-,-,-,-,-,2490,159.7,179.8,135,50,Shadow Claw,Shadow Sneak,Play Rough,-,-,5,-,3875876
93.7,463,Lickilicky,normal,none,-,-,-,-,-,-,-,-,2499,136.2,160.1,210,47,Rollout,Body Slam*,Shadow Ball,-,-,3,-,4578557
93.4,823,Corviknight,flying,steel,-,-,-,-,-,-,-,-,2497,137.8,170,193,47,Sand Attack,Air Cutter*,Payback,-,-,1,-,4522355
93.2,959,Tinkaton,fairy,steel,-,-,-,-,-,-,-,-,2499,140.3,177.3,178,50,Fairy Wind,Gigaton Hammer*,Bulldoze,-,-,3,-,4428816
93.1,823,Corviknight,flying,steel,-,-,Shadow,-,-,-,-,-,2497,137.8,170,193,47,Sand Attack,Air Cutter*,Payback,-,-,1,-,4522355
92.9,671,Florges,fairy,none,-,-,-,-,-,-,-,-,2496,154,183.3,143,28.5,Fairy Wind,Chilling Water*,Disarming Voice,-,-,3,-,4037457
92.8,640,Virizion,grass,fighting,-,-,-,-,-,-,-,-,2496,146.1,180,162,31,Double Kick,Leaf Blade,Sacred Sword*,-,-,20,-,4260018
92.7,395,Empoleon,water,steel,-,-,Shadow,-,-,-,-,-,2500,161.9,150.7,158,33,Metal Sound,Hydro Cannon*,Drill Peck,-,-,3,-,3856139
92.4,395,Empoleon,water,steel,-,-,-,-,-,-,-,-,2500,161.9,150.7,158,33,Metal Sound,Hydro Cannon*,Drill Peck,-,-,3,-,3856139
92.2,146,Moltres,dark,flying,Galarian,-,-,-,-,-,-,-,2490,149.5,175.6,158,29.5,Sucker Punch,Fly,Brave Bird,-,-,20,-,4146723
91.7,205,Forretress,bug,steel,-,-,-,-,-,-,-,-,2500,144.9,182.4,163,48.5,Volt Switch,Rock Tomb,Sand Tomb,-,-,5,-,4307907
91.7,593,Jellicent,water,ghost,-,-,-,-,-,-,-,-,2499,141.6,158.9,196,47.5,Hex,Surf,Shadow Ball,-,-,3,-,4409691
91.6,718,Zygarde,dragon,ground,-,Complete Forme,-,-,-,-,-,-,2498,128.9,142,264,24,Dragon Tail,Crunch,Earthquake,-,-,20,-,4833523
91.2,160,Feraligatr,water,none,-,-,Shadow,-,-,-,-,-,2496,159.2,154.6,159,35,Shadow Claw,Hydro Cannon*,Ice Beam,-,-,3,-,3912480
91.1,205,Forretress,bug,steel,-,-,Shadow,-,-,-,-,-,2500,144.9,182.4,163,48.5,Volt Switch,Rock Tomb,Sand Tomb,-,-,5,-,4307907
91.1,38,Ninetales,ice,fairy,Alolan,-,-,-,-,-,-,-,2499,151.5,172.2,158,47.5,Powder Snow,Weather Ball (Ice),Chilling Water*,-,-,3,-,4121225
90.9,230,Kingdra,water,dragon,-,-,-,-,-,-,-,-,2499,157,165.7,153,40.5,Dragon Breath,Surf,Swift,-,-,3,-,3979555
90.8,38,Ninetales,ice,fairy,Alolan,-,Shadow,-,-,-,-,-,2499,151.5,172.2,158,47.5,Powder Snow,Weather Ball (Ice),Chilling Water*,-,-,3,-,4121225
90.8,379,Registeel,steel,none,-,-,-,-,-,-,-,-,2498,122.8,243.1,170,49,Lock On,Flash Cannon,Focus Blast,-,-,20,-,5073927
90.7,477,Dusknoir,ghost,none,-,-,-,-,-,-,-,-,2493,153.2,222.4,119,48.5,Astonish,Dynamic Punch,Shadow Punch,-,-,3,-,4054725
90.7,131,Lapras,water,ice,-,-,-,-,-,-,-,-,2495,134,149.8,231,40.5,Psywave,Sparkling Aria,Ice Beam*,-,-,5,-,4637587
90.6,9,Blastoise,water,none,-,-,-,-,-,-,-,-,2498,143.9,181.6,166,45.5,Rollout,Hydro Cannon*,Skull Bash,-,-,3,-,4337825
90.6,477,Dusknoir,ghost,none,-,-,Shadow,-,-,-,-,-,2493,153.2,222.4,119,48.5,Astonish,Dynamic Punch,Shadow Punch,-,-,3,-,4054725
90.6,687,Malamar,dark,psychic,-,-,-,-,-,-,-,-,2500,152.1,149.6,180,50,Psywave,Foul Play,Superpower,-,-,3,-,4094867
90.6,687,Malamar,dark,psychic,-,-,Shadow,-,-,-,-,-,2500,152.1,149.6,180,50,Psywave,Foul Play,Superpower,-,-,3,-,4094867
90.5,131,Lapras,water,ice,-,-,Shadow,-,-,-,-,-,2495,134,149.8,231,40.5,Psywave,Sparkling Aria,Ice Beam*,-,-,5,-,4637587
90.5,895,Regidrago,dragon,none,-,-,-,-,-,-,-,-,2496,154.6,84.4,309,32.5,Dragon Breath*,Dragon Energy*,Vise Grip,-,-,20,-,4030826
90.5,663,Talonflame,fire,flying,-,-,-,-,-,-,-,-,2493,160.5,142.9,168,50,Incinerate*,Fly,Brave Bird,-,-,1,-,3851770
90.5,365,Walrein,ice,water,-,-,-,-,-,-,-,-,2500,145.4,147.8,200,38.5,Powder Snow*,Icicle Spear*,Earthquake,-,-,3,-,4297195
90.5,365,Walrein,ice,water,-,-,Shadow,-,-,-,-,-,2500,145.4,147.8,200,38.5,Powder Snow*,Icicle Spear*,Earthquake,-,-,3,-,4297195
90.4,977,Dondozo,water,none,-,-,-,-,-,-,-,-,2495,133.9,142.8,243,32,Waterfall,Surf,Outrage,-,-,5,-,4646009
90.3,487,Giratina,ghost,dragon,-,Altered,-,-,-,-,-,-,2494,134.5,168.1,204,27.5,Dragon Breath,Dragon Claw,Shadow Sneak,-,-,20,-,4613304
90.2,979,Annihilape,fighting,ghost,-,-,-,-,-,-,-,-,2497,159,135.7,181,28,Low Kick,Rage Fist*,Close Combat,-,-,3,-,3907139
90.2,939,Bellibolt,electric,none,-,-,-,-,-,-,-,-,2497,148,141.7,200,39.5,Sucker Punch,Parabolic Charge,Zap Cannon,-,-,1,-,4196936
90,663,Talonflame,fire,flying,-,-,Shadow,-,-,-,-,-,2493,160.5,142.9,168,50,Incinerate*,Fly,Brave Bird,-,-,1,-,3851770
89.9,979,Annihilape,fighting,ghost,-,-,Shadow,-,-,-,-,-,2497,159,135.7,181,28,Low Kick,Rage Fist*,Close Combat,-,-,3,-,3907139
89.9,230,Kingdra,water,dragon,-,-,Shadow,-,-,-,-,-,2499,157,165.7,153,40.5,Dragon Breath,Surf,Swift,-,-,3,-,3979555
89.9,38,Ninetales,fire,none,-,-,-,-,-,-,-,-,2498,151.2,171.2,159,49,Ember*,Weather Ball (Fire),Energy Ball*,-,-,3,-,4116371
89.8,488,Cresselia,psychic,none,-,-,-,-,-,-,-,-,2499,120.2,207.2,208,36.5,Psycho Cut,Grass Knot*,Moonblast,-,-,20,-,5179131
89.7,346,Cradily,rock,grass,-,-,-,-,-,-,-,-,2499,140.3,175.6,180,50,Acid,Rock Tomb,Grass Knot,-,-,3,-,4436127
89.7,350,Milotic,water,none,-,-,-,-,-,-,-,-,2495,145.2,172.6,171,31.5,Waterfall,Aqua Tail,Wrap,-,-,5,-,4285417
89.7,765,Oranguru,normal,psychic,-,-,-,-,-,-,-,-,2499,142,170,182,47,Confusion,Brutal Swing,Trailblaze,-,-,3,-,4392287
89.6,487,Giratina,ghost,dragon,-,Altered,Shadow,-,-,-,-,-,2499,137.4,163.1,202,27,Dragon Breath,Dragon Claw,Shadow Sneak,-,-,20,-,4528800
89.6,119,Seaking,water,none,-,-,-,-,-,-,-,-,2444,159.7,136.1,172,50,Peck,Drill Run*,Icy Wind*,-,-,3,-,3738228
89.6,208,Steelix,steel,ground,-,-,-,-,-,-,-,-,2495,126.6,238.2,163,48.5,Thunder Fang,Psychic Fangs,Earthquake,-,-,5,-,4914537
89.6,260,Swampert,water,ground,-,-,-,-,-,-,-,-,2499,157.7,141.3,177,32,Mud Shot,Hydro Cannon*,Earthquake,-,-,3,-,3944235
89.5,160,Feraligatr,water,none,-,-,-,-,-,-,-,-,2496,159.2,154.6,159,35,Shadow Claw,Hydro Cannon*,Ice Beam,-,-,3,-,3912480
89.5,867,Runerigus,ground,ghost,-,-,-,-,-,-,-,-,2497,146.6,208.6,139,49.5,Shadow Claw,Rock Tomb,Shadow Ball,-,-,3,-,4251447
89.4,208,Steelix,steel,ground,-,-,Shadow,-,-,-,-,-,2495,126.6,238.2,163,48.5,Thunder Fang,Psychic Fangs,Crunch,-,-,5,-,4914537
89.3,346,Cradily,rock,grass,-,-,Shadow,-,-,-,-,-,2499,140.3,175.6,180,50,Acid,Rock Tomb,Grass Knot,-,-,3,-,4436127
89.1,488,Cresselia,psychic,none,-,-,Shadow,-,-,-,-,-,2491,121.9,201.7,207,33.5,Psycho Cut,Grass Knot*,Moonblast,-,-,20,-,5092108
